date,account_value
2024-01-02,1000000.0
2024-01-03,989290.06503759
2024-01-04,982178.0445780029
2024-01-05,965947.5080410613
2024-01-08,966789.9138385621
2024-01-09,974408.3015105553
2024-01-10,961248.655287758
2024-01-11,972732.6258447838
2024-01-12,971863.5084016725
2024-01-15,975358.4959027416
2024-01-16,969913.9750601703
2024-01-17,955082.1170167781
2024-01-18,948925.3011746341
2024-01-19,975597.4520238343
2024-01-22,1009922.9183219186
2024-01-23,988938.9919019891
2024-01-24,986125.5750978185
2024-01-25,981426.712004923
2024-01-26,973796.2735426618
2024-01-29,989177.8897902662
2024-01-30,984199.9645833588
2024-01-31,996932.2751796761
2024-02-01,1012214.3958258783
2024-02-02,1036637.1065248376
2024-02-05,1018297.5646924535
2024-02-15,1016080.187185011
2024-02-16,1036571.373850937
2024-02-19,1050137.4686881257
2024-02-20,1055284.0588580323
2024-02-21,1027914.4466296388
2024-02-22,1016705.1116267396
2024-02-23,1011749.0045348359
2024-02-26,1003633.1281005099
2024-02-27,969600.3141661836
2024-02-29,991332.6209727479
2024-03-01,973055.9412604525
2024-03-04,979973.9388190462
2024-03-05,986356.6842299653
2024-03-06,986430.3273421479
2024-03-07,979846.3688307954
2024-03-08,964470.4860221101
2024-03-11,967974.2923480226
2024-03-12,957969.8284465028
2024-03-13,943866.0772811128
2024-03-14,946205.9950286103
2024-03-15,929492.216517563
2024-03-18,941110.7034808351
2024-03-19,931141.8707343293
2024-03-20,923320.5853930665
2024-03-21,955305.2181216432
2024-03-22,977607.0114756776
2024-03-25,968573.7036296083
2024-03-26,954430.1603480531
2024-03-27,942441.8804503633
2024-03-28,950727.6505500032
2024-03-29,961505.2398310853
2024-04-01,956686.9565554811
2024-04-02,956051.9445201112
2024-04-03,956932.484303589
2024-04-08,968120.0817214204
2024-04-09,967425.2579318238
2024-04-10,975815.1981021119
2024-04-11,974192.6569167329
2024-04-12,953913.8998557283
2024-04-15,916472.5085307313
2024-04-16,887620.8192111207
2024-04-17,881773.2504664613
2024-04-18,883007.3922454072
2024-04-19,861122.0509749604
2024-04-22,842874.8696089936
2024-04-23,868268.4301825715
2024-04-24,894312.1424552156
2024-04-25,875906.5361758424
2024-04-26,906229.8042670443
2024-04-29,937149.8216391755
2024-04-30,949499.4449359132
2024-05-02,954369.308817978
2024-05-03,924138.5135661317
2024-05-06,952849.3396178437
2024-05-07,939905.5822592927
2024-05-08,944498.4313365174
2024-05-09,945262.4541197969
2024-05-10,970838.225129242
2024-05-13,959359.7852698518
2024-05-14,978106.0456706239
2024-05-15,981812.453589554
2024-05-16,1009215.2305785371
2024-05-17,1017477.9451171113
2024-05-20,1018008.35667717
2024-05-21,1011426.6418620301
2024-05-22,1023395.909915085
2024-05-23,1030758.5019370271
2024-05-24,1031056.5616389466
2024-05-27,1041098.6773635102
2024-05-28,1028061.3725081636
2024-05-29,1048405.8644610597
2024-05-30,1040522.3461486056
2024-05-31,1014987.937089081
2024-06-03,1044573.7929068758
2024-06-04,1050792.1870776368
2024-06-05,1041193.143654938
2024-06-06,1063914.3946639253
2024-06-07,1049032.4548770143
2024-06-11,1046350.7979708863
2024-06-12,1053547.8260394288
2024-06-13,1064147.1310988618
2024-06-14,1080285.6882125093
2024-06-17,1065585.7347537233
2024-06-18,1076677.394448395
2024-06-19,1092062.5768481446
2024-06-20,1100107.515565033
2024-06-21,1097401.7899695588
2024-06-24,1073908.5675746156
2024-06-25,1064294.0772238923
2024-06-26,1065850.9891711427
2024-06-27,1062451.1009341432
2024-06-28,1086738.281348343
2024-07-01,1081877.6746226503
2024-07-02,1081812.597918625
2024-07-03,1085087.9458285524
2024-07-04,1116206.4854613496
2024-07-05,1101653.3391200257
2024-07-08,1115296.8373480989
2024-07-09,1120591.2732859803
2024-07-10,1135388.825728531
2024-07-11,1157019.8300791932
2024-07-12,1145639.4246035768
2024-07-15,1111293.403317566
2024-07-16,1118870.5196200563
2024-07-17,1110066.9670020295
2024-07-18,1072224.9142028047
2024-07-19,1076825.973384018
2024-07-22,1052917.1823588563
2024-07-23,1067214.2077666475
2024-07-26,1052958.9327975465
2024-07-29,1042530.1471244051
2024-07-30,1047505.2871752931
2024-07-31,1056036.665238495
2024-08-01,1080032.7935000611
2024-08-02,1029022.4862338259
2024-08-05,932488.5147982789
2024-08-06,942464.934523697
2024-08-07,1004131.7193804933
2024-08-08,993353.2491255952
2024-08-09,1010347.3348113252
2024-08-12,1040067.4896670535
2024-08-13,1031849.472005005
2024-08-14,1040316.1339369966
2024-08-15,1033159.6591311648
2024-08-16,1059994.0580702974
2024-08-19,1066591.329192276
2024-08-20,1074368.2613917543
2024-08-21,1067368.7618132783
2024-08-22,1058821.6437770082
2024-08-23,1054159.1582404329
2024-08-26,1066007.454098816
2024-08-27,1067850.3935500337
2024-08-28,1055405.1030627443
2024-08-29,1059840.950570221
2024-08-30,1053061.6577464296
2024-09-02,1081342.862055893
2024-09-03,1070412.4904071046
2024-09-04,1017561.707633133
2024-09-05,1031857.2834407045
2024-09-06,1043154.6606455995
2024-09-09,1031248.7243968202
2024-09-10,1006204.3734656526
2024-09-11,1003168.152146454
2024-09-12,1040205.0758639527
2024-09-13,1053136.0648318483
2024-09-16,1080917.9379912568
2024-09-18,1045795.4442092134
2024-09-19,1083851.7158347322
2024-09-20,1084640.860304947
2024-09-23,1097985.7908221437
2024-09-24,1112583.2152129365
2024-09-25,1101710.5535575105
2024-09-26,1083523.4944277955
2024-09-27,1094771.6908713533
2024-09-30,1072871.3209601594
2024-10-01,1066804.9646922303
2024-10-04,1025653.8018046571
2024-10-07,1048159.0861731721
2024-10-08,1058637.4223357392
2024-10-09,1075260.178839798
2024-10-11,1082156.0023432923
2024-10-14,1105024.4886714173
2024-10-15,1117285.9472361756
2024-10-16,1106122.4927378846
2024-10-17,1101903.4134474946
2024-10-18,1134285.3931781007
2024-10-21,1142408.5363799287
2024-10-22,1166300.0133410646
2024-10-23,1141707.1456061555
2024-10-24,1138061.4011279298
2024-10-25,1173925.1622286988
2024-10-28,1149013.0045291139
2024-10-29,1120872.5636626435
2024-10-30,1117126.9148513032
2024-11-01,1119598.1430960847
2024-11-04,1112220.5436240388
2024-11-05,1124100.1137267305
2024-11-06,1149153.6789942933
2024-11-07,1176054.662547226
2024-11-08,1172096.7940379335
2024-11-11,1160948.6248236848
2024-11-12,1136347.7584315492
2024-11-13,1186650.062270279
2024-11-14,1165265.1515628053
2024-11-15,1167745.699891205
2024-11-18,1154673.8762408448
2024-11-19,1175285.1252413942
2024-11-20,1193726.2912265016
2024-11-21,1197635.8575621797
2024-11-22,1210145.28047287
2024-11-25,1210735.6506186677
2024-11-26,1201606.0940924836
2024-11-27,1217079.5654193116
2024-11-28,1201409.3327437593
2024-11-29,1213247.0667983247
2024-12-02,1271476.6145678712
2024-12-03,1280830.9258567048
2024-12-04,1311461.7086821748
2024-12-05,1285525.9787551118
2024-12-06,1280451.1419669343
2024-12-09,1295414.280604477
2024-12-10,1278066.7518607331
2024-12-11,1301139.866278763
2024-12-12,1284486.765296097
2024-12-13,1317344.7420645906
2024-12-16,1302097.277770157
2024-12-17,1304747.1634265138
2024-12-18,1301436.4370528413
2024-12-19,1304795.7629347993
2024-12-20,1317091.8947154237
2024-12-23,1334821.6511203004
2024-12-24,1328543.6753531648
2024-12-25,1332750.316510315
