date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,999003.871361496
2024-01-03,999464.3899738314,989290.06503759,997880.5423450472,999454.873610982,996717.3375785827,998334.3846057653,996972.8844701995,982467.740496399
2024-01-04,999413.114612152,982178.0445780028,999645.0096624374,999430.9492949754,994200.4219390869,998012.1934026872,996971.8344801376,982184.4002559205
2024-01-05,998845.9810946406,965947.5080410612,995671.0642133713,998890.0201908676,991889.1684749601,996995.9899562497,995060.6761641615,977719.0373294373
2024-01-08,998859.1543354586,966789.913838562,998800.5324577332,998945.8544402032,991157.378726196,997667.2428446754,994065.8211881007,978631.3119571229
2024-01-09,999211.9783299752,974408.3015105552,1008853.8124286652,999321.5826371044,987068.6892879483,998035.920233328,997433.8402152194,976346.8785312196
2024-01-10,998761.8804124644,961248.655287758,1007338.0592000962,998931.1605954546,987479.159686279,998275.2325626165,994049.8353999555,972526.045468094
2024-01-11,998267.9978978444,972732.6258447838,1015134.2837624894,998564.7768008532,989990.1962875363,998076.3954171103,997121.4794938716,975234.5839355012
2024-01-12,998549.1903205016,971863.5084016724,1011062.4622771684,998849.3201172024,988153.1282395321,994404.6574081096,1000403.2612852362,974723.3839213868
2024-01-15,998449.7893314324,975358.4959027416,1016763.6925094072,999452.882933934,984389.6463883168,995017.3784457094,1000100.0393290452,975866.3329799195
2024-01-16,993912.8483816052,969913.9750601704,1012687.2651870194,995503.1227129544,976781.0503250691,986749.1157360346,986158.5957705564,964605.7446429749
2024-01-17,990503.7450174028,955082.117016778,997505.385288948,991358.9941920176,960413.4410217549,982095.1581781122,971830.1877755421,948820.6985480805
2024-01-18,993309.2577129191,948925.301174634,992322.9788558426,993808.2741427784,950696.124345638,987898.6310377467,980019.8181281432,949280.6422469636
2024-01-19,1000918.6236304973,975597.4520238345,1027980.591236824,1000715.6346387968,992913.0518568989,1012761.958153271,1005397.3091604356,966581.1776340028
2024-01-22,1001998.8518931412,1009922.9183219186,1051256.7425582353,1000250.2893138313,1018110.3297432439,1014867.9985308001,1029173.7144134368,976733.5561320801
2024-01-23,1001070.634349528,988938.9919019892,1036312.8928039016,999465.0849695328,1020895.2846579168,1016931.0032997401,1024947.3209498833,978104.3752906342
2024-01-24,1003945.0708734712,986125.5750978184,1035654.3135726396,1002792.1042752704,1011191.6347784612,1014101.8061254179,1028125.0119116878,976033.7864902039
2024-01-25,1007257.0825293032,981426.712004923,1038610.6746871414,1006317.6661614464,1013657.2343039128,1025487.3479510482,1027951.9690870112,979424.9327018281
2024-01-26,1005074.268781764,973796.2735426618,1027731.3544661942,1002842.4587382278,1003513.3101782415,1019630.0665419067,1022951.7751155042,976315.8716666718
2024-01-29,1008240.5043429688,989177.8897902662,1037237.4667785112,1005470.9002020388,1020728.2494635198,1027863.3903067077,1035753.4371362466,985031.7089469453
2024-01-30,1011306.0421341924,984199.9645833588,1036591.5879638138,1007374.1368704634,1022230.3978399846,1021923.9549658264,1060025.2835912218,982450.995234253
2024-01-31,1010307.9562717924,996932.275179676,1052195.2527129594,1008206.635137763,1008846.4933981511,1012694.7518255676,1056277.9190148439,981020.9477012177
2024-02-01,1002509.9646957142,1012214.3958258784,1054623.4132049028,999902.1346405554,1013935.966863117,1015438.4203627075,1032792.5414900883,982214.9794261475
2024-02-02,1006138.6089268256,1036637.1065248376,1074393.792561287,1002304.597267475,1029559.7059607122,1025123.991613623,1048480.0173022375,986997.2911498566
2024-02-05,1006215.2247854128,1018297.5646924536,1062193.9414870683,1002615.5652924716,1025827.484288654,1030297.3486349548,1056939.0423011894,984720.5114257355
2024-02-15,1023028.6873041164,1016080.187185011,1071430.01291346,1018278.4814141118,1044550.6430792424,1070979.0725004638,1097993.263484124,998037.9003493806
2024-02-16,1022354.0763282444,1036571.373850937,1076795.1380279008,1017974.025686592,1027826.2825064275,1069729.4626371826,1094732.2896349572,999627.1544864197
2024-02-19,1024358.097814086,1050137.4686881255,1075612.3020904008,1015638.1547012288,1033584.3114981267,1068234.413854834,1085749.8035346994,1003953.020750763
2024-02-20,1034083.888960683,1055284.0588580323,1092204.461399788,1028239.7586903932,1034731.7635397527,1078316.0355856384,1097761.797024701,1010783.4535529633
2024-02-21,1033118.7272575694,1027914.4466296388,1080783.916340584,1031493.053150665,1024007.5364584539,1074129.7678549255,1092470.5552657766,1006505.6525542756
