date,account_value
2024-01-02,1000000.0
2024-01-03,999464.3899738314
2024-01-04,999413.1146121521
2024-01-05,998845.9810946406
2024-01-08,998859.1543354586
2024-01-09,999211.9783299752
2024-01-10,998761.8804124643
2024-01-11,998267.9978978445
2024-01-12,998549.1903205015
2024-01-15,998449.7893314325
2024-01-16,993912.8483816053
2024-01-17,990503.7450174027
2024-01-18,993309.2577129193
2024-01-19,1000918.6236304973
2024-01-22,1001998.8518931413
2024-01-23,1001070.634349528
2024-01-24,1003945.0708734711
2024-01-25,1007257.0825293033
2024-01-26,1005074.268781764
2024-01-29,1008240.5043429689
2024-01-30,1011306.0421341925
2024-01-31,1010307.9562717925
2024-02-01,1002509.9646957142
2024-02-02,1006138.6089268257
2024-02-05,1006215.2247854129
2024-02-15,1023028.6873041163
2024-02-16,1022354.0763282443
2024-02-19,1024358.0978140861
2024-02-20,1034083.888960683
2024-02-21,1033118.7272575694
2024-02-22,1046630.121211383
2024-02-23,1077566.6334299329
2024-02-26,1085392.4853308345
2024-02-27,1076606.0444606468
2024-02-29,1090261.2786319782
2024-03-01,1073193.0159148
2024-03-04,1101286.364111684
2024-03-05,1105912.2572098095
2024-03-06,1123555.6797964606
2024-03-07,1149172.9205420888
2024-03-08,1150399.8007109272
2024-03-11,1148464.9571623243
2024-03-12,1148660.3186405653
2024-03-13,1147670.39509077
2024-03-14,1118713.0257619298
2024-03-15,1101491.1593909275
2024-03-18,1126795.5594337448
2024-03-19,1119060.392710194
2024-03-20,1108105.7029652465
2024-03-21,1126471.2187447646
2024-03-22,1115944.2391956751
2024-03-25,1111098.0569250463
2024-03-26,1111979.2186364492
2024-03-27,1130903.5586496128
2024-03-28,1124615.2508595928
2024-03-29,1140168.0998219207
2024-04-01,1130970.8311362765
2024-04-02,1137602.0595160155
2024-04-03,1132108.9914416755
2024-04-08,1136239.043611938
2024-04-09,1147791.150009148
2024-04-10,1157889.0071386064
2024-04-11,1156467.0544788956
2024-04-12,1148127.800471064
2024-04-15,1103786.071813761
2024-04-16,1063563.6421662972
2024-04-17,1066246.823532906
2024-04-18,1070773.0549554408
2024-04-19,1024494.6094922184
2024-04-22,1012656.5338764709
2024-04-23,1024117.3713520874
2024-04-24,1057402.2383762258
2024-04-25,1034683.1132853959
2024-04-26,1051511.4305553734
2024-04-29,1068910.7959063905
2024-04-30,1055620.1890642454
2024-05-02,1055920.7229594386
2024-05-03,1076994.438052256
2024-05-06,1084277.3603515858
2024-05-07,1087132.6688320506
2024-05-08,1108818.8563877204
2024-05-09,1104111.983863354
2024-05-10,1106615.573578608
2024-05-13,1118047.6488454193
2024-05-14,1134585.0387552017
2024-05-15,1142234.055588175
2024-05-16,1164704.8588179688
2024-05-17,1155298.7307068694
2024-05-20,1161225.4257362597
2024-05-21,1151597.508616585
2024-05-22,1163608.6246752436
2024-05-23,1174141.0501903538
2024-05-24,1167049.6232791503
2024-05-27,1214228.6908103488
2024-05-28,1221097.84925231
2024-05-29,1208334.3223065645
2024-05-30,1198465.2376468738
2024-05-31,1170996.1574192795
2024-06-03,1202467.4201449093
2024-06-04,1183493.2380097487
2024-06-05,1183178.438156031
2024-06-06,1221884.0040164588
2024-06-07,1211586.499990433
2024-06-11,1202833.3898403628
2024-06-12,1231582.6050349963
2024-06-13,1274004.8663115695
2024-06-14,1286573.7787361091
2024-06-17,1277943.292847193
2024-06-18,1296623.0747142413
2024-06-19,1338766.4105774844
2024-06-20,1351933.2154286692
2024-06-21,1345747.0243794979
2024-06-24,1304724.9979200633
2024-06-25,1295723.0891659243
2024-06-26,1308944.1597780117
2024-06-27,1304944.6848079264
2024-06-28,1307082.2458325617
2024-07-01,1312185.7590493779
2024-07-02,1312573.2818336298
2024-07-03,1321016.3097489132
2024-07-04,1333924.8411837772
2024-07-05,1327086.3138424037
2024-07-08,1365808.6319284176
2024-07-09,1385680.478186806
2024-07-10,1380335.7261101305
2024-07-11,1386768.244939194
2024-07-12,1339923.420607672
2024-07-15,1337722.4512921318
2024-07-16,1339833.493299044
2024-07-17,1322462.39346608
2024-07-18,1293711.576599873
2024-07-19,1265269.3593571915
2024-07-22,1231575.9559721758
2024-07-23,1274834.2691477912
2024-07-26,1236476.3674603198
2024-07-29,1236871.7462073176
2024-07-30,1249714.4496294253
2024-07-31,1243217.9234462588
2024-08-01,1225152.3800818562
2024-08-02,1160439.8266027188
2024-08-05,1064777.8553681301
2024-08-06,1133325.373379044
2024-08-07,1187665.9448629688
2024-08-08,1164973.9407351706
2024-08-09,1185852.3984325926
2024-08-12,1214564.0239899391
2024-08-13,1202642.2557717117
2024-08-14,1221233.919053431
2024-08-15,1203197.72171876
2024-08-16,1248555.6587233832
2024-08-19,1259206.0515108188
2024-08-20,1255599.6939087794
2024-08-21,1237898.7604239925
2024-08-22,1241780.803489035
2024-08-23,1243745.828004904
2024-08-26,1242443.0428638041
2024-08-27,1240109.2871062474
2024-08-28,1240861.0939997563
2024-08-29,1258753.402688967
2024-08-30,1263049.5137695735
2024-09-02,1259126.2630822337
2024-09-03,1262114.652577181
2024-09-04,1188989.3748442042
2024-09-05,1187629.2706628079
2024-09-06,1207919.51815206
2024-09-09,1177173.7329234108
2024-09-10,1179564.5818965172
2024-09-11,1168812.62846069
2024-09-12,1212045.2166894898
2024-09-13,1198509.513424742
2024-09-16,1204602.4598930497
2024-09-18,1185982.6715777896
2024-09-19,1207128.8213689064
2024-09-20,1211841.7013123059
2024-09-23,1223386.24577467
2024-09-24,1248527.9699327433
2024-09-25,1277183.2817835887
2024-09-26,1296642.7847138294
2024-09-27,1291756.1992462543
2024-09-30,1233618.6289120677
2024-10-01,1250992.0521403698
2024-10-04,1248668.669749352
2024-10-07,1272598.3947541164
2024-10-08,1259591.2233846707
2024-10-09,1261631.962505444
2024-10-11,1286625.5480838702
2024-10-14,1287130.104263039
2024-10-15,1298118.5785639042
2024-10-16,1278928.3062587054
2024-10-17,1285002.8458295807
2024-10-18,1305234.4879611363
2024-10-21,1316704.481533112
2024-10-22,1308239.4538680348
2024-10-23,1299915.5944908909
2024-10-24,1281216.3413349919
2024-10-25,1302990.1829926379
2024-10-28,1310057.3298935473
2024-10-29,1283526.8302702277
2024-10-30,1271679.5577910808
2024-11-01,1268871.304890652
2024-11-04,1276081.244054152
2024-11-05,1276443.3115890946
2024-11-06,1283592.7619367489
2024-11-07,1290361.897692095
2024-11-08,1281526.9720554394
2024-11-11,1287004.655327122
2024-11-12,1256075.9249136795
2024-11-13,1251966.5189208968
2024-11-14,1237796.6484579851
2024-11-15,1256528.8250468906
2024-11-18,1233107.900631796
2024-11-19,1261670.953479731
2024-11-20,1257083.6074576
2024-11-21,1257756.7071975234
2024-11-22,1286604.6233405785
2024-11-25,1273155.1029821495
2024-11-26,1265329.7401900466
2024-11-27,1245141.0313394303
2024-11-28,1243485.1534669097
2024-11-29,1241256.4302110083
2024-12-02,1291131.8153885445
2024-12-03,1302625.453980038
2024-12-04,1318717.6483416122
2024-12-05,1317836.0436257613
2024-12-06,1308944.0075960811
2024-12-09,1322823.9382700084
2024-12-10,1335500.073297623
2024-12-11,1336118.6626961865
2024-12-12,1352808.7081483158
2024-12-13,1372895.154083834
2024-12-16,1369320.4001806357
2024-12-17,1379377.3065900025
2024-12-18,1387163.3366051144
2024-12-19,1381352.906029467
2024-12-20,1349199.3927657646
2024-12-23,1375452.9381773495
2024-12-24,1368416.9511110843
2024-12-25,1370255.5165837826
2024-12-26,1381575.8518833965
2024-12-27,1396005.3859608348
2024-12-30,1385727.2900165885
2024-12-31,1379196.0082406104
2025-01-02,1353265.3072795414
2025-01-03,1365140.6674392016
2025-01-06,1415238.1754602855
2025-01-07,1435202.6821735348
2025-01-08,1417975.4691343692
2025-01-09,1392139.2327980502
2025-01-10,1403487.0647787917
2025-01-13,1350522.9267717346
2025-01-14,1369583.4914344163
2025-01-15,1373335.3773639016
2025-01-16,1406126.5362499126
2025-01-17,1398308.1788260806
2025-01-20,1406529.3590414585
2025-01-21,1417831.8238077548
2025-01-22,1426992.4193334486
2025-02-03,1404644.6427936233
2025-02-04,1400173.0306713087
2025-02-05,1438882.890032576
2025-02-06,1452154.3191786006
2025-02-07,1457963.2540120606
2025-02-10,1434711.9159636311
2025-02-11,1453648.8071125338
2025-02-12,1436469.5919023117
2025-02-13,1456298.2600608123
2025-02-14,1441011.3516114848
2025-02-17,1465136.1781044486
2025-02-18,1470394.443043669
2025-02-19,1469236.0212675442
2025-02-20,1448546.8021098827
2025-02-21,1456727.847134022
2025-02-24,1464769.9551158126
2025-02-25,1452162.035500361
2025-02-26,1482783.1108832269
2025-02-27,1453943.3519920905
2025-03-03,1426967.8953741745
2025-03-04,1427369.1644606765
2025-03-05,1434636.1772260098
2025-03-06,1426347.4066779788
2025-03-07,1397844.3658313602
2025-03-10,1363908.8496605095
2025-03-11,1348401.9740246928
2025-03-12,1369178.690082804
2025-03-13,1350268.675890385
2025-03-14,1355455.6244455664
2025-03-17,1371760.876383593
2025-03-18,1406440.5911332248
2025-03-19,1384730.2950607857
2025-03-20,1399160.0452617134
2025-03-21,1398142.5240545466
2025-03-24,1397746.1428539737
2025-03-25,1421843.8199190658
2025-03-26,1417812.7082492032
2025-03-27,1396918.3580175766
2025-03-28,1372275.4018864806
2025-03-31,1304889.4697019446
2025-04-01,1345020.0222787804
2025-04-02,1336058.0289190717
2025-04-07,1204578.5971079143
2025-04-08,1157591.6869953854
2025-04-09,1072967.8520814881
2025-04-10,1176269.4433942207
2025-04-11,1239780.3405355494
2025-04-14,1264010.348449198
2025-04-15,1282337.3716666186
2025-04-16,1252716.1980921996
2025-04-17,1241397.0109374137
2025-04-18,1252529.2970307479
2025-04-21,1232476.1741540045
2025-04-22,1201117.2553482603
2025-04-23,1256274.6111123108
2025-04-24,1231978.2091019691
2025-04-25,1287481.2830928701
2025-04-28,1274828.8046312497
2025-04-29,1295752.4600135435
2025-04-30,1286038.6525448554
2025-05-02,1303734.354174353
2025-05-05,1298795.0709214194
2025-05-06,1297809.178863085
2025-05-07,1287857.7503615879
2025-05-08,1323110.693270718
2025-05-09,1350292.0812620071
2025-05-12,1353961.936873118
2025-05-13,1366993.06533511
2025-05-14,1388330.304443869
2025-05-15,1392134.8859437546
2025-05-16,1394397.7596397956
2025-05-19,1357104.5842670158
2025-05-20,1361806.236026213
2025-05-21,1404336.9504544109
2025-05-22,1394049.0694949687
2025-05-23,1386012.6133701233
2025-05-26,1367420.9256760047
2025-05-27,1362807.0280308288
2025-05-28,1375624.505988497
2025-05-29,1383534.8110770972
2025-06-02,1379386.4788200897
2025-06-03,1402593.0221366237
2025-06-04,1411850.6726066135
2025-06-05,1403884.1663656572
2025-06-06,1414274.8731959108
2025-06-09,1438780.6005625012
2025-06-10,1497324.3947152037
2025-06-11,1485280.7056438555
2025-06-12,1462596.8989154352
2025-06-13,1452618.6604700368
2025-06-16,1467522.654886331
2025-06-17,1459477.891764255
2025-06-18,1448615.8426033205
2025-06-19,1431968.8428545564
2025-06-20,1418930.1015028146
2025-06-23,1418255.423679847
2025-06-24,1449939.984937095
2025-06-25,1461311.023529159
2025-06-26,1459965.9226581797
2025-06-27,1466974.6982029947
2025-06-30,1459572.133229215
2025-07-01,1484427.343300588
2025-07-02,1497210.0903588957
2025-07-03,1512937.2176162084
2025-07-04,1509682.2969770902
2025-07-07,1487182.6842406858
2025-07-08,1509048.9073270382
2025-07-09,1548369.858505913
2025-07-10,1569798.235363499
2025-07-11,1567879.783268227
2025-07-14,1546670.2334110073
2025-07-15,1580736.8948843007
2025-07-16,1594210.5560594639
2025-07-17,1589283.4900504688
2025-07-18,1631961.3594821896
2025-07-21,1632544.1828309407
2025-07-22,1614963.172828217
2025-07-23,1626621.2458009494
2025-07-24,1626857.5716936267
