date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-01-02,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-03,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-04,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-05,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-08,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-09,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-10,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-11,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-12,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-15,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-16,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-17,17,0,16,3,2,0,3,7,5,0,0,7,0,0,0,0,12,22,8,0,0,0,0,1,0,9,0,0,8,5
2024-01-18,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-19,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-22,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-23,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-24,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-25,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-26,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-29,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-30,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-01-31,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-01,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-02,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-05,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-15,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-16,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-19,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-20,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-21,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-22,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
2024-02-23,18,0,17,1,3,1,3,7,5,0,0,5,0,0,0,0,13,23,7,0,0,0,0,0,0,12,0,0,7,8
