date,account_value
2024-01-02,1000000.0
2024-01-03,998334.3846057653
2024-01-04,998012.1934026872
2024-01-05,996995.9899562497
2024-01-08,997667.2428446754
2024-01-09,998035.920233328
2024-01-10,998275.2325626165
2024-01-11,998076.3954171103
2024-01-12,994404.6574081096
2024-01-15,995017.3784457094
2024-01-16,986749.1157360346
2024-01-17,982095.1581781122
2024-01-18,987898.6310377467
2024-01-19,1012761.958153271
2024-01-22,1014867.9985308001
2024-01-23,1016931.0032997401
2024-01-24,1014101.8061254179
2024-01-25,1025487.3479510482
2024-01-26,1019630.0665419067
2024-01-29,1027863.3903067077
2024-01-30,1021923.9549658264
2024-01-31,1012694.7518255676
2024-02-01,1015438.4203627075
2024-02-02,1025123.991613623
2024-02-05,1030297.3486349548
2024-02-15,1070979.0725004638
2024-02-16,1069729.4626371826
2024-02-19,1068234.413854834
2024-02-20,1078316.0355856384
2024-02-21,1074129.7678549255
2024-02-22,1084353.5942336333
2024-02-23,1090969.0231619265
2024-02-26,1090050.9201002123
2024-02-27,1080741.6645941222
2024-02-29,1079988.459120186
2024-03-01,1076416.9737169994
2024-03-04,1106601.107127867
2024-03-05,1119349.1846364443
2024-03-06,1129895.6245940248
2024-03-07,1148085.9332409403
2024-03-08,1150949.253745644
2024-03-11,1141057.7752685472
2024-03-12,1145888.5311507285
2024-03-13,1148268.3529264166
2024-03-14,1149829.7490703128
2024-03-15,1131089.518326239
2024-03-18,1134286.591759863
2024-03-19,1132929.4317866005
2024-03-20,1129726.1836710228
2024-03-21,1159318.932291035
2024-03-22,1157718.8647728008
2024-03-25,1154662.5101223034
2024-03-26,1150820.9734630627
2024-03-27,1156902.8189086956
2024-03-28,1149347.092102055
2024-03-29,1155686.8277015728
2024-04-01,1153276.0190067333
2024-04-02,1171956.1897010845
2024-04-03,1163094.2746221165
2024-04-08,1168128.2351004507
2024-04-09,1195245.9710096046
2024-04-10,1196594.3899229453
2024-04-11,1200513.476449363
2024-04-12,1196592.441559461
2024-04-15,1181258.9453142711
2024-04-16,1151685.5010911792
2024-04-17,1168755.1943452437
2024-04-18,1172461.7501926483
2024-04-19,1119361.966702269
2024-04-22,1117506.2593214496
2024-04-23,1125826.2671904233
2024-04-24,1158273.1496767667
2024-04-25,1136787.012544122
2024-04-26,1154739.0159334806
2024-04-29,1176874.0176634458
2024-04-30,1172354.731961694
2024-05-02,1152661.9737848905
2024-05-03,1161996.5845179227
2024-05-06,1184273.1672873166
2024-05-07,1196271.925555673
2024-05-08,1195933.3494944242
2024-05-09,1194169.6539930967
