time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss
1,512,129,3,,,,,,,,,,,
2,1024,90,11,0.00025,-0.08044241259340197,0.03636328,1.002264380455017,10,-0.2293933629989624,-0.02112138271331787,2.344832418113947,0.2,0.3078125,-42.60489568710327
3,1536,94,16,0.00025,-0.055531969456933436,0.025888938,1.002644658088684,20,0.4657198190689087,0.3555169105529785,4.905463683605194,0.2,0.2361328125,-42.64414176940918
4,2048,82,24,0.00025,-0.04520015258458443,0.02354617,1.003106713294983,30,0.8569108247756958,-0.20277202129364014,4.49203676879406,0.2,0.1615234375,-42.651831245422365
5,2560,85,29,0.00025,-0.06735829239478335,0.0333457,1.0038387775421143,40,0.6368909478187561,0.5573007464408875,3.3062903970479964,0.2,0.2541015625,-42.67123193740845
6,3072,91,33,0.00025,-0.06398536169435828,0.03462769,1.0043401718139648,50,0.09157836437225342,0.6321253776550293,4.233352676033974,0.2,0.2306640625,-42.689969825744626
7,3584,86,41,0.00025,-0.04825252671726048,0.02337012,1.004734754562378,60,0.8743453621864319,0.18601387739181519,5.454966351389885,0.2,0.1671875,-42.70178232192993
8,4096,89,45,0.00025,-0.07384555141907186,0.039863396,1.0056021213531494,70,0.07278615236282349,0.768063098192215,2.5311444655060766,0.2,0.29609375,-42.7194001197815
9,4608,93,49,0.00025,-0.06400923996698112,0.034048386,1.00612211227417,80,1.8505562543869019,0.5883597433567047,8.231907567381858,0.2,0.233984375,-42.743818283081055
10,5120,89,56,0.00025,-0.05890010641887784,0.041526515,1.006781816482544,90,0.28420549631118774,0.5308432281017303,3.40624763071537,0.2,0.28359375,-42.758585357666014
11,5632,91,61,0.00025,-0.07549417969421483,0.05109907,1.0075095891952515,100,0.15363609790802002,0.8232783228158951,3.332243398576975,0.2,0.3638671875,-42.77825765609741
12,6144,93,65,0.00025,-0.061243607243523,0.039395366,1.0076848268508911,110,0.7673769593238831,0.723638117313385,4.347706380486488,0.2,0.250390625,-42.79731798171997
13,6656,91,73,0.00025,-0.07046756560448557,0.0535204,1.0081183910369873,120,0.2075517177581787,0.8021653443574905,2.0918876081705093,0.2,0.3318359375,-42.80145864486694
14,7168,93,76,0.00025,-0.07253755377023481,0.045622967,1.0085703134536743,130,0.005631506443023682,0.848426565527916,4.321218349039555,0.2,0.322265625,-42.81559228897095
15,7680,95,80,0.00025,-0.06584062147885561,0.03817336,1.0091023445129395,140,0.2309858202934265,0.8357950150966644,3.2733847603201864,0.2,0.2810546875,-42.83091411590576
