time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss
1,512,116,4,,,,,,,,,,,
2,1024,54,18,0.00025,-0.09099328713491558,0.03753755,1.0004931688308716,10,-0.2682056427001953,-0.06668329238891602,2.9021145060658453,0.2,0.3666015625,-42.575202751159665
3,1536,45,33,0.00025,-0.05580971681047231,0.027792633,1.0008536577224731,20,-0.02223217487335205,0.1857203245162964,5.148706513643265,0.2,0.2578125,-42.5880690574646
4,2048,42,48,0.00025,-0.07094733302947134,0.04669057,1.0010699033737183,30,-0.20433956384658813,0.13959503173828125,2.82526181936264,0.2,0.319140625,-42.59570846557617
5,2560,40,63,0.00025,-0.07528221996035427,0.045820516,1.001630425453186,40,-0.3779650032520294,0.4876381754875183,2.4950938925147055,0.2,0.30859375,-42.60756139755249
6,3072,39,78,0.00025,-0.03226106639485806,0.03253433,1.0018346309661865,50,0.11867541074752808,0.46814268827438354,9.2842542886734,0.2,0.23984375,-42.62056455612183
7,3584,38,93,0.00025,-0.009763604262843728,0.02863907,1.0021109580993652,60,0.9157921075820923,0.3259192705154419,14.077865713834763,0.2,0.18046875,-42.62491865158081
8,4096,37,110,0.00025,-0.08232293953187764,0.05097817,1.0028321743011475,70,-0.45936331152915955,0.8559420555830002,0.9779284872114659,0.2,0.3984375,-42.640599155426024
9,4608,36,125,0.00025,-0.04491099485894665,0.037719022,1.0033310651779175,80,-0.261719673871994,0.7131817042827606,3.781508243083954,0.2,0.269140625,-42.656657695770264
10,5120,36,139,0.00025,-0.03292867097770795,0.039075665,1.0034829378128052,90,0.37915611267089844,0.5402162969112396,7.62501015663147,0.2,0.275,-42.6695219039917
11,5632,36,155,0.00025,-0.07312621215824038,0.06983446,1.0038721561431885,100,-0.46804308891296387,0.866928368806839,0.9068786889314652,0.2,0.4376953125,-42.677121925354
12,6144,35,171,0.00025,-0.05618878852110356,0.043581024,1.0041719675064087,110,-0.24999991059303284,0.7813356965780258,3.1184572696685793,0.2,0.32578125,-42.68378868103027
13,6656,35,186,0.00025,-0.029223223763983695,0.02965967,1.0048432350158691,120,0.36724573373794556,0.7435109615325928,9.781762692332268,0.2,0.2177734375,-42.70072574615479
14,7168,35,201,0.00025,-0.07605774253606797,0.07407302,1.0065993070602417,130,-0.43740493059158325,0.8895906656980515,1.0294508222490548,0.2,0.438671875,-42.734709644317626
15,7680,35,215,0.00025,-0.018509079120121896,0.027651055,1.0073312520980835,140,0.20170962810516357,0.8286011517047882,7.845104041695595,0.2,0.2716796875,-42.77784957885742
16,8192,35,230,0.00025,-0.06202414033468813,0.044948496,1.0078378915786743,150,-0.181637704372406,0.8862677365541458,2.7724170967936517,0.2,0.2958984375,-42.794359874725345
