date,account_value
2024-01-02,1000000.0
2024-01-03,999454.873610982
2024-01-04,999430.9492949754
2024-01-05,998890.0201908676
2024-01-08,998945.8544402032
2024-01-09,999321.5826371044
2024-01-10,998931.1605954546
2024-01-11,998564.7768008533
2024-01-12,998849.3201172025
2024-01-15,999452.882933934
2024-01-16,995503.1227129543
2024-01-17,991358.9941920175
2024-01-18,993808.2741427784
2024-01-19,1000715.6346387968
2024-01-22,1000250.2893138313
2024-01-23,999465.0849695329
2024-01-24,1002792.1042752705
2024-01-25,1006317.6661614465
2024-01-26,1002842.4587382278
2024-01-29,1005470.9002020388
2024-01-30,1007374.1368704634
2024-01-31,1008206.635137763
2024-02-01,999902.1346405554
2024-02-02,1002304.597267475
2024-02-05,1002615.5652924716
2024-02-15,1018278.4814141118
2024-02-16,1017974.0256865919
2024-02-19,1015638.1547012288
2024-02-20,1028239.7586903932
2024-02-21,1031493.053150665
2024-02-22,1049934.6959976796
2024-02-23,1077173.302475315
2024-02-26,1084400.3694812602
2024-02-27,1085886.4152991779
2024-02-29,1093297.011423103
2024-03-01,1080865.7645882384
2024-03-04,1104457.9314393604
2024-03-05,1113291.205993096
2024-03-06,1133593.5973253315
2024-03-07,1152995.6095257031
2024-03-08,1148893.593163804
2024-03-11,1149769.4541459617
2024-03-12,1146268.507345661
2024-03-13,1143716.0114111747
2024-03-14,1118256.1033835257
2024-03-15,1109649.0064873542
2024-03-18,1123629.6069626654
2024-03-19,1115004.696421131
2024-03-20,1108814.2657074775
2024-03-21,1119533.4841732825
2024-03-22,1112872.1548886145
2024-03-25,1107235.1608557547
2024-03-26,1103712.9777340735
2024-03-27,1120081.508965
2024-03-28,1109896.4755110587
2024-03-29,1123068.6405043448
2024-04-01,1117241.8876652564
2024-04-02,1126386.500244602
2024-04-03,1121465.6483597602
2024-04-08,1114226.4693264808
2024-04-09,1125489.3254647101
2024-04-10,1140891.8786454047
2024-04-11,1138120.178079113
2024-04-12,1133273.6289887275
2024-04-15,1098415.5938057746
2024-04-16,1063618.7873082007
2024-04-17,1070681.4146170462
2024-04-18,1072937.6895003165
2024-04-19,1026456.5500311697
2024-04-22,1002303.0981564367
2024-04-23,1010945.6387448156
2024-04-24,1044510.5611080969
2024-04-25,1023978.2815422857
2024-04-26,1037587.4674010122
2024-04-29,1051079.9698777045
2024-04-30,1039364.6535010183
2024-05-02,1031756.040642246
2024-05-03,1053248.8425230826
2024-05-06,1057280.2391199912
2024-05-07,1068895.8569998587
2024-05-08,1087285.5240225638
2024-05-09,1083553.3572287406
2024-05-10,1080947.8944811667
2024-05-13,1095678.274581417
2024-05-14,1116580.9740156974
2024-05-15,1116197.8391852225
2024-05-16,1139599.0631823386
2024-05-17,1127071.2529959525
2024-05-20,1134978.0373473014
2024-05-21,1125032.4141192283
2024-05-22,1140073.3415961112
2024-05-23,1150849.8184981192
2024-05-24,1142027.6553854789
2024-05-27,1180508.7006544913
2024-05-28,1192185.3762335624
2024-05-29,1190872.2065214957
2024-05-30,1187068.2854666556
2024-05-31,1156578.1108603324
2024-06-03,1177468.2068495597
2024-06-04,1158251.2747473563
2024-06-05,1154131.5692038382
2024-06-06,1191643.7988486136
2024-06-07,1182781.0238451804
2024-06-11,1178363.6635832633
2024-06-12,1201678.9346728171
2024-06-13,1246061.858697399
2024-06-14,1256318.835658535
2024-06-17,1258453.8645644034
2024-06-18,1277996.432675823
2024-06-19,1311301.0045676078
2024-06-20,1317594.190225109
2024-06-21,1314631.5415243949
2024-06-24,1268690.9808916892
2024-06-25,1266499.9386687125
2024-06-26,1276917.262835964
2024-06-27,1270863.1941561545
2024-06-28,1280298.5771097983
2024-07-01,1280530.6550860251
2024-07-02,1275492.7056765403
2024-07-03,1281783.0372614707
2024-07-04,1298857.5632643546
2024-07-05,1296193.0001635398
2024-07-08,1331650.5697245444
2024-07-09,1357855.3997969474
2024-07-10,1351990.5528158988
2024-07-11,1367782.669976696
2024-07-12,1321910.6743769492
2024-07-15,1325308.6654753531
2024-07-16,1326981.4050116385
2024-07-17,1306222.6130976523
2024-07-18,1274118.8317770804
2024-07-19,1248031.9617819632
2024-07-22,1214454.5196394767
2024-07-23,1251148.8234228934
2024-07-26,1215045.6677241172
2024-07-29,1211600.999890789
2024-07-30,1226476.5308108176
2024-07-31,1216356.4366602744
2024-08-01,1220007.8396372641
2024-08-02,1156615.7123293723
2024-08-05,1063423.1365542258
2024-08-06,1118019.888202175
2024-08-07,1171143.4752478446
2024-08-08,1150448.0621085013
2024-08-09,1172934.0126833762
2024-08-12,1196384.6672167624
2024-08-13,1198247.1750368918
2024-08-14,1218239.1329245414
2024-08-15,1197310.2008433188
2024-08-16,1241787.6936201896
2024-08-19,1262913.5166086997
2024-08-20,1263465.3951258506
2024-08-21,1244925.2840247
2024-08-22,1251013.7749457206
2024-08-23,1250693.3359427298
2024-08-26,1250509.6421503867
2024-08-27,1247186.9601969565
2024-08-28,1245955.5683073844
2024-08-29,1264837.9906191672
2024-08-30,1259708.160567745
2024-09-02,1258693.2481741752
2024-09-03,1248459.78808926
2024-09-04,1182716.2994952048
2024-09-05,1176431.0442309226
2024-09-06,1191948.3932223166
2024-09-09,1167616.7184023703
2024-09-10,1175944.2872214164
2024-09-11,1170318.6990465964
2024-09-12,1209069.9761385764
2024-09-13,1206558.116225704
2024-09-16,1192856.3054957236
2024-09-18,1172269.8322520102
2024-09-19,1192501.7719130362
2024-09-20,1196914.7716669883
2024-09-23,1210833.4693293418
2024-09-24,1236509.5915255393
2024-09-25,1253619.3669276084
2024-09-26,1270624.4865603293
2024-09-27,1263918.7077936972
2024-09-30,1210801.6677050437
2024-10-01,1232899.339576229
2024-10-04,1233102.783629879
2024-10-07,1253320.657821163
2024-10-08,1241761.5573115195
2024-10-09,1248830.5984034385
2024-10-11,1272983.3185229148
2024-10-14,1276922.5296873893
2024-10-15,1290085.254394039
2024-10-16,1271967.4205641593
2024-10-17,1270583.008157238
2024-10-18,1283692.0372423972
2024-10-21,1297353.4694533194
2024-10-22,1293467.269296154
2024-10-23,1280990.5025954093
2024-10-24,1269148.7625555838
2024-10-25,1289907.462804302
2024-10-28,1288137.183484539
2024-10-29,1268457.6868643607
2024-10-30,1259313.0264983024
2024-11-01,1261859.8608984794
2024-11-04,1272352.8772787894
2024-11-05,1272432.8196768607
2024-11-06,1287408.673100933
2024-11-07,1291273.7752394523
2024-11-08,1284234.0945677604
2024-11-11,1291412.3767866935
2024-11-12,1264687.101388439
2024-11-13,1261803.2179274405
2024-11-14,1243577.4265274848
2024-11-15,1259772.7620329703
2024-11-18,1240810.3106741752
2024-11-19,1271342.7790694083
2024-11-20,1257194.4204230155
2024-11-21,1252444.110108837
2024-11-22,1270507.2467245902
2024-11-25,1267365.6213717307
2024-11-26,1258314.1115298118
2024-11-27,1237786.1740813102
2024-11-28,1236792.7205653037
2024-11-29,1236343.1850638236
2024-12-02,1278535.4461836661
2024-12-03,1283752.9020209159
2024-12-04,1304394.1805872764
2024-12-05,1302121.0397505607
2024-12-06,1294892.191045269
2024-12-09,1297494.2591776694
2024-12-10,1302102.1046042289
2024-12-11,1301923.5167879905
2024-12-12,1316491.485513195
2024-12-13,1330682.7084441031
2024-12-16,1323496.4489149894
2024-12-17,1340271.936723217
2024-12-18,1344572.5610709037
2024-12-19,1335018.457595333
2024-12-20,1311204.1363234366
2024-12-23,1336014.3648886527
2024-12-24,1332000.8111567344
2024-12-25,1338970.0683092917
2024-12-26,1350744.443955883
2024-12-27,1356373.2358565177
