date,account_value
2024-01-02,1000000.0
2024-01-03,997880.5423450471
2024-01-04,999645.0096624374
2024-01-05,995671.0642133713
2024-01-08,998800.5324577332
2024-01-09,1008853.8124286652
2024-01-10,1007338.0592000962
2024-01-11,1015134.2837624894
2024-01-12,1011062.4622771683
2024-01-15,1016763.6925094071
2024-01-16,1012687.2651870194
2024-01-17,997505.3852889481
2024-01-18,992322.9788558426
2024-01-19,1027980.591236824
2024-01-22,1051256.7425582353
2024-01-23,1036312.8928039017
2024-01-24,1035654.3135726395
2024-01-25,1038610.6746871414
2024-01-26,1027731.3544661942
2024-01-29,1037237.4667785111
2024-01-30,1036591.5879638138
2024-01-31,1052195.2527129594
2024-02-01,1054623.4132049028
2024-02-02,1074393.792561287
2024-02-05,1062193.9414870683
2024-02-15,1071430.01291346
2024-02-16,1076795.1380279008
2024-02-19,1075612.3020904008
2024-02-20,1092204.461399788
2024-02-21,1080783.916340584
2024-02-22,1096890.7956893388
2024-02-23,1102755.6724822465
2024-02-26,1096353.5846068803
2024-02-27,1085851.7338530961
2024-02-29,1101165.1065261308
2024-03-01,1089710.3575866167
2024-03-04,1101421.442562813
2024-03-05,1117690.652844185
2024-03-06,1132825.3610808793
2024-03-07,1134852.1801268999
2024-03-08,1114974.825222725
2024-03-11,1127595.5476424638
2024-03-12,1122046.6189162675
2024-03-13,1110139.8287932817
2024-03-14,1096670.9291655961
2024-03-15,1104432.19726252
2024-03-18,1104330.7207839433
2024-03-19,1098622.3563506547
2024-03-20,1084808.6608931962
2024-03-21,1104884.015003914
2024-03-22,1123463.2439925615
2024-03-25,1112187.6000564042
2024-03-26,1094021.3291213457
2024-03-27,1091176.0166137163
2024-03-28,1100384.1400573198
2024-03-29,1111212.3216292802
2024-04-01,1102002.2763869707
2024-04-02,1116367.1469619218
2024-04-03,1117951.052403206
2024-04-08,1117844.86182856
2024-04-09,1119761.82011866
2024-04-10,1126907.0149581376
2024-04-11,1124170.2830016557
2024-04-12,1111242.3937804643
2024-04-15,1081543.5008132402
2024-04-16,1049373.2663161699
2024-04-17,1061157.358097786
2024-04-18,1060230.9135863725
2024-04-19,1029506.6216094437
2024-04-22,983941.7920806351
2024-04-23,1006557.9894835892
2024-04-24,1045949.9052550736
2024-04-25,1022034.8733718338
2024-04-26,1039087.6681334915
2024-04-29,1065805.4092223588
2024-04-30,1068604.963215584
2024-05-02,1067200.677654976
2024-05-03,1049152.9147841875
2024-05-06,1066728.154721016
2024-05-07,1071424.151684517
2024-05-08,1076741.0604140703
