date,account_value
2024-01-02,1000000.0
2024-01-03,998988.7798035374
2024-01-04,999170.9680338366
2024-01-05,998282.3180538504
2024-01-08,998346.2245679286
2024-01-09,999665.377040665
2024-01-10,996677.3504909347
2024-01-11,1001525.3427579082
2024-01-12,1001340.2196748718
2024-01-15,1003250.4879369014
2024-01-16,996357.3600307411
2024-01-17,984733.6730494618
2024-01-18,985732.0059337255
2024-01-19,1003654.9381210272
2024-01-22,1027655.3948291133
2024-01-23,1021493.1933418391
2024-01-24,1018943.2648804686
2024-01-25,1012640.7904176619
2024-01-26,1009682.6947385848
2024-01-29,1025196.445055796
2024-01-30,1043652.5411344989
2024-01-31,1044169.4938196376
2024-02-01,1034001.5290459578
2024-02-02,1055674.032494116
2024-02-05,1061669.8598440574
2024-02-15,1089816.7894446396
2024-02-16,1094914.3881869663
2024-02-19,1087782.5105910609
2024-02-20,1098140.094737549
2024-02-21,1083563.5318926338
2024-02-22,1094492.883291796
2024-02-23,1132198.4058015367
2024-02-26,1138969.757331261
2024-02-27,1121557.8328897727
2024-02-29,1135877.1560021194
2024-03-01,1117402.814879843
2024-03-04,1132292.391838942
2024-03-05,1144549.5822420104
2024-03-06,1169089.6419863035
2024-03-07,1185665.6661618978
2024-03-08,1164335.9081353324
2024-03-11,1168214.714771704
2024-03-12,1138936.622317446
2024-03-13,1112896.84187311
2024-03-14,1086146.367963505
2024-03-15,1085043.4588815577
2024-03-18,1095357.6905621646
2024-03-19,1090473.8604795688
2024-03-20,1073139.7244480364
2024-03-21,1100869.1496317524
2024-03-22,1108090.9310230925
2024-03-25,1099267.1971088622
2024-03-26,1088810.924630442
2024-03-27,1099985.2367703402
2024-03-28,1091584.8428642314
2024-03-29,1103545.2149194109
2024-04-01,1092389.2138741077
2024-04-02,1095735.0905257724
2024-04-03,1098316.2099189437
2024-04-08,1114415.690612906
2024-04-09,1115987.2823840927
2024-04-10,1116271.057074881
2024-04-11,1111257.4558274425
2024-04-12,1098619.9075514185
2024-04-15,1052970.5263520014
2024-04-16,1017527.7143600257
2024-04-17,1016213.0580108893
2024-04-18,1026763.8747013877
2024-04-19,990740.6693792079
2024-04-22,962509.0455274318
2024-04-23,985884.587549145
2024-04-24,1014020.210893986
2024-04-25,992152.6445989879
2024-04-26,1017965.505327534
2024-04-29,1041092.45809116
2024-04-30,1038968.339185612
2024-05-02,1042921.8617537444
2024-05-03,1049250.051675873
2024-05-06,1059469.524145945
2024-05-07,1054761.6802346213
2024-05-08,1067420.759424334
2024-05-09,1064917.614227545
2024-05-10,1072721.594921782
2024-05-13,1077680.1767755302
2024-05-14,1092435.9969864334
2024-05-15,1101424.9168118194
2024-05-16,1131111.2942144608
2024-05-17,1130331.1631326582
2024-05-20,1133063.1423718818
2024-05-21,1121211.477116608
2024-05-22,1132855.713142052
2024-05-23,1139354.6404112857
2024-05-24,1135023.688013775
2024-05-27,1175856.1270550732
2024-05-28,1178621.5778390658
2024-05-29,1180610.6665711214
2024-05-30,1172644.0434488528
2024-05-31,1139348.1599021687
2024-06-03,1176076.9714406417
2024-06-04,1162447.8793541472
2024-06-05,1158511.970206507
2024-06-06,1191989.76026491
2024-06-07,1182416.411672808
2024-06-11,1172827.522480818
2024-06-12,1201519.0099327834
2024-06-13,1238500.3598593315
2024-06-14,1251512.5947602028
2024-06-17,1240054.2552265914
2024-06-18,1255102.2554913943
2024-06-19,1284294.1215900234
2024-06-20,1301472.058982712
2024-06-21,1295474.6635465664
2024-06-24,1256654.0954431193
2024-06-25,1249410.0910872559
2024-06-26,1260096.403617613
2024-06-27,1256803.1695453532
2024-06-28,1264714.0095535223
2024-07-01,1266054.196756922
2024-07-02,1273202.6904333555
2024-07-03,1279542.2316188242
2024-07-04,1291124.9638370308
2024-07-05,1284969.8819055122
2024-07-08,1314052.7840841734
2024-07-09,1335352.6134199356
2024-07-10,1332185.286424166
2024-07-11,1330295.8152146973
2024-07-12,1286558.3872652475
2024-07-15,1276930.2521565517
2024-07-16,1276994.782824528
2024-07-17,1253514.4540931515
2024-07-18,1215558.0828073353
2024-07-19,1200504.391593445
2024-07-22,1166593.9727007793
2024-07-23,1205377.6416691975
2024-07-26,1175753.1668752043
2024-07-29,1170997.651081402
2024-07-30,1189776.9700550102
2024-07-31,1183389.5174773696
2024-08-01,1168312.5107213634
2024-08-02,1110397.6266137317
2024-08-05,1017259.3026101439
2024-08-06,1076602.1549241394
2024-08-07,1139624.9121647093
2024-08-08,1118269.8479588644
2024-08-09,1131642.7149994986
2024-08-12,1164210.3243383467
2024-08-13,1148477.4471026196
2024-08-14,1164970.979349829
2024-08-15,1150146.7685892966
2024-08-16,1191880.038318827
2024-08-19,1204973.0410865005
2024-08-20,1200878.1471769547
2024-08-21,1186494.042025553
2024-08-22,1187975.7944354462
2024-08-23,1189932.2108289588
2024-08-26,1191466.818300217
2024-08-27,1191438.5746930698
2024-08-28,1186877.7530721095
2024-08-29,1204681.4253300575
2024-08-30,1213664.145485865
2024-09-02,1221213.9996679232
2024-09-03,1229837.2664989799
2024-09-04,1160044.1092447685
2024-09-05,1167292.0917086052
2024-09-06,1187532.7980188774
2024-09-09,1161127.93390082
2024-09-10,1155630.594430359
2024-09-11,1144992.1569055635
2024-09-12,1188871.127173813
2024-09-13,1177522.7771341784
2024-09-16,1189569.2363411868
2024-09-18,1160863.246561417
2024-09-19,1189783.3997916167
2024-09-20,1189850.36545628
2024-09-23,1199128.808873257
2024-09-24,1226457.1437320826
2024-09-25,1242908.2435511744
2024-09-26,1252506.1020140154
2024-09-27,1256718.5164509052
2024-09-30,1204821.7323017905
2024-10-01,1214052.2138087905
2024-10-04,1194506.7800604422
2024-10-07,1225641.9090715963
2024-10-08,1220701.1137284453
2024-10-09,1222488.1178060535
2024-10-11,1242826.3388038753
2024-10-14,1249492.3099982436
2024-10-15,1256210.83032832
2024-10-16,1242388.1533928742
2024-10-17,1249560.534696293
2024-10-18,1268708.7413155711
2024-10-21,1282302.484026028
2024-10-22,1284499.213287247
2024-10-23,1275289.5748537334
2024-10-24,1254057.828775101
2024-10-25,1283084.1622958395
2024-10-28,1283360.7519307483
2024-10-29,1253905.1502228796
2024-10-30,1252072.5913510039
2024-11-01,1256015.6543873504
2024-11-04,1258957.3415116942
2024-11-05,1262251.6509114287
2024-11-06,1278325.3935071814
2024-11-07,1286128.0248831427
2024-11-08,1270297.000409506
2024-11-11,1275480.8065324614
2024-11-12,1245773.086511906
2024-11-13,1257149.1440725978
2024-11-14,1239919.2929507068
2024-11-15,1259680.11482103
2024-11-18,1230331.8571785376
2024-11-19,1263949.4742991584
2024-11-20,1270949.547002312
2024-11-21,1279030.0958178486
2024-11-22,1305688.4173834766
2024-11-25,1295988.2862725337
2024-11-26,1285059.6645730822
2024-11-27,1277873.2714797233
2024-11-28,1273291.571946421
2024-11-29,1276733.2049657996
2024-12-02,1341025.5164395126
2024-12-03,1351127.5673800795
2024-12-04,1379083.46145587
2024-12-05,1365753.0930880683
2024-12-06,1357460.7766563057
2024-12-09,1377065.625398394
