date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,999003.871361496
2024-01-03,999664.3762714271,998988.7798035374,986608.3785193444,981683.7018267632,993769.838326931,999666.2685635816,999765.078630066,982467.740496399
2024-01-04,999507.3796643788,999170.9680338366,977382.8251682284,975602.9295928042,992984.2084775924,999558.7940379314,999731.1203461838,982184.4002559205
2024-01-05,999264.7465658108,998282.3180538504,963964.105153557,968789.5847698664,988110.0772021292,998819.8364379996,1000042.2568709726,977719.0373294373
2024-01-08,999622.3194543644,998346.2245679286,963801.9338927232,969423.588181268,987788.933534851,998751.812746168,999576.5514543856,978631.3119571229
2024-01-09,1000329.6379239536,999665.377040665,966717.8621764148,967332.91267093,986858.4434227524,998826.5743878876,999998.5713977908,976346.8785312196
2024-01-10,1000079.5405833622,996677.3504909348,957815.0324034656,964203.9802014974,987047.5078224716,997684.815170656,998469.9586542522,972526.045468094
2024-01-11,1000779.3316903628,1001525.3427579082,963042.0108885728,968006.9133783848,986143.3653969344,998688.7778226584,1002210.4153501368,975234.5839355012
2024-01-12,999362.0474537964,1001340.2196748718,966009.140283104,971467.5028356832,985575.4718346176,1000623.385983246,1003375.3290530008,974723.3839213868
2024-01-15,999446.9285117758,1003250.4879369014,968590.184323784,970791.891086034,986738.3781837996,1000331.224382883,1005048.6404127552,975866.3329799195
2024-01-16,997189.366285242,996357.3600307412,961464.2164969408,956886.8010858817,969885.1690544662,998955.4630684796,1006372.0969110482,964605.7446429749
2024-01-17,995551.6488057442,984733.6730494618,937881.413434502,944793.5602945609,952381.4732689436,994422.0184037798,1002119.4269380276,948820.6985480805
2024-01-18,996123.1631042636,985732.0059337256,939275.050328728,944879.1179804128,957864.3990273057,994656.7826502668,1001481.0967485852,949280.6422469636
2024-01-19,1000193.174023186,1003654.9381210272,951985.575982567,983430.2180551809,987035.43425222,1001037.7058832152,1009661.569613996,966581.1776340028
2024-01-22,1003627.8786668167,1027655.3948291132,953287.921636101,994322.3561224265,992820.7695717392,1001921.9968865112,1026942.630081863,976733.5561320801
2024-01-23,1000759.5209565986,1021493.1933418392,955839.7228980028,997960.770062856,988361.6725410996,1004354.240809994,1028913.7593566872,978104.3752906342
2024-01-24,1001277.450859362,1018943.2648804686,958514.7727370226,995607.9152025502,994229.5878853378,1004946.8868521292,1020952.35788237,976033.7864902039
2024-01-25,1001286.5857090364,1012640.790417662,964349.2265448534,1000553.2356466572,999580.1115669784,1007823.2945878776,1016621.1474491291,979424.9327018281
2024-01-26,998442.2100694128,1009682.6947385848,945371.893624779,1001727.7840837758,987493.1556953964,1002956.3964721416,1016352.6924802724,976315.8716666718
2024-01-29,1001306.5991892288,1025196.445055796,959046.315537926,1011533.054912927,995093.7312187728,1007523.9366527004,1027463.9451585026,985031.7089469453
2024-01-30,1000874.8479370296,1043652.5411344988,952939.6151671374,1005753.4903687624,1002619.6705879744,1005853.4607626284,1049654.4840458736,982450.995234253
2024-01-31,1002261.5612678936,1044169.4938196376,954460.5029196704,991772.2014226106,1004461.114496666,1001768.4210719984,1044573.6545161932,981020.9477012177
2024-02-01,1004288.7167135668,1034001.5290459578,947327.295941826,994390.9467839388,991940.7501091536,996735.5675063324,1036908.7020980794,982214.9794261475
2024-02-02,1009649.5085477724,1055674.032494116,942151.9498686754,1003939.331654468,1002917.2531380232,994835.8347047156,1055547.5230085466,986997.2911498566
2024-02-05,1006248.5778019344,1061669.8598440574,934164.3568854296,1010078.3583821442,999900.2961601792,995887.63840707,1071230.4741099535,984720.5114257355
2024-02-15,1010373.206757094,1089816.7894446396,947185.3481535875,1043165.1704536632,1021894.047647911,1011816.3990722236,1108897.1384325349,998037.9003493806
2024-02-16,1017152.8613443286,1094914.3881869663,953693.1610846485,1033333.3724109996,1024324.6799416122,1004461.0106870348,1101833.430635868,999627.1544864197
2024-02-19,1018111.5480073596,1087782.5105910609,957491.7531638108,1028926.8058826792,1019053.0493034896,1002764.587923361,1087246.3763533551,1003953.020750763
2024-02-20,1019887.268118888,1098140.094737549,973099.4272971116,1036827.824105488,1031360.557123619,1012173.0963703692,1086997.6132584435,1010783.4535529633
2024-02-21,1013807.081726718,1083563.5318926338,975117.3204321824,1028724.667914616,1031172.7382149276,1012414.7226321128,1075261.4517987326,1006505.6525542756
2024-02-22,1013338.9481767648,1094492.883291796,987443.5634283985,1042005.3601829876,1057791.3341850813,1022881.135946787,1079612.1068456802,1012005.4276702424
2024-02-23,1018417.0083367148,1132198.4058015367,992849.4267706836,1047502.0963814128,1091839.8415169294,1025663.5228248616,1099492.8406101167,1015319.7509181519
2024-02-26,1015348.773415954,1138969.757331261,1007067.8985190355,1051088.402463185,1098514.84541555,1035189.0561663934,1113164.3447647418,1018428.6674716492
2024-02-27,1005420.4352864752,1121557.8328897727,1001518.923802849,1040827.6100666391,1092331.5210365828,1033714.8956146872,1095505.2567321032,1007063.0041663666
