date,account_value
2024-01-02,1000000.0
2024-01-03,993769.838326931
2024-01-04,992984.2084775923
2024-01-05,988110.0772021292
2024-01-08,987788.933534851
2024-01-09,986858.4434227523
2024-01-10,987047.5078224716
2024-01-11,986143.3653969344
2024-01-12,985575.4718346176
2024-01-15,986738.3781837997
2024-01-16,969885.1690544662
2024-01-17,952381.4732689437
2024-01-18,957864.3990273055
2024-01-19,987035.4342522201
2024-01-22,992820.7695717391
2024-01-23,988361.6725410995
2024-01-24,994229.5878853378
2024-01-25,999580.1115669784
2024-01-26,987493.1556953964
2024-01-29,995093.7312187728
2024-01-30,1002619.6705879745
2024-01-31,1004461.1144966659
2024-02-01,991940.7501091537
2024-02-02,1002917.2531380233
2024-02-05,999900.2961601791
2024-02-15,1021894.047647911
2024-02-16,1024324.6799416122
2024-02-19,1019053.0493034896
2024-02-20,1031360.557123619
2024-02-21,1031172.7382149276
2024-02-22,1057791.3341850813
2024-02-23,1091839.8415169294
2024-02-26,1098514.84541555
2024-02-27,1092331.5210365828
2024-02-29,1106331.6127495344
2024-03-01,1094492.6383843
2024-03-04,1113141.5014214094
2024-03-05,1122322.3719429548
2024-03-06,1145215.2514595564
2024-03-07,1155094.7375435408
2024-03-08,1153482.6225990828
2024-03-11,1156938.3994011458
2024-03-12,1156471.0867409285
2024-03-13,1151380.7017998274
2024-03-14,1120536.0982231672
2024-03-15,1119991.6560158308
2024-03-18,1123438.1418861921
2024-03-19,1121792.683847862
2024-03-20,1110829.8743080671
2024-03-21,1127737.5966591414
2024-03-22,1134503.9041771467
2024-03-25,1127432.87880941
2024-03-26,1118287.6604561384
2024-03-27,1136777.2339653547
2024-03-28,1137893.2874931868
2024-03-29,1151000.7697319563
2024-04-01,1139990.1953072126
2024-04-02,1151672.8389000471
2024-04-03,1145764.661745506
2024-04-08,1143309.9031700667
2024-04-09,1146564.752687889
2024-04-10,1159139.7964806135
2024-04-11,1162593.719873863
2024-04-12,1150138.2771019514
2024-04-15,1112911.566660362
2024-04-16,1070943.359819847
2024-04-17,1082767.8969063337
2024-04-18,1086588.8238853987
2024-04-19,1044257.2848763046
2024-04-22,1016078.3598732528
2024-04-23,1021426.7461723861
2024-04-24,1061777.8783058699
2024-04-25,1040249.7936119613
2024-04-26,1054503.3991264876
2024-04-29,1070912.3553185042
2024-04-30,1059052.3059944685
2024-05-02,1054744.4862389143
2024-05-03,1076704.1570381697
2024-05-06,1084160.9490379866
2024-05-07,1100070.0764946516
2024-05-08,1118855.7386192854
2024-05-09,1126113.696108299
2024-05-10,1117177.4936470564
2024-05-13,1126394.4569649275
2024-05-14,1164890.3614220198
2024-05-15,1159223.6845573958
2024-05-16,1182397.305963951
2024-05-17,1171372.3591942366
2024-05-20,1173316.864771324
2024-05-21,1159606.9074043806
2024-05-22,1183410.174738365
2024-05-23,1189573.4353661116
2024-05-24,1182358.9589180525
2024-05-27,1234833.4958519514
2024-05-28,1241194.4901833113
2024-05-29,1235611.8261436995
2024-05-30,1227961.912035423
2024-05-31,1194391.6179909285
2024-06-03,1216731.3993935164
2024-06-04,1191390.7806572493
2024-06-05,1185116.7402443464
2024-06-06,1213956.2510933455
2024-06-07,1201687.0723671492
2024-06-11,1198136.3897804793
2024-06-12,1211724.002939659
2024-06-13,1263969.1907829817
2024-06-14,1272608.9186806257
2024-06-17,1261958.5334648665
2024-06-18,1276552.8584847029
2024-06-19,1323135.8203835066
2024-06-20,1341113.8423180159
2024-06-21,1341220.0703301008
2024-06-24,1294474.525392967
2024-06-25,1288012.5373405989
2024-06-26,1294425.9464439924
2024-06-27,1287963.1107582625
2024-06-28,1296160.4863152083
2024-07-01,1294775.5316872175
2024-07-02,1288666.767252403
2024-07-03,1294888.7102303084
2024-07-04,1301538.92152639
2024-07-05,1297680.0678276594
2024-07-08,1332918.9167961653
2024-07-09,1362708.337389427
2024-07-10,1369145.543840843
2024-07-11,1375710.0214638289
2024-07-12,1340589.071627098
2024-07-15,1329321.6619133528
2024-07-16,1324907.7592033918
2024-07-17,1309729.7531837996
2024-07-18,1280208.067102867
2024-07-19,1259402.3719429548
2024-07-22,1217062.6733116682
2024-07-23,1256103.857347923
2024-07-26,1222830.2399773176
2024-07-29,1210878.0391487654
2024-07-30,1218756.7032112654
2024-07-31,1225814.5930046614
2024-08-01,1236836.0121178206
2024-08-02,1163363.9171547468
2024-08-05,1062934.6142830427
2024-08-06,1106993.741396385
2024-08-07,1163249.7267250593
2024-08-08,1156505.1777824934
2024-08-09,1178331.5649437483
2024-08-12,1209597.8676018293
2024-08-13,1207447.7718224104
2024-08-14,1231888.1075157698
2024-08-15,1216438.19521566
2024-08-16,1254607.5598396834
2024-08-19,1270885.6011910017
2024-08-20,1268673.3951668318
2024-08-21,1250847.2048134382
2024-08-22,1256926.615175682
2024-08-23,1254078.0891441877
2024-08-26,1259597.3126473005
2024-08-27,1261285.8410591658
2024-08-28,1257020.6904320295
2024-08-29,1271119.8158363875
2024-08-30,1262197.190149742
2024-09-02,1262328.1735634382
2024-09-03,1255307.8522514876
2024-09-04,1185276.8706078108
2024-09-05,1169027.1471199568
2024-09-06,1197038.6257118757
2024-09-09,1171829.7173714216
2024-09-10,1173187.7841591414
2024-09-11,1165532.5301384504
2024-09-12,1210102.861483055
2024-09-13,1200320.099283653
2024-09-16,1189309.4931664045
2024-09-18,1175574.787905174
2024-09-19,1199545.0524620588
2024-09-20,1206107.8220772322
2024-09-23,1221099.5831703718
2024-09-24,1244841.738825279
2024-09-25,1265389.6527657087
2024-09-26,1279108.007776695
2024-09-27,1275635.3610863264
2024-09-30,1216410.2871269758
2024-10-01,1240299.4746346052
2024-10-04,1235112.591158348
2024-10-07,1255213.9933571394
2024-10-08,1244572.8220314558
2024-10-09,1255773.6729912336
2024-10-11,1281674.7543053206
2024-10-14,1282478.0080589827
2024-10-15,1304295.6529182966
2024-10-16,1282443.066912132
2024-10-17,1284385.9927773054
2024-10-18,1302706.3777947004
2024-10-21,1311849.0125450667
2024-10-22,1315623.780207115
2024-10-23,1301213.2884163435
2024-10-24,1284290.3610252913
2024-10-25,1311620.2945427473
2024-10-28,1319357.2675270613
2024-10-29,1297942.0623421248
2024-10-30,1285178.2375816877
2024-11-01,1284419.5504631575
2024-11-04,1295810.99851461
2024-11-05,1295866.0204720076
2024-11-06,1311066.7193092878
2024-11-07,1315970.848238426
2024-11-08,1315351.8269600447
2024-11-11,1317207.2893318709
2024-11-12,1293449.3402657087
2024-11-13,1293630.0766319807
2024-11-14,1280745.2979530867
2024-11-15,1280149.91572805
2024-11-18,1273474.2939400251
2024-11-19,1297138.3856224592
2024-11-20,1289858.9069923933
2024-11-21,1281778.160623985
2024-11-22,1298923.869623619
2024-11-25,1287726.4132790144
2024-11-26,1287032.4101509626
2024-11-27,1259259.3708595808
2024-11-28,1252058.2889961775
2024-11-29,1256081.0728020247
2024-12-02,1292626.5625710066
2024-12-03,1294156.2436928328
2024-12-04,1308441.7810082014
2024-12-05,1309884.2350792463
2024-12-06,1309164.5321373518
2024-12-09,1320059.5827049788
2024-12-10,1326537.49070211
2024-12-11,1329020.5618385847
2024-12-12,1340968.6872276838
2024-12-13,1358080.0865273054
2024-12-16,1341261.6262611921
2024-12-17,1355028.0251488264
2024-12-18,1363203.1994423445
2024-12-19,1349717.4222588118
2024-12-20,1333749.7288384016
2024-12-23,1359407.948313194
2024-12-24,1358748.6051506575
2024-12-25,1360018.6871208723
2024-12-26,1374180.6188377913
2024-12-27,1384037.9005150374
2024-12-30,1379296.2020897444
2024-12-31,1376212.8979515608
2025-01-02,1341682.9395622786
2025-01-03,1353917.138033348
2025-01-06,1386725.8118309553
2025-01-07,1423441.9691490706
2025-01-08,1412276.8873238142
2025-01-09,1382422.2907814558
2025-01-10,1384265.595957237
2025-01-13,1331394.1904701765
2025-01-14,1342141.8806786116
2025-01-15,1336430.1705879744
2025-01-16,1364576.1691765364
2025-01-17,1359861.7853264387
2025-01-20,1373606.1934532698
2025-01-21,1377017.356768089
2025-01-22,1388473.5588173445
2025-02-03,1384831.6015343245
2025-02-04,1392432.7318672712
2025-02-05,1416969.6627220686
2025-02-06,1411307.2401680525
2025-02-07,1423753.7258400496
2025-02-10,1407290.6386208113
2025-02-11,1419103.1995338972
2025-02-12,1413672.2921928938
2025-02-13,1432505.2739891584
2025-02-14,1422673.919825035
2025-02-17,1441471.2549233015
2025-02-18,1441072.4980186995
2025-02-19,1442936.166384178
2025-02-20,1428476.4029335554
2025-02-21,1447043.422632652
2025-02-24,1453696.7526344832
2025-02-25,1443973.4888786848
2025-02-26,1456207.856920677
2025-02-27,1424298.3391441877
2025-03-03,1397719.084818321
2025-03-04,1406064.6707100447
2025-03-05,1414362.5385536726
2025-03-06,1410834.5290245588
2025-03-07,1387399.4387230452
2025-03-10,1360117.0331902083
