date,account_value
2024-01-02,1000000.0
2024-01-03,999664.3762714273
2024-01-04,999507.3796643789
2024-01-05,999264.7465658109
2024-01-08,999622.3194543645
2024-01-09,1000329.6379239536
2024-01-10,1000079.5405833622
2024-01-11,1000779.3316903627
2024-01-12,999362.0474537964
2024-01-15,999446.9285117758
2024-01-16,997189.3662852419
2024-01-17,995551.6488057442
2024-01-18,996123.1631042635
2024-01-19,1000193.1740231859
2024-01-22,1003627.8786668167
2024-01-23,1000759.5209565986
2024-01-24,1001277.4508593621
2024-01-25,1001286.5857090364
2024-01-26,998442.2100694128
2024-01-29,1001306.5991892288
2024-01-30,1000874.8479370297
2024-01-31,1002261.5612678936
2024-02-01,1004288.7167135668
2024-02-02,1009649.5085477725
2024-02-05,1006248.5778019343
2024-02-15,1010373.2067570941
2024-02-16,1017152.8613443286
2024-02-19,1018111.5480073595
2024-02-20,1019887.268118888
2024-02-21,1013807.081726718
2024-02-22,1013338.9481767648
2024-02-23,1018417.0083367148
2024-02-26,1015348.7734159539
2024-02-27,1005420.4352864753
2024-02-29,1012763.1200200303
2024-03-01,1005471.0266032689
2024-03-04,1011729.83463677
2024-03-05,1016176.5406584528
2024-03-06,1021611.7097898156
2024-03-07,1020831.3684158437
2024-03-08,1015110.705408321
2024-03-11,1011022.1046822545
2024-03-12,1005240.5482131382
2024-03-13,1001156.2281517732
2024-03-14,996802.3568084867
2024-03-15,985697.3997774236
2024-03-18,982999.1997063903
2024-03-19,974942.7409692401
2024-03-20,971998.992856964
2024-03-21,988978.3343703364
2024-03-22,996949.2815416163
2024-03-25,994627.7681759279
2024-03-26,990407.7125059393
2024-03-27,992148.6307144506
2024-03-28,991461.5249612253
2024-03-29,999487.1012349126
2024-04-01,996347.3338413218
2024-04-02,997693.5804606178
2024-04-03,996300.2565907706
2024-04-08,1001703.5552002799
2024-04-09,1007945.3349096563
2024-04-10,1020982.8620821312
2024-04-11,1028141.0134057443
2024-04-12,1011180.681615608
2024-04-15,987030.2997253054
2024-04-16,955829.5695830142
2024-04-17,955257.0388053854
2024-04-18,958243.7836985681
2024-04-19,928414.2986233785
2024-04-22,923491.7529557188
2024-04-23,932490.6409343107
2024-04-24,949497.0772255094
2024-04-25,932419.8411342934
2024-04-26,955385.0058277595
2024-04-29,978118.0616119183
2024-04-30,982954.6223212421
2024-05-02,982682.9632055672
2024-05-03,978894.8337811582
2024-05-06,1000141.7837867106
2024-05-07,1001696.6321227625
2024-05-08,1002966.1195841882
2024-05-09,1009316.7430460394
2024-05-10,1018445.4188279475
2024-05-13,1016555.4114809473
2024-05-14,1053836.8002013224
2024-05-15,1048822.7613202932
2024-05-16,1077358.8117176492
2024-05-17,1076870.82772669
2024-05-20,1077202.3869358443
2024-05-21,1061749.9051516093
2024-05-22,1089242.7816147078
2024-05-23,1091264.3155828475
2024-05-24,1087898.6910868299
2024-05-27,1113927.9652776811
2024-05-28,1103869.5071573236
2024-05-29,1106145.1999100703
2024-05-30,1096280.9006027372
2024-05-31,1077368.5465066144
2024-06-03,1094904.1628165778
2024-06-04,1086045.8663445052
2024-06-05,1080216.9115695665
2024-06-06,1101636.4041138343
2024-06-07,1088567.205271488
2024-06-11,1084541.5089728965
2024-06-12,1092932.8217206649
2024-06-13,1112598.7561036109
2024-06-14,1126083.2025416982
2024-06-17,1115572.5821547925
2024-06-18,1127178.8408542192
2024-06-19,1149116.2534524228
2024-06-20,1159060.7311407297
2024-06-21,1158075.8906446588
2024-06-24,1136199.6205960596
2024-06-25,1127524.623299013
2024-06-26,1130310.4840613115
2024-06-27,1126725.099332216
2024-06-28,1136643.7795167216
2024-07-01,1136885.7034228265
2024-07-02,1132898.6328522796
2024-07-03,1137952.5254478643
2024-07-04,1157618.8862134055
2024-07-05,1152181.2451054475
2024-07-08,1165683.2611225946
2024-07-09,1172208.5818096902
2024-07-10,1189897.994496767
2024-07-11,1199968.4363210658
2024-07-12,1182490.3238414878
2024-07-15,1160617.6090305173
2024-07-16,1163641.4683933905
2024-07-17,1146602.3147431486
2024-07-18,1129431.2957126081
2024-07-19,1119781.8773944129
2024-07-22,1093587.707441387
2024-07-23,1116675.8583756597
2024-07-26,1092358.5136016195
2024-07-29,1084959.8659845616
2024-07-30,1089714.1587176626
2024-07-31,1097276.5185687712
2024-08-01,1125321.2326744383
2024-08-02,1077691.1540929335
2024-08-05,990345.1852570913
2024-08-06,1021200.2085870608
2024-08-07,1076986.4393142965
2024-08-08,1084335.2796614892
2024-08-09,1099031.8282418002
2024-08-12,1112381.228316015
2024-08-13,1106648.5231024302
2024-08-14,1122047.476459936
2024-08-15,1115405.7693345507
2024-08-16,1141395.2779255675
2024-08-19,1150633.9039887923
2024-08-20,1148503.6289729918
2024-08-21,1141048.0502057073
2024-08-22,1136246.0290145471
2024-08-23,1134284.4991451795
2024-08-26,1154820.4714685895
2024-08-27,1159875.8776659772
2024-08-28,1152252.5563126868
2024-08-29,1152630.1038434312
2024-08-30,1143904.0730780275
2024-09-02,1165531.8721645677
2024-09-03,1156405.4416333043
2024-09-04,1105157.9840194816
2024-09-05,1105568.3983230628
2024-09-06,1121385.107583366
2024-09-09,1110571.0937522962
2024-09-10,1100229.1780156745
2024-09-11,1093321.4330837477
2024-09-12,1128655.0912957075
2024-09-13,1136633.9637536905
2024-09-16,1150949.4724940546
2024-09-18,1134885.229896631
2024-09-19,1168220.3999114644
2024-09-20,1183603.5037989595
2024-09-23,1191369.2452679155
2024-09-24,1209475.9712851732
2024-09-25,1205982.2378379572
2024-09-26,1196266.8180093286
2024-09-27,1198708.5384321574
2024-09-30,1166144.8198160608
2024-10-01,1179600.073720106
2024-10-04,1158486.007548296
2024-10-07,1183468.6641245286
2024-10-08,1186316.9180924317
2024-10-09,1191332.124670179
2024-10-11,1205751.9793950135
2024-10-14,1213674.7226075837
2024-10-15,1229604.6469262026
2024-10-16,1213718.7508491494
2024-10-17,1213646.3406358203
2024-10-18,1239780.7317598436
2024-10-21,1238354.9227214106
2024-10-22,1247284.4181460016
2024-10-23,1225580.6126801623
2024-10-24,1219006.6068510225
2024-10-25,1243396.590074907
2024-10-28,1236197.5838358363
2024-10-29,1213813.132748186
2024-10-30,1203856.020645811
2024-11-01,1205721.4249966487
2024-11-04,1214293.2597482852
2024-11-05,1220549.851494829
2024-11-06,1238538.886990263
2024-11-07,1248342.2146003875
2024-11-08,1254466.0268117997
2024-11-11,1247132.9627971933
2024-11-12,1225025.9162136496
2024-11-13,1240026.9506355627
2024-11-14,1234266.3254364526
2024-11-15,1231401.774131483
2024-11-18,1226879.1461683863
2024-11-19,1249700.8642983453
2024-11-20,1251756.575889673
2024-11-21,1242985.9959114322
2024-11-22,1258406.4091393107
2024-11-25,1251601.4507278842
2024-11-26,1252265.0136393374
2024-11-27,1242881.133931015
2024-11-28,1229755.725263851
2024-11-29,1233501.0989597968
2024-12-02,1278961.488400753
2024-12-03,1282773.6993005618
2024-12-04,1300301.6243088283
2024-12-05,1288350.2833386096
2024-12-06,1283417.464024866
2024-12-09,1299058.2500704974
2024-12-10,1293681.8274754428
2024-12-11,1300968.8203368548
2024-12-12,1302699.9121736696
2024-12-13,1324466.4842914923
2024-12-16,1310517.3221949232
2024-12-17,1308901.1780069617
2024-12-18,1316362.2333319262
2024-12-19,1310708.1851143779
2024-12-20,1303416.5757426776
2024-12-23,1327298.9982857665
2024-12-24,1324857.0213122196
2024-12-25,1326014.833990297
2024-12-26,1326126.6662593172
2024-12-27,1343791.3851764926
2024-12-30,1329952.2904830491
2024-12-31,1329151.2811999833
2025-01-02,1308372.634428728
2025-01-03,1325733.4930358236
2025-01-06,1350972.5358476522
2025-01-07,1366215.5240267753
2025-01-08,1357573.9285159109
2025-01-09,1331406.7848325078
2025-01-10,1321370.6670814932
2025-01-13,1283955.2606416165
2025-01-14,1309364.5734889905
2025-01-15,1292154.7279179876
2025-01-16,1314817.0370865802
2025-01-17,1315788.3761514833
2025-01-20,1323130.7747095507
2025-01-21,1323567.072088289
2025-01-22,1342658.802004793
2025-02-03,1335668.2945351885
2025-02-04,1340508.961509979
2025-02-05,1366929.0184960326
2025-02-06,1369508.1905158842
2025-02-07,1382030.632654724
2025-02-10,1369851.530393274
2025-02-11,1380981.3129469394
2025-02-12,1366565.8275598981
2025-02-13,1373852.724766548
2025-02-14,1369608.0457069834
2025-02-17,1396674.3304845865
2025-02-18,1404704.3094731807
2025-02-19,1378418.5450888118
2025-02-20,1369841.9979845847
2025-02-21,1391997.655894413
2025-02-24,1379421.1775790195
2025-02-25,1363668.5621031665
2025-02-26,1377575.122707958
2025-02-27,1349734.3566259954
2025-03-03,1326216.8514386786
2025-03-04,1333883.7942966803
2025-03-05,1346882.4856786916
2025-03-06,1345917.4521052702
2025-03-07,1315205.934126726
2025-03-10,1297932.8427865962
2025-03-11,1283429.1817714975
2025-03-12,1259767.7194520643
2025-03-13,1261288.9014958264
2025-03-14,1258385.7005461748
2025-03-17,1283760.1107324427
2025-03-18,1317740.0328714103
2025-03-19,1293272.6501307199
2025-03-20,1304086.7411849268
2025-03-21,1307527.012242153
2025-03-24,1286892.4207323568
2025-03-25,1301263.326671892
2025-03-26,1307473.0632792527
2025-03-27,1288757.2690569265
2025-03-28,1269202.9582859534
2025-03-31,1210107.4458989752
2025-04-01,1238423.3333722514
2025-04-02,1230970.873165779
2025-04-07,1109348.3973956793
2025-04-08,1040578.4455428007
2025-04-09,958069.9904404582
2025-04-10,1052773.7029542292
2025-04-11,1100266.4414987124
2025-04-14,1126871.5438995895
2025-04-15,1154435.7436445463
2025-04-16,1125266.1828238675
2025-04-17,1112928.1008898448
2025-04-18,1117529.4897555273
2025-04-21,1094482.5947131498
2025-04-22,1062434.8654047584
2025-04-23,1114352.1390475577
2025-04-24,1108825.0637205255
2025-04-25,1164613.9380223292
2025-04-28,1160015.5744525832
2025-04-29,1188362.9260686473
2025-04-30,1185943.2628601969
2025-05-02,1207133.1546291788
2025-05-05,1185005.9162849786
2025-05-06,1199728.2779260234
2025-05-07,1200399.7713879603
2025-05-08,1207795.046689802
2025-05-09,1229300.901030073
2025-05-12,1234772.256797327
2025-05-13,1247815.932466852
2025-05-14,1280281.9469403094
2025-05-15,1287732.2237145165
2025-05-16,1291559.657210282
2025-05-19,1265493.6059483269
2025-05-20,1273688.3062083824
2025-05-21,1292459.3320723046
2025-05-22,1294351.3330479898
2025-05-23,1279703.5497954185
2025-05-26,1274767.612307557
2025-05-27,1256685.885008004
2025-05-28,1269148.4017836768
2025-05-29,1272819.1168249596
2025-06-02,1260647.5732395637
2025-06-03,1277337.1595761727
2025-06-04,1293946.4348888558
2025-06-05,1294192.927863366
2025-06-06,1298222.5428019112
2025-06-09,1308195.2600116737
2025-06-10,1347486.8597711418
2025-06-11,1369254.9031815804
2025-06-12,1359679.687850396
2025-06-13,1353736.1572849588
2025-06-16,1349592.4468561409
2025-06-17,1345937.400414765
2025-06-18,1346422.1390192346
2025-06-19,1332583.131259858
2025-06-20,1314701.2795709255
2025-06-23,1308090.59597807
2025-06-24,1362971.192640538
2025-06-25,1350563.6379079178
2025-06-26,1337302.376737416
2025-06-27,1332890.9163643245
2025-06-30,1327665.1204927424
2025-07-01,1354131.79013854
2025-07-02,1366717.3212212313
2025-07-03,1363378.8359649065
2025-07-04,1346684.1995996912
2025-07-07,1337343.1789013422
2025-07-08,1343128.2873594454
2025-07-09,1372372.4320783175
2025-07-10,1395495.5162067926
2025-07-11,1392732.6945697593
2025-07-14,1367456.8253710517
2025-07-15,1387186.0177957418
2025-07-16,1387424.0477182271
2025-07-17,1388301.5490114095
2025-07-18,1407152.7265664937
2025-07-21,1405782.478559673
2025-07-22,1381811.6768075826
2025-07-23,1402567.689939678
2025-07-24,1403903.7621089818
2025-07-25,1416558.4385082128
2025-07-28,1441317.6448795202
2025-07-29,1425062.0384599569
2025-07-30,1438756.3754245641
2025-07-31,1467314.250896633
2025-08-04,1461259.898877323
2025-08-05,1481248.257314022
2025-08-06,1479000.8652393224
2025-08-07,1522828.699049175
2025-08-08,1527699.9524289968
2025-08-11,1534807.8101570013
2025-08-12,1533191.8116539954
2025-08-13,1545530.1792433555
2025-08-14,1544858.785935065
2025-08-15,1539374.0810905884
2025-08-18,1565936.6805836305
2025-08-19,1530218.546341706
2025-08-20,1482279.707230271
2025-08-21,1492432.7035229271
2025-08-22,1482691.7369914348
2025-08-25,1514809.8337932462
2025-08-26,1520830.364723851
2025-08-27,1522147.5867956209
2025-08-28,1513130.213753987
2025-08-29,1519718.319376006
2025-09-01,1481122.0491282356
2025-09-02,1491627.947246415
2025-09-03,1500068.835654515
2025-09-04,1510448.282844697
2025-09-05,1546982.5842173316
2025-09-08,1544158.775431899
2025-09-09,1573997.5125492162
2025-09-10,1613644.0458964221
2025-09-11,1636765.7829040554
2025-09-12,1648905.570600663
2025-09-15,1625775.6844159781
2025-09-16,1631327.4694896669
2025-09-17,1616244.2051402824
2025-09-18,1634953.3763943948
2025-09-19,1592423.9148413627
2025-09-22,1596235.9099566888
2025-09-23,1601828.6203696143
2025-09-24,1596391.0930519341
2025-09-25,1587110.9348825996
2025-09-26,1571473.6600565116
2025-09-30,1595888.7192506455
2025-10-01,1595356.69745024
2025-10-02,1618058.515792754
2025-10-03,1640721.0165803593
2025-10-07,1627297.2624094533
2025-10-08,1637621.8402166928
2025-10-09,1641309.0103573482
2025-10-13,1638214.810782954
2025-10-14,1615815.079606551
2025-10-15,1634278.805241412
2025-10-16,1633551.5527630872
2025-10-17,1611168.9208332547
2025-10-20,1625496.779238635
2025-10-21,1625204.8693922374
2025-10-22,1610123.7302479886
2025-10-23,1616083.4855823123
2025-10-27,1650871.256316844
2025-10-28,1641804.900918082
2025-10-29,1646589.7381610402
2025-10-30,1660746.8772761829
2025-10-31,1667377.7372713117
2025-11-03,1661996.8090921734
2025-11-04,1687632.3569941623
2025-11-05,1636399.9239554908
2025-11-06,1640824.3679427288
2025-11-07,1604737.9541323422
2025-11-10,1604806.5917822903
2025-11-11,1597820.3644963996
2025-11-12,1597164.9091741017
2025-11-13,1592669.7888533333
2025-11-14,1582251.2742063531
2025-11-17,1570490.1691254738
2025-11-18,1492046.242541852
