date,account_value
2024-01-02,1000000.0
2024-01-03,999765.0786300659
2024-01-04,999731.1203461838
2024-01-05,1000042.2568709726
2024-01-08,999576.5514543857
2024-01-09,999998.5713977909
2024-01-10,998469.9586542522
2024-01-11,1002210.4153501369
2024-01-12,1003375.3290530007
2024-01-15,1005048.6404127553
2024-01-16,1006372.0969110482
2024-01-17,1002119.4269380276
2024-01-18,1001481.0967485852
2024-01-19,1009661.5696139961
2024-01-22,1026942.630081863
2024-01-23,1028913.7593566873
2024-01-24,1020952.3578823699
2024-01-25,1016621.1474491291
2024-01-26,1016352.6924802724
2024-01-29,1027463.9451585026
2024-01-30,1049654.4840458736
2024-01-31,1044573.6545161932
2024-02-01,1036908.7020980794
2024-02-02,1055547.5230085466
2024-02-05,1071230.4741099535
2024-02-15,1108897.1384325349
2024-02-16,1101833.4306358679
2024-02-19,1087246.3763533551
2024-02-20,1086997.6132584435
2024-02-21,1075261.4517987326
2024-02-22,1079612.1068456802
2024-02-23,1099492.8406101167
2024-02-26,1113164.3447647418
2024-02-27,1095505.2567321032
2024-02-29,1088829.2983110158
2024-03-01,1086496.5633300282
2024-03-04,1086451.3844429394
2024-03-05,1103244.6004814089
2024-03-06,1125114.309686792
2024-03-07,1138386.7637459715
2024-03-08,1100551.0711505774
2024-03-11,1111278.081337711
2024-03-12,1063451.9656841885
2024-03-13,1010246.0193796956
2024-03-14,994496.1770047452
2024-03-15,1023627.7987417047
2024-03-18,1024985.6202822997
2024-03-19,1034388.9118660047
2024-03-20,1016866.7111674068
2024-03-21,1047401.372407931
2024-03-22,1059860.3034496487
2024-03-25,1046672.7535896479
2024-03-26,1024067.9294719875
2024-03-27,1038291.0693168818
2024-03-28,1021820.9427547633
2024-03-29,1022772.7023582638
2024-04-01,1014867.184946078
2024-04-02,1026917.3575458705
2024-04-03,1037637.4123745143
2024-04-08,1082699.7378921688
2024-04-09,1073558.613325137
2024-04-10,1033971.3360614955
2024-04-11,1021044.9481067836
2024-04-12,1024424.6114234054
2024-04-15,989663.3831680458
2024-04-16,966542.9477264411
2024-04-17,974681.3000769299
2024-04-18,994720.1733439128
2024-04-19,964264.7016871135
2024-04-22,920985.1947472255
2024-04-23,959573.1853497188
2024-04-24,998917.0548241298
2024-04-25,978499.0714314143
2024-04-26,1004776.9643328349
2024-04-29,1026968.7446739834
2024-04-30,1030755.5279467265
2024-05-02,1034586.7377655667
2024-05-03,1034888.9726050061
2024-05-06,1057206.6796152752
2024-05-07,1053995.3346026104
2024-05-08,1062697.4558012646
2024-05-09,1057064.027899043
2024-05-10,1045831.7363360088
2024-05-13,1044349.0576880138
2024-05-14,1042341.5377104442
2024-05-15,1059418.8493406933
2024-05-16,1083292.8569262188
2024-05-17,1099579.461330758
2024-05-20,1075969.9438257662
2024-05-21,1064331.2682686201
2024-05-22,1080780.7879601847
2024-05-23,1086442.4466462887
2024-05-24,1086197.1549423872
2024-05-27,1103557.3961743056
2024-05-28,1089895.1464489638
2024-05-29,1094034.565037602
2024-05-30,1073446.7195786177
2024-05-31,1053259.4356507002
2024-06-03,1097562.8251827895
2024-06-04,1082930.060419911
2024-06-05,1090329.3206585585
2024-06-06,1109999.0172070204
2024-06-07,1104689.749068135
2024-06-11,1088372.2137516676
2024-06-12,1136387.2303227126
2024-06-13,1147180.6250942885
2024-06-14,1164881.689806813
2024-06-17,1154430.1045292555
2024-06-18,1161191.4016390482
2024-06-19,1160330.4168291537
2024-06-20,1192917.7908265656
2024-06-21,1182390.9322262313
2024-06-24,1171890.1309283779
2024-06-25,1186813.154834525
2024-06-26,1198585.9952608668
2024-06-27,1208509.1834507645
2024-06-28,1208248.8229023062
2024-07-01,1195438.3131153418
2024-07-02,1214704.2728259475
2024-07-03,1229993.8264801146
2024-07-04,1246004.535067948
2024-07-05,1267621.1956647956
2024-07-08,1270943.5182966315
2024-07-09,1283404.4138330542
2024-07-10,1290034.883304032
2024-07-11,1293502.0522989356
2024-07-12,1234244.1170362555
2024-07-15,1236293.9519495093
2024-07-16,1243758.6114000403
2024-07-17,1218526.9522680365
2024-07-18,1182685.489150437
2024-07-19,1155023.2233957374
2024-07-22,1110583.3200067603
2024-07-23,1160646.7584756934
2024-07-26,1108520.1112798774
2024-07-29,1102996.930354508
2024-07-30,1135254.1987508857
2024-07-31,1152476.5961813056
2024-08-01,1141580.8247884833
2024-08-02,1100013.3466657721
2024-08-05,1016829.6974004828
2024-08-06,1081073.3918699347
2024-08-07,1121586.5785631263
2024-08-08,1108831.9835619056
2024-08-09,1122579.2392286384
2024-08-12,1142662.5958417975
2024-08-13,1125138.6151708686
2024-08-14,1141994.9595865333
2024-08-15,1138294.5684064948
2024-08-16,1152411.725001725
2024-08-19,1158163.5177435004
2024-08-20,1149186.4575475776
2024-08-21,1140149.3529657447
2024-08-22,1143309.5355257117
2024-08-23,1160862.114024552
2024-08-26,1155574.748670014
2024-08-27,1160511.4936765754
2024-08-28,1175693.1781992042
2024-08-29,1168757.0187353217
2024-08-30,1204487.27266446
2024-09-02,1213783.8592027747
2024-09-03,1250662.6873601996
2024-09-04,1183043.2162221991
2024-09-05,1213506.7033895575
2024-09-06,1220470.2879423224
2024-09-09,1196581.5967229926
2024-09-10,1169650.6612238013
2024-09-11,1164786.9562009894
2024-09-12,1217803.5670751655
2024-09-13,1201411.2740186774
2024-09-16,1207737.0332159125
2024-09-18,1178874.3610776984
2024-09-19,1211702.7031435096
2024-09-20,1209470.21608487
2024-09-23,1209841.1211217963
2024-09-24,1210165.5974515998
2024-09-25,1232489.4836668097
2024-09-26,1224553.6518110358
2024-09-27,1225978.7218145453
2024-09-30,1182215.0294584357
2024-10-01,1178937.666764649
2024-10-04,1140391.8567632758
2024-10-07,1176683.699300202
2024-10-08,1177914.3167471015
2024-10-09,1162514.4542707526
2024-10-11,1160937.2081235969
2024-10-14,1168659.2189592444
2024-10-15,1180480.5139097297
2024-10-16,1171044.3919023597
2024-10-17,1193382.4250177466
2024-10-18,1184914.6901601874
2024-10-21,1198537.8633760535
2024-10-22,1216239.3013567054
2024-10-23,1220873.6024927222
2024-10-24,1196098.0136903846
2024-10-25,1203219.4753679358
2024-10-28,1198629.0370134437
2024-10-29,1179130.2865366065
2024-10-30,1177286.7651399695
2024-11-01,1185476.5863260354
2024-11-04,1194946.2721933448
2024-11-05,1197133.855204972
2024-11-06,1209220.1651643836
2024-11-07,1218134.3702806556
2024-11-08,1215106.5563921058
2024-11-11,1223357.9890359961
2024-11-12,1202793.4038614356
2024-11-13,1212879.236720475
2024-11-14,1206770.9049781882
2024-11-15,1211445.6656564795
2024-11-18,1173614.7302087867
2024-11-19,1196373.0595735633
2024-11-20,1210813.5882982337
2024-11-21,1241499.087096604
2024-11-22,1255200.104625138
2024-11-25,1259176.4637121283
2024-11-26,1231264.5687345588
2024-11-27,1222436.5273126685
2024-11-28,1214335.5693258368
2024-11-29,1221824.3018488013
2024-12-02,1283711.3971056067
2024-12-03,1295005.2507585608
2024-12-04,1343436.3352026069
2024-12-05,1330132.50247136
2024-12-06,1338648.8274797522
2024-12-09,1356646.2224783027
2024-12-10,1356724.9650148475
2024-12-11,1380686.9859594428
2024-12-12,1383181.519732865
2024-12-13,1419530.8807939612
2024-12-16,1433266.710105332
2024-12-17,1419918.2357057654
2024-12-18,1443659.6182130896
2024-12-19,1438322.069425019
2024-12-20,1403638.4834970557
2024-12-23,1432087.070065888
2024-12-24,1413891.8124631965
2024-12-25,1411193.7406152808
2024-12-26,1433886.8491205298
2024-12-27,1469514.1567873084
2024-12-30,1454844.3623975837
