date,account_value
2024-01-02,1000000.0
2024-01-03,981683.7018267633
2024-01-04,975602.9295928042
2024-01-05,968789.5847698663
2024-01-08,969423.5881812681
2024-01-09,967332.9126709301
2024-01-10,964203.9802014974
2024-01-11,968006.9133783849
2024-01-12,971467.5028356832
2024-01-15,970791.8910860341
2024-01-16,956886.8010858815
2024-01-17,944793.5602945607
2024-01-18,944879.1179804128
2024-01-19,983430.2180551809
2024-01-22,994322.3561224263
2024-01-23,997960.770062856
2024-01-24,995607.9152025502
2024-01-25,1000553.2356466573
2024-01-26,1001727.7840837758
2024-01-29,1011533.054912927
2024-01-30,1005753.4903687623
2024-01-31,991772.2014226106
2024-02-01,994390.9467839387
2024-02-02,1003939.3316544679
2024-02-05,1010078.3583821442
2024-02-15,1043165.1704536632
2024-02-16,1033333.3724109996
2024-02-19,1028926.8058826793
2024-02-20,1036827.8241054881
2024-02-21,1028724.667914616
2024-02-22,1042005.3601829875
2024-02-23,1047502.0963814128
2024-02-26,1051088.4024631847
2024-02-27,1040827.6100666393
2024-02-29,1045416.0400135387
2024-03-01,1041208.344741093
2024-03-04,1065305.969213961
2024-03-05,1067416.6766190513
2024-03-06,1076943.8665957435
2024-03-07,1092690.0979514106
2024-03-08,1115990.1028475745
2024-03-11,1109094.8836235984
2024-03-12,1119004.1326632483
2024-03-13,1123482.01972246
2024-03-14,1117169.4600319846
2024-03-15,1100250.9368662818
2024-03-18,1111489.113917826
2024-03-19,1119961.0179648383
2024-03-20,1108281.1362032874
2024-03-21,1145679.879077433
2024-03-22,1160648.2949175818
2024-03-25,1153130.78103113
2024-03-26,1149734.324401377
2024-03-27,1152382.4801020606
2024-03-28,1157327.5390000327
2024-03-29,1167410.4658799155
2024-04-01,1156664.9880061133
2024-04-02,1179260.2281031592
2024-04-03,1164777.980996607
2024-04-08,1167891.6676783545
2024-04-09,1188228.4150556128
2024-04-10,1180850.427800116
2024-04-11,1176101.7482026457
2024-04-12,1168172.2725308775
2024-04-15,1144358.6417172789
2024-04-16,1106577.1657384275
2024-04-17,1123431.2486718534
2024-04-18,1130177.3221963285
2024-04-19,1080221.165171945
2024-04-22,1076487.3531621336
2024-04-23,1084262.6485036253
2024-04-24,1120957.4408772825
2024-04-25,1105453.0686505674
2024-04-26,1124642.4207986235
2024-04-29,1144468.08865484
2024-04-30,1136518.6002419828
2024-05-02,1119009.0176328062
2024-05-03,1137702.6563447355
2024-05-06,1143688.7178796171
2024-05-07,1157360.3812783598
2024-05-08,1161470.832183206
2024-05-09,1158723.5338548063
2024-05-10,1159167.0654290556
2024-05-13,1169896.377066934
2024-05-14,1182431.8808053373
2024-05-15,1193407.394267404
2024-05-16,1194379.4025605558
2024-05-17,1194854.33509382
2024-05-20,1190391.7242730497
2024-05-21,1191007.639113748
2024-05-22,1214494.704310739
2024-05-23,1221544.0987809538
2024-05-24,1215602.9319032072
2024-05-27,1243003.0895341276
2024-05-28,1241768.6969483732
2024-05-29,1225925.03380903
2024-05-30,1203001.6227296232
2024-05-31,1184155.3058312773
2024-06-03,1213522.6137460112
2024-06-04,1200728.325404489
2024-06-05,1216353.5598748564
2024-06-06,1243920.6942132353
2024-06-07,1231927.4983209013
2024-06-11,1231292.7862809538
2024-06-12,1250619.7584832548
2024-06-13,1277521.0739014982
2024-06-14,1285975.7586549162
2024-06-17,1281170.7101395964
2024-06-18,1298772.4972375273
