date,account_value
2024-01-02,1000000.0
2024-01-03,986608.3785193445
2024-01-04,977382.8251682284
2024-01-05,963964.105153557
2024-01-08,963801.9338927233
2024-01-09,966717.8621764147
2024-01-10,957815.0324034655
2024-01-11,963042.0108885729
2024-01-12,966009.1402831041
2024-01-15,968590.1843237841
2024-01-16,961464.2164969408
2024-01-17,937881.4134345019
2024-01-18,939275.0503287279
2024-01-19,951985.575982567
2024-01-22,953287.921636101
2024-01-23,955839.7228980028
2024-01-24,958514.7727370226
2024-01-25,964349.2265448534
2024-01-26,945371.893624779
2024-01-29,959046.3155379259
2024-01-30,952939.6151671374
2024-01-31,954460.5029196703
2024-02-01,947327.2959418261
2024-02-02,942151.9498686754
2024-02-05,934164.3568854296
2024-02-15,947185.3481535875
2024-02-16,953693.1610846483
2024-02-19,957491.7531638109
2024-02-20,973099.4272971117
2024-02-21,975117.3204321825
2024-02-22,987443.5634283983
2024-02-23,992849.4267706835
2024-02-26,1007067.8985190355
2024-02-27,1001518.923802849
2024-02-29,997971.8125891649
2024-03-01,990716.2142729723
2024-03-04,992433.7116141283
2024-03-05,994625.5876479113
2024-03-06,1003453.8734145128
2024-03-07,995726.2440161669
2024-03-08,978974.4862036669
2024-03-11,985276.1855139696
2024-03-12,983016.1432242357
2024-03-13,973768.625844475
2024-03-14,975150.7002959215
2024-03-15,972123.1953864062
2024-03-18,970344.8768324816
2024-03-19,959928.8490195238
2024-03-20,977735.8452086413
2024-03-21,976591.0560622179
2024-03-22,975283.8849997484
2024-03-25,974123.9983000719
2024-03-26,960750.1977515185
2024-03-27,963924.9012885058
2024-03-28,960317.6346640551
2024-03-29,966332.0964179003
2024-04-01,974899.3769812548
2024-04-02,976660.3527731859
2024-04-03,976396.0344443285
2024-04-08,959350.5322623217
2024-04-09,958642.7422995531
2024-04-10,964131.1803259813
2024-04-11,954967.8498663866
2024-04-12,956037.6915144884
2024-04-15,934829.3224310839
2024-04-16,908347.5024809801
2024-04-17,907841.1283240282
2024-04-18,909197.1742224657
2024-04-19,880627.1355528795
2024-04-22,867372.392629143
2024-04-23,876901.3835387194
2024-04-24,902914.5966772997
2024-04-25,893308.5698752367
2024-04-26,898181.2935271227
2024-04-29,911349.380040642
2024-04-30,909249.3501601183
2024-05-02,904836.6208472216
2024-05-03,910155.0110869372
2024-05-06,928088.4185156786
2024-05-07,936958.0624823534
2024-05-08,930590.3470435106
2024-05-09,929500.560193535
2024-05-10,933924.798387047
2024-05-13,934812.2735190355
2024-05-14,962066.7980933153
2024-05-15,950278.0918440783
2024-05-16,974146.649281975
2024-05-17,974603.9242415392
2024-05-20,970118.4297995531
2024-05-21,945953.7765364611
2024-05-22,961039.8476195299
2024-05-23,955519.1051459276
2024-05-24,949414.1434798205
2024-05-27,962752.1977591478
2024-05-28,960382.7918028795
2024-05-29,981709.6404013598
2024-05-30,974088.0012145006
2024-05-31,968594.4499907458
2024-06-03,979057.6574187243
2024-06-04,972760.794141289
2024-06-05,972956.2633604967
2024-06-06,992597.9196257555
2024-06-07,981896.4378333056
2024-06-11,952531.5992255175
2024-06-12,982129.996522423
2024-06-13,996665.2619643175
2024-06-14,1027776.573564049
2024-06-17,1039355.3563361132
2024-06-18,1053378.9658980335
2024-06-19,1050955.569657799
2024-06-20,1058359.3721709216
2024-06-21,1049474.2915625537
2024-06-24,1041754.1213469469
2024-06-25,1058941.8191390003
2024-06-26,1062263.8499655689
2024-06-27,1055441.4593291248
2024-06-28,1067767.2857069934
2024-07-01,1055104.99863958
2024-07-02,1049939.5956244434
2024-07-03,1054716.8848700488
2024-07-04,1094404.5745940174
2024-07-05,1104048.505105492
2024-07-08,1130588.4299597705
2024-07-09,1149766.0054144824
2024-07-10,1157676.541974541
2024-07-11,1185352.999989983
2024-07-12,1153876.2690710986
2024-07-15,1154959.7401518787
2024-07-16,1158746.5871405567
2024-07-17,1144479.6544547046
2024-07-18,1125812.802533623
2024-07-19,1097518.0741782153
2024-07-22,1070328.0664038623
2024-07-23,1082763.7238707507
2024-07-26,1058602.8662505115
2024-07-29,1048420.2992758715
2024-07-30,1076502.2235236133
2024-07-31,1067809.0339674915
2024-08-01,1093246.0838522876
2024-08-02,1053587.9422163928
2024-08-05,975715.6740241015
2024-08-06,998793.1922850573
2024-08-07,1042922.1995902025
2024-08-08,1043491.5222830736
2024-08-09,1054113.8129324878
2024-08-12,1059496.1216101611
2024-08-13,1070748.3379645313
2024-08-14,1084786.3288359607
2024-08-15,1065083.6244559253
2024-08-16,1093356.20384359
2024-08-19,1118510.2139983142
2024-08-20,1132484.2589507068
2024-08-21,1128768.147683617
2024-08-22,1133619.579423424
2024-08-23,1142436.1615042652
2024-08-26,1149745.0820136035
2024-08-27,1149945.4472823108
2024-08-28,1143298.9052519763
2024-08-29,1179599.5596327747
2024-08-30,1160311.610421654
2024-09-02,1171061.5968871082
2024-09-03,1154250.5126242603
2024-09-04,1103598.2747702564
2024-09-05,1103284.8855719531
2024-09-06,1076112.0482153858
2024-09-09,1065179.33980703
2024-09-10,1041417.0068182909
2024-09-11,1054891.3448271716
2024-09-12,1073496.9776244129
2024-09-13,1076812.196183678
2024-09-16,1058992.6786398853
2024-09-18,1029250.5307326281
2024-09-19,1063378.72186422
2024-09-20,1062267.699761864
2024-09-23,1079001.538850304
2024-09-24,1079739.42001104
2024-09-25,1083453.9539618457
2024-09-26,1073388.081326958
2024-09-27,1072966.5352377857
2024-09-30,1045148.5779433214
2024-10-01,1065902.1654143299
2024-10-04,1041764.847379204
2024-10-07,1045441.4609999621
2024-10-08,1034469.9479117357
2024-10-09,1032093.5321783983
2024-10-11,1035223.6605162584
2024-10-14,1047052.1009802782
2024-10-15,1061108.4137167896
2024-10-16,1053345.47060537
2024-10-17,1058485.9700331653
2024-10-18,1022440.2756247484
2024-10-21,1039118.1767439806
2024-10-22,1047272.4137740099
2024-10-23,1039292.9717764818
2024-10-24,1031832.176412102
2024-10-25,1042141.9817519152
2024-10-28,1029762.7523131334
2024-10-29,1014926.2600569689
2024-10-30,1004714.4433913195
2024-11-01,1009002.0659842455
2024-11-04,1019613.9961218798
2024-11-05,1017172.9758849108
2024-11-06,1030042.1648459398
2024-11-07,1037398.2145743334
2024-11-08,1035008.5582900011
2024-11-11,1031353.9233946764
2024-11-12,1013736.3729071581
2024-11-13,1042989.9434180224
2024-11-14,1031112.0333495104
2024-11-15,1047303.3468413317
2024-11-18,1034426.9045729601
2024-11-19,1050315.5721259082
2024-11-20,1041350.9263586962
2024-11-21,1045953.5322127306
2024-11-22,1048087.039491173
2024-11-25,1060526.7886328662
2024-11-26,1070435.9644446338
2024-11-27,1054379.8511214221
2024-11-28,1044893.10177755
2024-11-29,1047911.329297539
2024-12-02,1079679.1230635608
2024-12-03,1079344.4012389148
2024-12-04,1097785.8648924793
2024-12-05,1087955.238599297
2024-12-06,1084655.74473333
2024-12-09,1080557.9291205371
2024-12-10,1078259.2094550098
2024-12-11,1089288.4877219165
2024-12-12,1096034.6293959583
2024-12-13,1106340.0353369678
2024-12-16,1096325.8958411182
2024-12-17,1099785.8579726184
2024-12-18,1115165.7811408008
2024-12-19,1104082.3266425098
2024-12-20,1096925.3516478504
2024-12-23,1114241.0412802661
2024-12-24,1111323.7565436328
2024-12-25,1118365.7996802295
2024-12-26,1140418.796498772
2024-12-27,1141691.8402838672
2024-12-30,1138035.2274031604
2024-12-31,1145355.4388899768
2025-01-02,1123451.4371390308
2025-01-03,1123343.300355431
2025-01-06,1148676.3776679004
2025-01-07,1149483.3672881091
2025-01-08,1137766.0080847705
2025-01-09,1120190.6278510059
2025-01-10,1141758.5466055835
2025-01-13,1108137.5794196094
2025-01-14,1119741.7641844715
2025-01-15,1120175.6746344531
2025-01-16,1137165.1170096362
2025-01-17,1134759.237439629
2025-01-20,1142576.9623808826
2025-01-21,1143504.7891058887
2025-01-22,1147836.1555876697
2025-02-03,1158385.8048186267
2025-02-04,1160119.431565758
2025-02-05,1177353.7161498035
2025-02-06,1170721.6777510608
2025-02-07,1177547.838811394
2025-02-10,1160869.8704009021
2025-02-11,1164321.4165320361
2025-02-12,1155315.3783049549
2025-02-13,1159274.4086623157
2025-02-14,1150351.619180199
2025-02-17,1170685.308709618
2025-02-18,1173249.7333235706
2025-02-19,1161705.7762160266
2025-02-20,1170639.0156912769
2025-02-21,1177786.704564568
2025-02-24,1173160.4737753833
2025-02-25,1161396.9297842945
2025-02-26,1172510.6636023486
2025-02-27,1145404.4652304614
2025-03-03,1140320.4180655445
2025-03-04,1142331.4903311695
2025-03-05,1154890.9644064868
2025-03-06,1155558.7169318164
2025-03-07,1134262.7298750842
2025-03-10,1120988.2240843738
2025-03-11,1112257.9732527698
2025-03-12,1101970.7055678333
2025-03-13,1067301.1741614307
2025-03-14,1066585.3450598682
2025-03-17,1071930.9253516162
2025-03-18,1096041.4878020252
2025-03-19,1088257.8019881214
2025-03-20,1101153.3257422412
2025-03-21,1098244.5734953845
2025-03-24,1080492.9100356067
2025-03-25,1095111.392037865
2025-03-26,1101301.8068327869
2025-03-27,1087038.3121199573
2025-03-28,1065364.0122542346
2025-03-31,1030066.8615126574
2025-04-01,1058857.3994650806
2025-04-02,1056229.3789420093
2025-04-07,953992.05433416
2025-04-08,875575.9053740465
2025-04-09,806519.7548918688
2025-04-10,882721.3517508471
2025-04-11,914351.9547095263
2025-04-14,945876.346055504
2025-04-15,963758.082711693
2025-04-16,954743.7465186083
2025-04-17,952276.5566687548
2025-04-18,949815.1961226427
2025-04-21,933183.8134016955
2025-04-22,915904.7547469103
2025-04-23,954626.4977431261
2025-04-24,944383.2976736986
2025-04-25,988031.2883849108
2025-04-28,984239.491406914
2025-04-29,995992.4514059984
2025-04-30,1003502.2890295946
2025-05-02,998275.6351752245
2025-05-05,973255.9902510607
2025-05-06,978100.9995856249
2025-05-07,977777.0523276293
2025-05-08,989176.7654204333
2025-05-09,1003652.2158942187
2025-05-12,1015408.6271605456
2025-05-13,1022942.22778463
2025-05-14,1047741.737260338
2025-05-15,1049831.7640051807
2025-05-16,1052412.2968726123
2025-05-19,1029832.1171851122
2025-05-20,1036857.7804350817
2025-05-21,1054547.0821623767
2025-05-22,1054423.250329491
2025-05-23,1057886.7977652515
2025-05-26,1054945.7859663928
2025-05-27,1039409.300252434
2025-05-28,1055570.0952467883
2025-05-29,1066177.713761803
2025-06-02,1047806.9508299791
2025-06-03,1054213.6347975696
2025-06-04,1071276.3372397388
2025-06-05,1073952.4658064807
2025-06-06,1071401.0634398425
2025-06-09,1081153.9951453174
2025-06-10,1095552.979501244
2025-06-11,1113879.376008507
2025-06-12,1109255.7001967395
2025-06-13,1104192.588017937
2025-06-16,1108554.6330618823
2025-06-17,1109888.1188940967
2025-06-18,1108190.8811316455
2025-06-19,1098459.2794928516
2025-06-20,1087310.5388388599
2025-06-23,1078750.9451842273
2025-06-24,1116218.415967461
2025-06-25,1108698.3601012195
2025-06-26,1094566.965146538
2025-06-27,1100490.8508543933
2025-06-30,1104690.7439818347
2025-07-01,1105180.2639327014
2025-07-02,1114002.360459801
2025-07-03,1105148.5946936572
2025-07-04,1086743.1077780689
2025-07-07,1065458.690209862
2025-07-08,1062959.9029860462
2025-07-09,1081007.5471549
2025-07-10,1089048.2903914417
2025-07-11,1104063.708859917
2025-07-14,1086565.8784842456
2025-07-15,1096640.03121328
2025-07-16,1104462.2977156604
2025-07-17,1113914.9163603748
2025-07-18,1138424.273942467
2025-07-21,1139595.2847266162
2025-07-22,1125428.7002081836
2025-07-23,1119056.205358025
2025-07-24,1127667.1226401294
2025-07-25,1125211.1425528491
2025-07-28,1136259.0096487964
2025-07-29,1129003.6400999988
2025-07-30,1136001.3869338
2025-07-31,1151501.0557951892
2025-08-04,1147720.7987761463
2025-08-05,1166516.8147788013
2025-08-06,1155393.1828474964
2025-08-07,1175937.1202368701
2025-08-08,1178641.1691336597
