date,account_value
2025-01-02,1000000.0
2025-01-03,1000814.1779604492
2025-01-06,1007890.3845595703
2025-01-07,1019436.5409108887
2025-01-08,1014575.9073693848
2025-01-09,1005541.1769729004
2025-01-10,1014402.3124023438
2025-01-13,983000.3358110352
2025-01-14,987689.1864929199
2025-01-15,998342.1404118653
2025-01-16,1022116.1650627442
2025-01-17,1002345.5716635743
2025-01-20,1012787.8117465822
2025-01-21,1026795.2355747072
2025-01-22,1026795.2355747072
2025-02-03,1051308.1828403322
2025-02-04,1044304.5597934572
2025-02-05,1068817.3293247072
2025-02-06,1068817.3293247072
2025-02-07,1068817.3293247072
2025-02-10,1037300.7590122072
2025-02-11,1058311.8947543947
2025-02-12,1040802.5705356447
2025-02-13,1065315.5178012697
2025-02-14,1054809.9943637697
2025-02-17,1082824.7531528322
2025-02-18,1075821.1301059572
2025-02-19,1079322.9416293947
2025-02-20,1051308.1828403322
2025-02-21,1058311.8947543947
2025-02-24,1082824.7531528322
2025-02-25,1086326.6535434572
2025-02-26,1093330.2765903322
2025-02-27,1061813.7062778322
2025-03-03,1030297.1359653322
2025-03-04,1054809.9943637697
2025-03-05,1054809.9943637697
2025-03-06,1047806.3713168947
2025-03-07,1026795.2355747072
2025-03-10,977769.4299106447
2025-03-11,970765.7179965822
2025-03-12,988274.9533481447
2025-03-13,974267.5295200197
2025-03-14,981271.2414340822
2025-03-17,998780.4767856447
2025-03-18,1033798.9474887697
2025-03-19,1026795.2355747072
2025-03-20,1040802.5705356447
2025-03-21,1037300.7590122072
2025-03-24,1037300.7590122072
2025-03-25,1068817.3293247072
2025-03-26,1061813.7062778322
2025-03-27,1040802.5705356447
2025-03-28,1026795.2355747072
2025-03-31,974267.5295200197
