date,account_value
2025-01-02,1000000.0
2025-01-03,1000196.9785388183
2025-01-06,1001908.9640063476
2025-01-07,1004702.3889300537
2025-01-08,1003526.4292022705
2025-01-09,1001340.6073321532
2025-01-10,1003484.4304199218
2025-01-13,995887.1780187987
2025-01-14,997021.5773773192
2025-01-15,999598.9049383544
2025-01-16,1005350.6850958251
2025-01-17,1000567.4770153807
2025-01-20,1003144.3606701659
2025-01-21,1006875.4968591307
2025-01-22,1006854.3559082029
2025-02-03,1014409.3319006346
2025-02-04,1012078.799156494
2025-02-05,1020643.5010498045
2025-02-06,1020621.494259033
2025-02-07,1020599.4874682615
2025-02-10,1007589.88302124
2025-02-11,1016659.8824218748
2025-02-12,1008701.1731439207
2025-02-13,1020296.4562268064
2025-02-14,1015079.482526245
2025-02-17,1029488.4436694335
2025-02-18,1025714.2073461912
2025-02-19,1027640.179415283
2025-02-20,1011455.5953228758
2025-02-21,1015618.8595758055
2025-02-24,1030749.248198242
2025-02-25,1032963.743564453
2025-02-26,1037559.1494421385
2025-02-27,1016107.1014440916
2025-03-03,994006.3229431151
2025-03-04,1011662.6519519042
2025-03-05,1011640.9337738035
2025-03-06,1006279.9150585936
2025-03-07,989807.3145745848
2025-03-10,950390.4369293211
2025-03-11,944598.0160864256
2025-03-12,959369.4852783201
2025-03-13,947227.328932495
2025-03-14,953412.4820751952
2025-03-17,969266.036442871
2025-03-18,1001667.7904113767
2025-03-19,995051.1105935057
2025-03-20,1008464.3074519042
2025-03-21,1005063.1296207274
2025-03-24,1005062.1719113158
2025-03-25,1035600.7617550658
2025-03-26,1028808.5539303587
2025-03-27,1008439.5550289915
2025-03-28,994868.8477536009
2025-03-31,943959.2883663939
