date,account_value
2025-01-02,1000000.0
2025-01-03,1000061.338585205
2025-01-06,1000836.4340405273
2025-01-07,1000952.8967150878
2025-01-08,1000059.1597180176
2025-01-09,999822.7587231445
2025-01-10,999811.9707287598
2025-01-13,998182.9661816406
2025-01-14,999290.4638989258
2025-01-15,997171.2097692871
2025-01-16,1000926.7611242676
2025-01-17,1002475.2575903321
2025-01-20,1002464.2734533692
2025-01-21,1002452.19090271
2025-01-22,1004470.2345727539
2025-02-03,994959.676723877
2025-02-04,998871.0241943359
2025-02-05,1001374.760779541
2025-02-06,1002255.2570545654
2025-02-07,1004136.027880249
2025-02-10,1000122.5329892577
2025-02-11,1001164.8786136473
2025-02-12,998936.4928085936
2025-02-13,996600.278602661
2025-02-14,989322.4157083739
2025-02-17,995613.1944437254
2025-02-18,999530.3738712156
2025-02-19,996802.9435428465
2025-02-20,993977.5725919188
2025-02-21,998336.1291812742
2025-02-24,992303.6631729734
2025-02-25,986075.4006363524
2025-02-26,987668.5195450438
2025-02-27,981048.0366837156
2025-03-03,974231.5625894775
2025-03-04,967239.7968234862
2025-03-05,974390.2634962157
2025-03-06,968879.3926276854
2025-03-07,968870.5219548949
2025-03-10,966170.5272586668
2025-03-11,955543.4175296018
2025-03-12,962370.4658552855
2025-03-13,952910.5128124389
2025-03-14,950383.4983750609
2025-03-17,955089.3739328611
2025-03-18,957497.7706851194
2025-03-19,948971.2680177
2025-03-20,964049.6795025632
2025-03-21,957982.3933862303
2025-03-24,957973.7740015257
2025-03-25,966689.9898761595
2025-03-26,961733.9850623168
2025-03-27,950625.9541455687
2025-03-28,947530.5850623167
2025-03-31,925505.7111316527
