date,account_value
2025-01-02,1000000.0
2025-01-03,1000258.2929641113
2025-01-06,1002586.6180288085
2025-01-07,1005810.7309462889
2025-01-08,1003959.1808554685
2025-01-09,1001282.7968006589
2025-01-10,1003798.3452694089
2025-01-13,993739.5791003415
2025-01-14,995784.6152010495
2025-01-15,997589.4244356686
2025-01-16,1006875.4097322995
2025-01-17,1002010.8909393308
2025-01-20,1005151.8093603513
2025-01-21,1009715.2001557614
2025-01-22,1010975.3059642331
2025-02-03,1014146.9454263913
2025-02-04,1013766.4466817623
2025-02-05,1025941.659597778
2025-02-06,1026474.9917202145
2025-02-07,1027645.7537502439
2025-02-10,1008955.648911743
2025-02-11,1020877.6256267087
2025-02-12,1009569.1572224118
2025-02-13,1022498.6778210447
2025-02-14,1011349.8365388182
2025-02-17,1033308.078316284
2025-02-18,1031112.4635571287
2025-02-19,1031760.2827342527
2025-02-20,1009745.8396676023
2025-02-21,1017759.4295604246
2025-02-24,1032760.30988208
2025-02-25,1031678.5213078612
2025-02-26,1037988.167303955
2025-02-27,1010065.25128833
2025-03-03,982142.311835205
2025-03-04,997165.0293645018
2025-03-05,1000931.0137395018
2025-03-06,992738.3638371581
2025-03-07,976633.6746281737
2025-03-10,937738.1011418456
2025-03-11,927285.7971867674
2025-03-12,943907.4077824706
2025-03-13,928840.0733098143
2025-03-14,933071.6793377683
2025-03-17,948574.2966473387
2025-03-18,976461.280778198
2025-03-19,967479.9671185301
2025-03-20,984491.7091839598
2025-03-21,979335.5344403074
2025-03-24,979335.5344403074
2025-03-25,1006915.3889324949
2025-03-26,999645.5812542723
2025-03-27,979357.324906616
2025-03-28,967479.9671185301
2025-03-31,919231.5223553465
