date,account_value
2025-01-02,1000000.0
2025-01-03,1002189.4557617188
2025-01-06,1023304.5639160157
2025-01-07,1043288.1709472657
2025-01-08,1025530.3419189454
2025-01-09,1011479.3742294923
2025-01-10,1021532.7538681641
2025-01-13,981565.2419052735
2025-01-14,991471.0277939454
2025-01-15,989706.4765244141
2025-01-16,1021483.524131836
2025-01-17,1015303.7152939454
2025-01-20,1021335.7328720704
2025-01-21,1029378.4569931641
2025-01-22,1035262.8808212891
2025-02-03,1023838.7943955079
2025-02-04,1029624.7099228516
2025-02-05,1049583.6757431643
2025-02-06,1051545.1503525393
2025-02-07,1055468.0507431643
2025-02-10,1029526.1972275391
2025-02-11,1043551.7091904298
2025-02-12,1029575.4269638673
2025-02-13,1039727.219444336
2025-02-14,1021926.500694336
2025-02-17,1047819.1733017579
2025-02-18,1049682.2372666018
2025-02-19,1047769.9435654298
2025-02-20,1027761.6459580079
2025-02-21,1037667.3830185548
2025-02-24,1043896.1752548829
2025-02-25,1038061.1786728516
2025-02-26,1044043.9154892579
2025-02-27,1018102.0619736329
2025-03-03,992160.1596298829
2025-03-04,998389.049522461
2025-03-05,1006234.850303711
2025-03-06,996329.1886826173
2025-03-07,984265.1025009766
2025-03-10,953369.6252060548
2025-03-11,938756.4418564454
2025-03-12,955478.7179794923
2025-03-13,938413.3376083985
2025-03-14,940080.9643173829
2025-03-17,954449.5295029298
2025-03-18,976723.9645615235
2025-03-19,965214.3456650391
2025-03-20,986262.9269638673
2025-03-21,979128.7607041016
2025-03-24,979128.7607041016
2025-03-25,1004318.9540634766
2025-03-26,996356.4076767579
2025-03-27,975621.7160263673
2025-03-28,965214.3456650391
2025-03-31,918501.203819336
