date,account_value
2025-01-02,1000000.0
2025-01-03,1000876.2655029297
2025-01-06,1010578.1372070312
2025-01-07,1011938.9114135742
2025-01-08,1002020.8139038086
2025-01-09,999460.6613769531
2025-01-10,999352.7814331055
2025-01-13,982081.9986572266
2025-01-14,993745.4182128906
2025-01-15,971572.1493774414
2025-01-16,1008023.902319336
2025-01-17,1021704.8471435547
2025-01-20,1021704.8471435547
2025-01-21,1021704.8471435547
2025-01-22,1035386.1325439453
2025-02-03,976101.3571533203
2025-02-04,998903.1589111328
2025-02-05,1012584.2172607422
2025-02-06,1017144.6457275391
2025-02-07,1026265.3891357422
2025-02-10,1008023.902319336
2025-02-11,1012584.2172607422
2025-02-12,1003463.5873779297
2025-02-13,994342.730444336
2025-02-14,966980.5002197266
2025-02-17,989782.4155029297
2025-02-18,1003463.5873779297
2025-02-19,994342.730444336
2025-02-20,985221.9870361328
2025-02-21,998903.1589111328
2025-02-24,980661.4450439453
2025-02-25,962420.1852783203
2025-02-26,966980.5002197266
2025-02-27,948739.0134033203
2025-03-03,930497.4130615236
2025-03-04,912255.9262451171
2025-03-05,930497.4130615236
2025-03-06,916816.2979492188
2025-03-07,916816.2979492188
2025-03-10,910431.7435058594
2025-03-11,885805.7590087891
2025-03-12,901310.9433349611
2025-03-13,880333.2675537111
2025-03-14,874860.8328613281
2025-03-17,884893.6392578125
2025-03-18,889933.4854492188
2025-03-19,872523.2883056641
2025-03-20,902762.0248779296
2025-03-21,890849.8624023438
2025-03-24,890849.8624023438
2025-03-25,907343.7393554688
2025-03-26,898180.3671630861
2025-03-27,878021.2094482421
2025-03-28,872523.2883056641
2025-03-31,834037.5564941406
