date,account_value
2024-01-02,1000000.0
2024-01-03,998268.4979863167
2024-01-04,997137.9008294906
2024-01-05,996100.3717931117
2024-01-08,995681.8537026385
2024-01-09,997085.7191953333
2024-01-10,997099.9312141245
2024-01-11,997230.5168063885
2024-01-12,994330.9812334515
2024-01-15,993984.3505698049
2024-01-16,985856.0798540683
2024-01-17,976953.9383918224
2024-01-18,983033.2413084656
2024-01-19,1003929.1625383716
2024-01-22,1018940.1063979946
2024-01-23,1015209.2552220207
2024-01-24,1014134.534070129
2024-01-25,1020011.5964445835
2024-01-26,1003016.7098784137
2024-01-29,1016146.6270233722
2024-01-30,1030661.2589429318
2024-01-31,1026506.1860707736
2024-02-01,1013037.939061277
2024-02-02,1025826.075143106
2024-02-05,1024685.5710256706
2024-02-15,1054395.2812530189
2024-02-16,1064365.7792391793
2024-02-19,1065990.9749012734
2024-02-20,1074148.1306319654
2024-02-21,1070943.0788251339
2024-02-22,1088246.326552551
2024-02-23,1134021.0506200558
2024-02-26,1142244.7789312054
2024-02-27,1121278.729248981
2024-02-29,1136555.1886291138
2024-03-01,1118439.7468868424
2024-03-04,1146571.8527841584
2024-03-05,1158879.1499587342
2024-03-06,1181867.3805367828
2024-03-07,1203133.0327600075
2024-03-08,1193377.5312261826
2024-03-11,1186163.1456582237
2024-03-12,1181668.9098666569
2024-03-13,1176095.6275119511
2024-03-14,1139365.9549763447
2024-03-15,1124196.2552267835
2024-03-18,1136547.7604883895
2024-03-19,1128205.4043789078
2024-03-20,1118775.9771406762
2024-03-21,1135567.5193786712
2024-03-22,1124840.7924980617
2024-03-25,1122172.9497690597
2024-03-26,1121897.354159679
2024-03-27,1145594.8161787298
2024-03-28,1140502.834715429
2024-03-29,1157832.9823574577
2024-04-01,1142082.543137304
2024-04-02,1146605.9582153717
2024-04-03,1141919.5998768555
2024-04-08,1138906.05018403
2024-04-09,1146502.2864310013
2024-04-10,1174915.0856558548
2024-04-11,1186003.2490813003
2024-04-12,1170415.4760977493
2024-04-15,1125380.532074617
2024-04-16,1079784.81360309
2024-04-17,1080040.1759573685
2024-04-18,1079294.1902243362
2024-04-19,1032188.2897917496
2024-04-22,1017146.3553129898
2024-04-23,1019879.5307661758
2024-04-24,1050851.3732229935
2024-04-25,1026908.1153113113
2024-04-26,1046639.8723036514
2024-04-29,1062109.6685072647
2024-04-30,1052181.2481695877
2024-05-02,1050169.1248099075
2024-05-03,1076922.9758078323
2024-05-06,1088100.659847902
2024-05-07,1098941.3960043655
2024-05-08,1124760.0450979935
2024-05-09,1130928.1841551529
2024-05-10,1130359.8753897415
2024-05-13,1139645.9288412796
2024-05-14,1188067.1984946
2024-05-15,1180350.0795523392
2024-05-16,1212826.7972647415
2024-05-17,1200505.5576864944
2024-05-20,1210121.162506746
2024-05-21,1191504.6880614029
2024-05-22,1217724.2913939224
2024-05-23,1232145.0089918838
2024-05-24,1224547.2818190323
2024-05-27,1295073.7981611954
2024-05-28,1301228.2180639969
2024-05-29,1286305.3482100235
2024-05-30,1278435.0108954178
2024-05-31,1242923.4800307022
2024-06-03,1262079.010513948
2024-06-04,1235116.0496184097
2024-06-05,1222954.2690092789
2024-06-06,1261909.2943693863
2024-06-07,1250484.1219259964
2024-06-11,1247928.220986055
2024-06-12,1265556.605713533
2024-06-13,1318776.1470534073
2024-06-14,1328493.4303175674
