time/total_timesteps,time/iterations,time/fps,train/reward,time/time_elapsed,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/std,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss
512,1,267,-1.0055133,1,,,,,,,,,,,
1024,2,266,-0.3091538,3,0.032883372,-42.5748477935791,0.2921875,0.00025,-0.014322519302368164,10,1.0005009174346924,0.2,4.129735946655273,-0.05120705531444401,10.40598292350769
1536,3,265,0.29294968,5,0.012320943,-42.5896354675293,0.0623046875,0.00025,-0.01788175106048584,20,1.0009076595306396,0.2,9.325827598571777,-0.02742080788593739,17.81255419254303
2048,4,265,1.1265031,7,0.017113466,-42.60876045227051,0.1533203125,0.00025,-0.0015780925750732422,30,1.001735806465149,0.2,6.736311435699463,-0.0312650483334437,18.728730416297914
2560,5,262,0.3391732,9,0.024229776,-42.62177047729492,0.1541015625,0.00025,-0.015436530113220215,40,1.0017627477645874,0.2,5.2898945808410645,-0.03311291157733649,10.080261850357056
3072,6,262,-0.43407696,11,0.023689037,-42.62338609695435,0.2015625,0.00025,0.023459672927856445,50,1.0020490884780884,0.2,6.244670867919922,-0.037958857358898965,13.68347101211548
3584,7,262,-0.24434659,13,0.029982913,-42.62341890335083,0.2353515625,0.00025,-0.017284154891967773,60,1.0016968250274658,0.2,5.032135486602783,-0.04757530072238296,14.654815649986267
4096,8,261,0.5034365,15,0.02715298,-42.61636075973511,0.213671875,0.00025,-0.006713271141052246,70,1.001715064048767,0.2,6.788539886474609,-0.03962869155220687,17.21257350444794
4608,9,261,0.91628087,17,0.022149606,-42.628964519500734,0.18515625,0.00025,0.017628133296966553,80,1.0023609399795532,0.2,16.45758056640625,-0.03328206880250946,39.20285696983338
5120,10,260,-2.7831066,19,0.0207432,-42.645985221862794,0.159375,0.00025,0.013363897800445557,90,1.0029828548431396,0.2,17.06643295288086,-0.03807985337916762,38.71981348991394
5632,11,261,0.822531,21,0.024103,-42.66354522705078,0.2376953125,0.00025,-0.04003620147705078,100,1.0035244226455688,0.2,5.637851715087891,-0.04081066509243101,10.959413075447083
6144,12,262,2.0311701,23,0.016772538,-42.6810380935669,0.1353515625,0.00025,0.0002487301826477051,110,1.004083275794983,0.2,7.606419086456299,-0.029847202938981354,17.51362798213959
6656,13,263,2.525229,25,0.025413506,-42.70317850112915,0.235546875,0.00025,-0.027144193649291992,120,1.005033016204834,0.2,4.969524383544922,-0.03925542087526992,12.329697299003602
7168,14,263,-1.8998867,27,0.024624858,-42.72408447265625,0.196875,0.00025,-0.04733717441558838,130,1.0054545402526855,0.2,15.540620803833008,-0.04511280774604529,32.19832887649536
7680,15,263,-0.3274549,29,0.024141144,-42.73597898483276,0.1357421875,0.00025,-0.03276205062866211,140,1.0059033632278442,0.2,14.455143928527832,-0.027339736628346146,32.83976340293884
8192,16,264,0.47991118,30,0.028926365,-42.74958877563476,0.22578125,0.00025,0.017162561416625977,150,1.0064042806625366,0.2,2.401118516921997,-0.03787754566874355,6.867970395088196
8704,17,264,-2.4574177,32,0.027156247,-42.76164093017578,0.2494140625,0.00025,0.11067527532577515,160,1.006438136100769,0.2,1.9986426830291748,-0.03717958044144325,6.254615259170532
9216,18,264,-0.0071839606,34,0.044887155,-42.760286235809325,0.334765625,0.00025,-0.06942200660705566,170,1.0067912340164185,0.2,3.296987533569336,-0.04551029433496297,7.4953898906707765
9728,19,262,-0.8724994,37,0.040198162,-42.78291702270508,0.2837890625,0.00025,0.1587926745414734,180,1.0076500177383423,0.2,1.9095224142074585,-0.04589274066966027,5.347746497392654
10240,20,261,0.19035158,39,0.01737714,-42.79982481002808,0.165234375,0.00025,0.07015889883041382,190,1.0080747604370117,0.2,8.559332847595215,-0.020560643752105534,16.232100200653075
10752,21,261,0.19816194,41,0.022493236,-42.80276260375977,0.1771484375,0.00025,-0.024928569793701172,200,1.007883906364441,0.2,9.399361610412598,-0.02765961600234732,19.75052499771118
11264,22,262,1.8123729,42,0.020617863,-42.80425424575806,0.1599609375,0.00025,-0.039983391761779785,210,1.0081974267959595,0.2,5.325209617614746,-0.029934953898191452,12.97018916606903
11776,23,262,-0.93884003,44,0.027554113,-42.80966720581055,0.251953125,0.00025,-0.0430828332901001,220,1.008134126663208,0.2,14.588237762451172,-0.039807213842868804,27.24145441055298
