date,account_value
2024-01-02,1000000.0
2024-01-03,999273.698096243
2024-01-04,999065.6855071031
2024-01-05,997739.4801927414
2024-01-08,997051.3054091359
2024-01-09,996807.333703104
2024-01-10,995561.0265037995
2024-01-11,996066.4321330698
2024-01-12,996832.3383950766
2024-01-15,997186.8260461059
2024-01-16,995037.8049202898
2024-01-17,989078.2267421187
2024-01-18,989234.9811584109
2024-01-19,993805.185292734
2024-01-22,995985.9795299754
2024-01-23,998479.1283898179
2024-01-24,995827.3204874571
2024-01-25,998472.2077831913
2024-01-26,992208.473212074
2024-01-29,999811.7951008528
2024-01-30,992983.4915111654
2024-01-31,990510.5181867522
2024-02-01,985494.2393071918
2024-02-02,980979.5744405899
2024-02-05,978871.5490830955
2024-02-15,984988.0988760871
2024-02-16,987992.4418380356
2024-02-19,995804.3198611927
2024-02-20,1008744.5594927254
2024-02-21,1011605.4948184757
2024-02-22,1017889.4578993281
2024-02-23,1022267.1843968944
2024-02-26,1032596.3201533107
2024-02-27,1017376.1593309459
2024-02-29,1018507.7101541595
2024-03-01,1013972.6325266589
2024-03-04,1021236.7868876494
2024-03-05,1029246.9710989818
2024-03-06,1040763.0437489013
2024-03-07,1054446.8040866316
2024-03-08,1035804.7867770996
2024-03-11,1037170.6964149742
2024-03-12,1042947.1719404125
2024-03-13,1036520.0189135494
2024-03-14,1035411.2824196873
2024-03-15,1024814.4582054386
2024-03-18,1037163.5172340564
2024-03-19,1037178.587918497
2024-03-20,1032840.9064333896
2024-03-21,1056458.878747122
2024-03-22,1046893.376102703
2024-03-25,1044233.9207536106
2024-03-26,1032594.5952949467
2024-03-27,1031794.4778295803
2024-03-28,1030221.0649952126
2024-03-29,1038714.7585851422
2024-04-01,1041660.3926414757
2024-04-02,1046849.645954319
2024-04-03,1043692.0008561363
2024-04-08,1052550.7243283845
2024-04-09,1057155.983026329
2024-04-10,1061381.9435503483
2024-04-11,1052891.499348503
2024-04-12,1053437.2484080887
2024-04-15,1029356.2887062264
2024-04-16,1003321.280367712
2024-04-17,1009406.9536339818
2024-04-18,1012254.9385670109
2024-04-19,983536.6554780063
2024-04-22,978708.6198702602
2024-04-23,996177.6402650509
2024-04-24,1020872.3704426175
2024-04-25,1004435.9419337101
2024-04-26,1014366.6396477681
2024-04-29,1042141.5006538907
2024-04-30,1044002.8457407514
2024-05-02,1037511.4019869176
