time/iterations,time/fps,time/total_timesteps,train/reward,time/time_elapsed,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/std,train/n_updates
1,283,512,-2.084051,1,,,,,,,,,,,
2,271,1024,-0.7730073,3,0.00025,4.518796920776367,-42.58511600494385,0.1912109375,-0.033334893500432373,9.77574269771576,0.2,0.018254295,-0.11451637744903564,1.0012286901474,10
3,270,1536,0.20247436,5,0.00025,12.145784378051758,-42.619440364837644,0.132421875,-0.03379840711131692,23.843131875991823,0.2,0.02115236,-0.02148604393005371,1.0020227432250977,20
4,269,2048,0.8694435,7,0.00025,10.08802604675293,-42.634011363983156,0.1177734375,-0.031400099769234656,23.883101320266725,0.2,0.016755277,-0.025406956672668457,1.0024611949920654,30
5,267,2560,1.9690093,9,0.00025,4.332529067993164,-42.640117740631105,0.2078125,-0.03736295017879456,12.069777822494506,0.2,0.02388908,0.006836235523223877,1.002291202545166,40
6,267,3072,-0.27332708,11,0.00025,7.82167387008667,-42.64425621032715,0.2169921875,-0.03586521822726354,17.000025057792662,0.2,0.025902443,0.03733617067337036,1.0028436183929443,50
7,268,3584,-0.15024471,13,0.00025,7.9735870361328125,-42.66174631118774,0.17734375,-0.037144385033752766,21.36780414581299,0.2,0.025791967,0.015130102634429932,1.003377079963684,60
8,266,4096,0.48477247,15,0.00025,5.9440507888793945,-42.67587413787842,0.2783203125,-0.03891231414163485,12.701682758331298,0.2,0.033787083,-0.023561716079711914,1.0040003061294556,70
9,266,4608,1.0006217,17,0.00025,8.057058334350586,-42.69807004928589,0.1607421875,-0.019685124699026346,19.524904656410218,0.2,0.014802232,-0.033521413803100586,1.0046346187591553,80
10,266,5120,0.68712324,19,0.00025,5.788552284240723,-42.710879516601565,0.19921875,-0.03756071220850572,12.553899431228638,0.2,0.03109636,-0.012389063835144043,1.0049453973770142,90
11,265,5632,0.3912791,21,0.00025,8.389383316040039,-42.72081518173218,0.1404296875,-0.031966000352986156,16.255187129974367,0.2,0.02404422,0.03812950849533081,1.0055583715438843,100
12,264,6144,1.375953,23,0.00025,14.184250831604004,-42.747403621673584,0.1404296875,-0.015568794088903815,27.960452365875245,0.2,0.016571024,-0.016640543937683105,1.0063894987106323,110
13,264,6656,0.044746682,25,0.00025,9.119486808776855,-42.77273788452148,0.2666015625,-0.0268192816991359,19.69408700466156,0.2,0.026993658,0.015439271926879883,1.0073413848876953,120
14,264,7168,1.1070212,27,0.00025,10.611827850341797,-42.797068214416505,0.1943359375,-0.026736610382795335,21.836421632766722,0.2,0.023838213,0.013516068458557129,1.008002519607544,130
15,261,7680,-1.222108,29,0.00025,15.978103637695312,-42.81738433837891,0.221875,-0.028259210393298418,33.60671062469483,0.2,0.0275147,-0.019050121307373047,1.0086665153503418,140
16,261,8192,0.5111781,31,0.00025,11.613450050354004,-42.830772399902344,0.1220703125,-0.02835124630946666,27.29969072341919,0.2,0.019562887,0.005391478538513184,1.0091187953948975,150
17,261,8704,-1.9824133,33,0.00025,5.92214822769165,-42.84809007644653,0.2025390625,-0.03627285121474415,13.755187368392944,0.2,0.03275373,0.028187215328216553,1.0098189115524292,160
18,261,9216,-0.44122452,35,0.00025,9.933145523071289,-42.864348316192626,0.1666015625,-0.02985889168921858,21.228306150436403,0.2,0.020392288,-0.007422089576721191,1.0100890398025513,170
19,261,9728,1.269905,37,0.00025,4.842563629150391,-42.87658109664917,0.1919921875,-0.026480425067711623,10.56988765001297,0.2,0.022789419,-0.008485078811645508,1.010792851448059,180
20,261,10240,0.023703143,39,0.00025,10.209372520446777,-42.89281511306763,0.130078125,-0.022092280513606965,21.393023872375487,0.2,0.019235393,0.025294244289398193,1.0110043287277222,190
21,261,10752,0.02685772,41,0.00025,11.94448471069336,-42.8981390953064,0.1400390625,-0.02634406303986907,30.58422980308533,0.2,0.023000002,-0.0013275146484375,1.01130211353302,200
22,262,11264,0.34518197,42,0.00025,6.133285999298096,-42.90499649047852,0.22734375,-0.032521979563171044,16.49910888671875,0.2,0.03178591,0.006827294826507568,1.0115159749984741,210
23,262,11776,-0.95591027,44,0.00025,6.598259925842285,-42.917115211486816,0.273046875,-0.04119921585079282,13.05620846748352,0.2,0.030256815,-0.13524854183197021,1.0120137929916382,220
24,262,12288,1.38645,46,0.00025,37.75883483886719,-42.935833644866946,0.194140625,-0.03435909149702639,78.87930746078491,0.2,0.02768304,0.025263547897338867,1.012850046157837,230
25,262,12800,-1.0092105,48,0.00025,2.2835121154785156,-42.97191677093506,0.18671875,-0.03203944853739813,7.926758623123169,0.2,0.024475995,0.00922238826751709,1.0144479274749756,240
26,263,13312,0.4412818,50,0.00025,1.813117265701294,-43.014906883239746,0.2978515625,-0.05074874684214592,6.019963431358337,0.2,0.037060536,-0.02696371078491211,1.0156785249710083,250
27,263,13824,-0.026409263,52,0.00025,8.334550857543945,-43.033035850524904,0.3453125,-0.04342225065920502,17.41416609287262,0.2,0.04173765,0.06951916217803955,1.0154892206192017,260
28,263,14336,-0.5080895,54,0.00025,7.90428352355957,-43.030408668518064,0.190234375,-0.03480702110100538,16.449119114875792,0.2,0.02316376,-0.04503512382507324,1.0159775018692017,270
29,263,14848,0.062201343,56,0.00025,19.033281326293945,-43.04431571960449,0.1033203125,-0.02861682460643351,33.379886054992674,0.2,0.015188351,-0.018648624420166016,1.016145944595337,280
30,263,15360,1.1210773,58,0.00025,7.406952857971191,-43.05240421295166,0.1509765625,-0.033338096749503165,28.052582836151124,0.2,0.023769144,0.07596331834793091,1.016693115234375,290
31,263,15872,-0.9491104,60,0.00025,11.935124397277832,-43.06751041412353,0.1033203125,-0.026292957831174135,33.92744755744934,0.2,0.014821922,0.022759974002838135,1.01698637008667,300
32,263,16384,-0.2997964,62,0.00025,25.708337783813477,-43.071154499053954,0.111328125,-0.02209246747661382,45.49158210754395,0.2,0.017667115,-0.023282766342163086,1.0170561075210571,310
33,263,16896,0.4155345,64,0.00025,7.489927291870117,-43.08411951065064,0.234765625,-0.03638372829882428,15.47576642036438,0.2,0.03499793,-0.06060659885406494,1.0180519819259644,320
34,263,17408,0.09354267,66,0.00025,9.6050443649292,-43.102862644195554,0.2072265625,-0.028748343675397338,16.795150661468504,0.2,0.0378004,-0.010729312896728516,1.0177643299102783,330
35,263,17920,1.0907787,67,0.00025,6.748856067657471,-43.093491840362546,0.25078125,-0.03671145744156092,17.651003217697145,0.2,0.026258912,0.024794280529022217,1.018051028251648,340
36,263,18432,-0.3782014,69,0.00025,6.5445427894592285,-43.11317596435547,0.2310546875,-0.03554116499144584,13.364019322395325,0.2,0.02560809,-0.08892989158630371,1.0188701152801514,350
37,263,18944,-0.27349055,71,0.00025,10.13075065612793,-43.129655838012695,0.17265625,-0.03103480450809002,20.7716055393219,0.2,0.024350438,0.05688643455505371,1.0191121101379395,360
38,263,19456,-1.4196768,73,0.00025,2.172447443008423,-43.14000396728515,0.2068359375,-0.03519767932593822,8.158982062339783,0.2,0.023349345,-0.06916296482086182,1.0198371410369873,370
39,263,19968,-0.045554105,75,0.00025,2.296538829803467,-43.16366462707519,0.22421875,-0.03351141322636977,8.839544117450714,0.2,0.03139776,0.016572892665863037,1.0204914808273315,380
40,264,20480,-0.90594304,77,0.00025,7.343181133270264,-43.176631450653076,0.214453125,-0.030710217985324563,18.64767191410065,0.2,0.025466084,0.010882794857025146,1.0206427574157715,390
41,264,20992,1.3886501,79,0.00025,7.647531986236572,-43.17725238800049,0.1708984375,-0.030629593844059853,19.370361137390137,0.2,0.023179553,-0.09344649314880371,1.0207898616790771,400
42,264,21504,-0.47630587,81,0.00025,12.9545259475708,-43.181970310211184,0.1927734375,-0.0345661633880809,25.84641823768616,0.2,0.03175901,0.029464125633239746,1.020891785621643,410
43,264,22016,-0.20160852,83,0.00025,14.875787734985352,-43.185262298583986,0.199609375,-0.031591121735982594,26.663107919692994,0.2,0.026761387,0.085246741771698,1.0210214853286743,420
44,264,22528,-0.52700585,85,0.00025,5.804830074310303,-43.197346687316895,0.3099609375,-0.0300655756786,16.294890785217284,0.2,0.038442977,0.0160028338432312,1.0218552350997925,430
45,263,23040,1.0424237,87,0.00025,5.532941818237305,-43.22123222351074,0.1857421875,-0.030526940990239382,14.08624882698059,0.2,0.023713186,-0.039670586585998535,1.0224379301071167,440
