time/iterations,train/reward,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction
1,-1.4040676,528,0,512,,,,,,,,,,,
2,-0.2872012,503,2,1024,0.2,-0.0036470890045166016,-14.185948419570924,13.559386086463928,0.015634675,0.00025,10,5.970239639282227,-0.014426306751556695,0.9989802241325378,0.151953125
3,0.77093595,498,3,1536,0.2,-0.0017141103744506836,-14.176818442344665,106.92650089263915,0.0053049,0.00025,20,52.92435073852539,-0.004312234022654593,0.9986160397529602,0.0171875
4,2.6070695,496,4,2048,0.2,-0.00043594837188720703,-14.176862645149232,76.07838954925538,0.008975873,0.00025,30,29.848281860351562,-0.009132099419366569,0.9990765452384949,0.0408203125
5,2.1001985,488,5,2560,0.2,-0.04975700378417969,-14.178535079956054,32.38782577514648,0.0085354075,0.00025,40,13.815383911132812,-0.008714139182120561,0.9988107681274414,0.038671875
6,-0.553863,487,6,3072,0.2,-0.030463576316833496,-14.178347706794739,60.672657108306886,0.011964325,0.00025,50,31.221277236938477,-0.014194933173712343,0.9991282224655151,0.0626953125
7,1.1260436,487,7,3584,0.2,-0.0028766393661499023,-14.183495593070983,118.11030311584473,0.011685519,0.00025,60,73.669921875,-0.014875892107374966,0.9998725056648254,0.062109375
8,-0.5410861,489,8,4096,0.2,-0.03921389579772949,-14.191062641143798,41.13426742553711,0.0042801383,0.00025,70,20.677074432373047,-0.008382454921957105,1.0003975629806519,0.006640625
9,2.0500395,490,9,4608,0.2,0.0016919970512390137,-14.197243809700012,71.82570219039917,0.013404519,0.00025,80,32.43870162963867,-0.014859402796719223,1.0012953281402588,0.0716796875
10,-1.0569175,491,10,5120,0.2,-0.020144343376159668,-14.202893376350403,54.50176010131836,0.012991279,0.00025,90,29.39817237854004,-0.017634151951642706,1.0014009475708008,0.061328125
11,1.3752847,491,11,5632,0.2,-0.020785808563232422,-14.204065251350404,64.66712055206298,0.014396495,0.00025,100,30.0057315826416,-0.01881043831817806,1.0015573501586914,0.0623046875
12,1.3544384,492,12,6144,0.2,-0.013274073600769043,-14.207074117660522,102.52743339538574,0.011475008,0.00025,110,47.22975158691406,-0.016167302848771214,1.002073049545288,0.05078125
13,-1.2606678,492,13,6656,0.2,-0.002680540084838867,-14.210006046295167,174.2151460647583,0.004438475,0.00025,120,81.45917510986328,-0.007347809831844643,1.0019910335540771,0.0072265625
14,1.6375029,492,14,7168,0.2,0.004906058311462402,-14.207272219657899,84.6979440689087,0.00490316,0.00025,130,32.665977478027344,-0.007611105963587761,1.0015631914138794,0.012890625
15,0.17147523,492,15,7680,0.2,-0.006297707557678223,-14.203897213935852,173.06902313232422,0.0070372373,0.00025,140,77.40494537353516,-0.00987232020124793,1.0014082193374634,0.0212890625
16,-0.19296518,492,16,8192,0.2,-0.005023360252380371,-14.198733687400818,92.1744626045227,0.008956858,0.00025,150,41.4533805847168,-0.016385420167353004,1.0001975297927856,0.052734375
17,-2.143035,493,17,8704,0.2,0.013364255428314209,-14.191154932975769,56.94720592498779,0.006809325,0.00025,160,27.34195899963379,-0.009484362835064531,1.00058913230896,0.018359375
18,-0.8092217,493,18,9216,0.2,-0.024445056915283203,-14.197088050842286,98.09702949523925,0.0019104781,0.00025,170,45.096466064453125,-0.005072290799580515,1.0009113550186157,0.001953125
19,0.08263243,492,19,9728,0.2,0.043861329555511475,-14.203111290931702,20.79364957809448,0.020866552,0.00025,180,7.447941780090332,-0.026621509774122386,1.001745343208313,0.1890625
20,-0.39767265,492,20,10240,0.2,0.008367419242858887,-14.20383870601654,124.26945247650147,0.014510453,0.00025,190,70.83139038085938,-0.013868672784883528,1.0010392665863037,0.0728515625
21,-1.5746098,492,21,10752,0.2,0.008162081241607666,-14.20004985332489,158.42111263275146,0.0039069233,0.00025,200,70.18955993652344,-0.009898353338940069,1.0013706684112549,0.00703125
22,0.32000992,491,22,11264,0.2,-0.019312381744384766,-14.20554347038269,26.67881598472595,0.009856245,0.00025,210,9.626985549926758,-0.017430321173742415,1.0020103454589844,0.0744140625
23,-1.8876182,490,23,11776,0.2,0.006631612777709961,-14.210481572151185,123.14050598144532,0.004896382,0.00025,220,56.220523834228516,-0.008130732155404986,1.0022194385528564,0.0125
24,3.8205004,488,25,12288,0.2,0.028976142406463623,-14.210919880867005,112.43331546783448,0.0072260243,0.00025,230,45.45357131958008,-0.010406141681596637,1.0021625757217407,0.0203125
25,-2.305088,483,26,12800,0.2,-0.0256727933883667,-14.211837100982667,33.54629111289978,0.013216309,0.00025,240,20.244524002075195,-0.013437052816152572,1.0025080442428589,0.06796875
26,0.7354671,480,27,13312,0.2,-0.055536866188049316,-14.213316988945007,90.75316562652588,0.0045996164,0.00025,250,45.73926544189453,-0.007927348278462887,1.0022847652435303,0.0103515625
27,-1.0577221,479,28,13824,0.2,-0.06724894046783447,-14.205786681175232,34.37413158416748,0.0163666,0.00025,260,14.675941467285156,-0.014385359617881477,1.000765085220337,0.148046875
28,0.3297165,476,30,14336,0.2,-0.03408980369567871,-14.201920104026794,28.316630792617797,0.014077028,0.00025,270,14.213407516479492,-0.0106204453157261,1.0023572444915771,0.087890625
29,0.6946837,473,31,14848,0.2,-0.009528279304504395,-14.215696835517884,78.05201053619385,0.008926474,0.00025,280,37.33380126953125,-0.007939343887846917,1.0026935338974,0.032421875
30,0.39459032,471,32,15360,0.2,0.09497219324111938,-14.206554913520813,15.553682994842529,0.020408323,0.00025,290,6.997650146484375,-0.019873854331672193,1.0005762577056885,0.1421875
31,-1.607176,472,33,15872,0.2,0.03708767890930176,-14.191945028305053,75.81743869781494,0.0047134673,0.00025,300,28.127521514892578,-0.007644970784895122,1.0003607273101807,0.011328125
32,2.2979043,473,34,16384,0.2,0.0031818151473999023,-14.192384099960327,64.51711921691894,0.0062529007,0.00025,310,28.941059112548828,-0.00873420387506485,1.0003420114517212,0.0265625
33,1.5149705,473,35,16896,0.2,-0.004196643829345703,-14.192998671531678,38.23554849624634,0.007103185,0.00025,320,17.120512008666992,-0.01059744362719357,1.0006831884384155,0.0203125
34,-2.7592046,472,36,17408,0.2,-0.01426541805267334,-14.199293613433838,112.4455509185791,0.006119634,0.00025,330,75.71607208251953,-0.008940704114502296,1.0014424324035645,0.016015625
35,1.0650191,470,38,17920,0.2,-0.00652313232421875,-14.206954908370971,125.4882266998291,0.020252492,0.00025,340,65.65870666503906,-0.013052882172632962,1.0020782947540283,0.1451171875
36,-6.3236566,467,39,18432,0.2,-0.027794718742370605,-14.21213948726654,36.24539852142334,0.01601176,0.00025,350,15.622950553894043,-0.021526009775698185,1.0027285814285278,0.090234375
