,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2025-01-02,2330.TW,1070.0,1075.0,1055.0,1044.473876953125,43177098.0,3,9.893374122881823,1080.2979504577586,1021.361906719976,52.99101766223434,23.507580729779892,2.293170259924486,1034.384971110026,1029.7776611328125,1.1737994522093478,17.93000030517578
0,2025-01-02,2454.TW,1395.0,1400.0,1335.0,1298.761474609375,6820305.0,3,25.838172243729787,1380.3775995942308,1236.7751958159254,54.59337191328157,20.943739320470346,2.589518627102831,1275.7009643554688,1243.2966918945312,1.1737994522093478,17.93000030517578
1,2025-01-03,2330.TW,1080.0,1085.0,1075.0,1054.2811279296875,30415096.0,4,9.203791015420848,1080.5381036624563,1021.5252691402779,54.16072891437005,59.93037284967768,5.178952213755539,1036.636248779297,1030.903299967448,0.1389161826519774,16.1299991607666
1,2025-01-03,2454.TW,1365.0,1370.0,1335.0,1313.192138671875,5752498.0,4,23.39415376203965,1377.824132389123,1245.7893197593144,55.80459639525856,11.13671587433348,2.589518627102825,1279.7391723632813,1245.9440165201822,0.1389161826519774,16.1299991607666
2,2025-01-06,2330.TW,1100.0,1125.0,1095.0,1103.3173828125,69289786.0,0,12.470356878968687,1091.3374299360707,1017.0100493119762,59.38768472161027,163.30227061123009,15.505396613206084,1039.545096842448,1032.6833811442057,4.354720095952947,16.040000915527344
2,2025-01-06,2454.TW,1390.0,1425.0,1390.0,1370.9149169921875,6907233.0,0,25.817390501229283,1377.739252723853,1259.9917897566156,60.19793939840958,77.92314447117093,13.122346372447636,1284.287980143229,1249.239276123047,4.354720095952947,16.040000915527344
3,2025-01-07,2330.TW,1150.0,1160.0,1130.0,1108.2210693359375,48758688.0,1,15.278697071606985,1101.3159485197064,1012.8290404939655,59.8611678625162,223.66704285536488,23.08725522068935,1042.9430582682292,1034.1381184895833,4.466073129176361,17.81999969482422
3,2025-01-07,2454.TW,1445.0,1500.0,1415.0,1433.447998046875,12307998.0,1,32.41011645793469,1397.6109621365254,1258.6063230197246,64.18761107002308,138.3976328940201,24.620184568347046,1291.8635538736978,1252.7129536946616,4.466073129176361,17.81999969482422
4,2025-01-08,2330.TW,1110.0,1130.0,1105.0,1083.702880859375,45211419.0,2,15.348980511337231,1104.2796774875442,1014.1879677761276,56.45668552467795,137.29648482814906,15.433512797306758,1046.1750610351562,1035.1842193603516,1.399492470952168,17.700000762939453
4,2025-01-08,2454.TW,1500.0,1500.0,1460.0,1414.20703125,10805038.0,2,35.67111959739282,1409.5042415980254,1260.919366800412,62.20296527377338,140.97249983761085,24.620184568347042,1298.797762044271,1256.0230021158854,1.399492470952168,17.700000762939453
5,2025-01-09,2330.TW,1100.0,1115.0,1100.0,1078.79931640625,27263215.0,3,14.83796119279873,1104.147263810759,1020.1066302322097,55.80010547044343,107.6825410519795,13.967309127923736,1049.569268798828,1035.7415232340495,0.8090543796092672,17.700000762939453
5,2025-01-09,2454.TW,1470.0,1480.0,1440.0,1385.3455810546875,7021298.0,3,35.517190194237855,1412.1195411977892,1269.6242454233047,59.35519440065996,107.54953381067295,20.08482740553347,1305.7122517903647,1258.6949727376302,0.8090543796092672,17.700000762939453
6,2025-01-10,2330.TW,1100.0,1110.0,1100.0,1078.79931640625,22021522.0,4,14.268496356988635,1105.330494176247,1022.8463124643778,55.80010547044343,98.64231605610436,13.967309127923746,1052.8006490071614,1036.705898030599,0.7661118464260211,19.540000915527344
6,2025-01-10,2454.TW,1460.0,1495.0,1445.0,1409.396728515625,7157266.0,4,36.91044598415715,1421.121835915364,1271.520253928386,60.89841915113233,123.74103146192991,22.279369614507992,1313.2713907877603,1262.1604329427084,0.7661118464260211,19.540000915527344
7,2025-01-13,2330.TW,1110.0,1115.0,1070.0,1054.2811279296875,56690300.0,0,11.703863614483225,1105.065194196086,1024.0923375421953,52.531127210471126,34.38537315766201,5.373392860352913,1055.5078470865885,1037.4244669596353,4.0970856503109285,19.190000534057617
7,2025-01-13,2454.TW,1435.0,1460.0,1385.0,1337.2432861328125,9742772.0,0,31.82556613108727,1421.2221465591506,1272.2759369369433,54.47897309784956,42.24510733403087,9.802382971801066,1318.4254150390625,1264.4233357747396,4.0970856503109285,19.190000534057617
8,2025-01-14,2330.TW,1085.0,1090.0,1075.0,1068.991943359375,28695247.0,1,10.734670946062352,1105.35722583454,1024.2906501420223,54.19663260829641,21.655468215351288,5.373392860352923,1057.4353454589843,1037.5740681966147,0.30221689756143333,18.709999084472656
8,2025-01-14,2454.TW,1385.0,1415.0,1380.0,1346.86376953125,5279672.0,1,28.246447359114654,1420.6911195028122,1276.980816532344,55.13134860330491,17.108547313698168,8.844953421236424,1322.172517903646,1266.3754150390625,0.30221689756143333,18.709999084472656
9,2025-01-15,2330.TW,1085.0,1085.0,1065.0,1044.473876953125,35489482.0,2,7.897142379182242,1105.6339266393072,1023.0332242395991,51.105098230599424,-39.899076637248164,2.613200707366096,1057.8942565917969,1037.3150349934897,4.017918851325934,16.1200008392334
9,2025-01-15,2454.TW,1390.0,1445.0,1390.0,1366.104736328125,6417175.0,2,26.655289577301573,1422.1987076392898,1277.801853884148,56.42343582985407,48.18160058683152,13.525101868679258,1326.403934733073,1268.2555399576822,4.017918851325934,16.1200008392334
