,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2023-01-03,2330.TW,446.0,453.5,443.0,427.85711669921875,14885824.0,1,0.0,430.8793112161408,421.5291360494842,50.0,0.0,0.0,427.85711669921875,427.85711669921875,0.0,22.899999618530273
0,2023-01-03,2454.TW,623.0,645.0,621.0,522.3978271484375,4451795.0,1,0.0,430.8793112161408,421.5291360494842,50.0,0.0,0.0,522.3978271484375,522.3978271484375,0.0,22.899999618530273
1,2023-01-04,2330.TW,449.5,455.0,448.5,424.55133056640625,19188422.0,2,-0.0741682786207889,430.8793112161408,421.5291360494842,0.0,0.0,100.0,426.2042236328125,426.2042236328125,0.0,22.010000228881836
1,2023-01-04,2454.TW,639.0,644.0,635.0,515.9085083007812,2734185.0,2,-0.14559369209484885,528.3304504495281,509.97588499969055,0.0,0.0,0.0,519.1531677246094,519.1531677246094,0.0,22.010000228881836
2,2023-01-05,2330.TW,459.0,459.5,455.0,433.05181884765625,23549581.0,3,0.16909452457002772,437.0569149723515,419.916595769836,72.67808667390985,0.0,100.0,428.48675537109375,428.48675537109375,0.0,22.459999084472656
2,2023-01-05,2454.TW,638.0,641.0,625.0,511.8525695800781,5231120.0,3,-0.3112896791950561,527.3580670745544,506.08120294497695,0.0,0.0,100.0,516.7196350097656,516.7196350097656,0.0,22.459999084472656
3,2023-01-06,2330.TW,455.0,459.5,455.0,433.05181884765625,20886011.0,4,0.2755911388106824,437.9829536121369,421.27308886833185,72.67808667390985,0.0,100.0,429.6280212402344,429.6280212402344,0.0,21.1299991607666
3,2023-01-06,2454.TW,634.0,660.0,634.0,535.3767700195312,6890898.0,4,0.4703097543065269,541.9639943525453,500.8038431718687,70.20294948178605,0.0,32.55813953488372,521.383918762207,521.383918762207,0.0,21.1299991607666
4,2023-01-09,2330.TW,468.0,481.0,467.5,454.302978515625,46666263.0,0,1.1732904699974824,457.78878468330424,411.3372407073208,90.72076397950146,0.0,100.0,434.5630126953125,434.5630126953125,0.0,21.969999313354492
4,2023-01-09,2454.TW,671.0,675.0,665.0,547.5443725585938,6953372.0,0,1.3692948992359106,556.0294436587002,497.2025753842684,78.33945793695983,0.0,56.24349635796047,526.6160095214843,526.6160095214843,0.0,21.969999313354492
5,2023-01-10,2330.TW,486.0,487.0,483.0,459.0254821777344,32646014.0,1,1.8928125719873492,467.458328160092,409.82185372467364,91.9437848162471,0.0,100.0,438.6400909423828,438.6400909423828,0.0,20.579999923706055
5,2023-01-10,2454.TW,684.0,696.0,681.0,562.9567260742188,8579851.0,1,2.543009956850483,572.3282097782946,493.0173814489189,84.04743800397092,0.0,70.99586147845115,532.6727956136068,532.6727956136068,0.0,20.579999923706055
6,2023-01-11,2330.TW,487.0,488.0,482.0,457.6086730957031,21051115.0,2,2.2574622288973387,471.3111922003717,411.38858458534264,88.33056064018668,0.0,100.0,441.34988839285717,441.34988839285717,0.0,21.09000015258789
6,2023-01-11,2454.TW,700.0,707.0,694.0,573.5020141601562,6807896.0,2,3.729641716666606,586.0770205788613,490.93406166165215,86.55517031506105,0.0,75.47613565913512,538.5055411202567,538.5055411202567,0.0,21.09000015258789
7,2023-01-12,2330.TW,487.5,488.0,484.0,459.4977111816406,20963689.0,3,2.555516315300167,474.18160397893246,413.0551285039777,88.93056004261689,0.0,100.0,443.6183662414551,443.6183662414551,0.0,18.829999923706055
