date,account_value
2024-01-02,1000000.0
2024-01-03,999851.3616472016
2024-01-04,999861.4524694214
2024-01-05,999621.0385288391
2024-01-08,1000162.2953906097
2024-01-09,1001652.1629989012
2024-01-10,1000675.943157028
2024-01-11,1002198.7592703551
2024-01-12,1001282.4880747984
2024-01-15,1002257.2846731564
2024-01-16,1001316.3714952542
2024-01-17,1000035.6811486203
2024-01-18,999529.4449457547
2024-01-19,1003647.2985069882
2024-01-22,1010221.9958495786
2024-01-23,1005832.9726669004
2024-01-24,1005724.9534868466
2024-01-25,1003572.8494125975
2024-01-26,1002512.046139816
2024-01-29,1006194.8424630888
2024-01-30,1007880.0328659209
2024-01-31,1011459.6276983185
2024-02-01,1013458.6278845674
2024-02-02,1022236.0631552888
2024-02-05,1019045.1952264407
2024-02-15,1022053.9076881869
2024-02-16,1027717.6885376589
2024-02-19,1028421.6389239961
2024-02-20,1031303.2732850495
2024-02-21,1020462.7662890473
2024-02-22,1017137.0450834045
2024-02-23,1022104.0921799775
2024-02-26,1018985.5503296205
2024-02-27,1008129.6882996217
2024-02-29,1017651.9559998475
2024-03-01,1007763.843692688
2024-03-04,1013358.461327942
2024-03-05,1018016.5967689361
2024-03-06,1023208.6493432005
2024-03-07,1023460.4385037993
2024-03-08,1011610.5693165739
2024-03-11,1011616.0058082885
2024-03-12,997288.3093111266
2024-03-13,985865.6193030393
2024-03-14,979803.2952436826
2024-03-15,973174.3889691159
2024-03-18,979356.4202101743
2024-03-19,968685.7284905089
2024-03-20,960758.0555506285
2024-03-21,980994.3889475097
2024-03-22,997087.5977477264
2024-03-25,990523.8608078766
2024-03-26,982021.6658005066
2024-03-27,977476.9367110597
2024-03-28,980413.3969707643
2024-03-29,987381.9933098297
2024-04-01,982524.6771815186
2024-04-02,981260.4276366425
2024-04-03,985905.2226334382
2024-04-08,995250.0103894197
2024-04-09,995601.2151970826
2024-04-10,1003931.4859046632
2024-04-11,999758.7588498536
2024-04-12,982714.3944897462
2024-04-15,945551.9871781847
2024-04-16,921046.8417912598
2024-04-17,914099.9091955415
2024-04-18,917637.3063450013
2024-04-19,896814.357395157
2024-04-22,872360.1165059358
2024-04-23,900784.0186876985
2024-04-24,920738.5507303163
2024-04-25,901170.4204716798
2024-04-26,937718.9116852419
2024-04-29,964945.1907504273
2024-04-30,977352.9677478638
2024-05-02,987283.048131012
2024-05-03,964866.2516071473
2024-05-06,987209.082082138
2024-05-07,973801.8298456573
2024-05-08,980985.6191152039
2024-05-09,977533.8839960023
2024-05-10,996412.8395282289
2024-05-13,990144.4345060578
2024-05-14,1015350.9792059785
2024-05-15,1017838.0629360657
2024-05-16,1059552.4665028076
2024-05-17,1065166.6484879304
2024-05-20,1069275.0306313783
2024-05-21,1059756.479452057
