time/iterations,time/time_elapsed,train/reward,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/std,train/loss
1,3,1.4025126,539,2048,,,,,,,,,,,
2,8,1.217795,502,4096,0.008952571,0.00025,0.0033504366874694824,-14.201083302497864,0.2,29.302204406261446,0.103369140625,10,-0.009708002544357441,1.0019123554229736,13.16015338897705
3,12,0.64623386,486,6144,0.0043919412,0.00025,-0.007857561111450195,-14.21642518043518,0.2,74.63564791679383,0.031494140625,20,-0.004878331421059557,1.003872036933899,39.777687072753906
4,17,1.2627861,476,8192,0.008148092,0.00025,-0.0036134719848632812,-14.236709785461425,0.2,88.14317429065704,0.06181640625,30,-0.00942985963774845,1.0057083368301392,27.589378356933594
5,21,-0.014421297,468,10240,0.0069133425,0.00025,-0.008517622947692871,-14.25251225233078,0.2,57.10835926532745,0.057470703125,40,-0.007982659156550654,1.00739586353302,29.419897079467773
6,26,5.292037,467,12288,0.0053441785,0.00025,-0.02641594409942627,-14.266118103265763,0.2,154.0094696521759,0.0171875,50,-0.007604349263419863,1.008205533027649,54.83746337890625
7,31,-1.5873594,458,14336,0.008360298,0.00025,0.0020543932914733887,-14.269029104709626,0.2,80.08504993915558,0.05830078125,60,-0.005698120465967804,1.007874846458435,47.35453414916992
8,36,-0.52493405,451,16384,0.0051670014,0.00025,0.0026810765266418457,-14.270852106809617,0.2,80.33424525260925,0.056787109375,70,-0.0073040088725974785,1.0082589387893677,33.55415344238281
9,41,2.2772348,447,18432,0.009085424,0.00025,0.0029285550117492676,-14.274922049045562,0.2,114.43285930156708,0.072412109375,80,-0.00669802846678067,1.0094683170318604,59.04109573364258
10,45,-0.40523714,447,20480,0.007659291,0.00025,0.011101484298706055,-14.289202839136124,0.2,59.83416659832001,0.0640625,90,-0.007062827194749844,1.010723352432251,28.603099822998047
