date,account_value
2024-01-02,1000000.0
2024-01-03,999835.4022558288
2024-01-04,999870.504485077
2024-01-05,999551.5522850343
2024-01-08,1000437.1355544436
2024-01-09,1002410.2402236331
2024-01-10,1001224.1085869754
2024-01-11,1003082.1330705569
2024-01-12,1001333.1597426151
2024-01-15,1002557.501353516
2024-01-16,1001644.706289246
2024-01-17,1000186.3762092289
2024-01-18,998901.0902606206
2024-01-19,1003439.2150253911
2024-01-22,1011906.1476750186
2024-01-23,1005359.2039739689
2024-01-24,1005007.8835643926
2024-01-25,1001641.7168514715
2024-01-26,1000669.3023636175
2024-01-29,1004865.144241181
2024-01-30,1002381.2161438605
2024-01-31,1008425.36340091
2024-02-01,1014708.6762962042
2024-02-02,1024420.5501238409
2024-02-05,1017155.7992373053
2024-02-15,1012871.3324358526
2024-02-16,1024846.2722207648
2024-02-19,1028287.8902317511
2024-02-20,1031652.5431386725
2024-02-21,1017377.562109925
2024-02-22,1009863.7734335333
2024-02-23,1008354.8980693365
2024-02-26,1000102.4335953986
2024-02-27,985240.5352274176
2024-02-29,999067.9061386725
2024-03-01,986972.1566224066
2024-03-04,991105.2614925848
2024-03-05,996434.0790939642
2024-03-06,999203.4950758063
2024-03-07,996770.9381611028
2024-03-08,983631.7634584357
2024-03-11,981301.0084465642
2024-03-12,968625.1420496831
2024-03-13,959215.7167001348
2024-03-14,957534.385147553
2024-03-15,944364.7359570318
2024-03-18,950186.5921251227
2024-03-19,939292.3173718267
2024-03-20,930339.6195426641
2024-03-21,959216.8482669378
2024-03-22,987172.7816630255
2024-03-25,978694.7670752874
2024-03-26,965686.2630062872
2024-03-27,949330.557310639
2024-03-28,956540.4107030034
2024-03-29,963976.5081242376
2024-04-01,955052.0795185857
2024-04-02,951590.3548486028
2024-04-03,957123.2537988592
2024-04-08,963470.7641072697
2024-04-09,963467.223439301
2024-04-10,978116.7637631841
2024-04-11,972161.9838562626
2024-04-12,948408.9306126408
2024-04-15,910321.9740141912
2024-04-16,882170.7199024663
2024-04-17,873062.1358373418
2024-04-18,874210.7990319676
2024-04-19,856918.8379821782
2024-04-22,831316.1736917882
2024-04-23,862656.8802618565
2024-04-24,876907.9368789219
2024-04-25,858353.1509967198
2024-04-26,902847.3422085728
2024-04-29,938674.7501392369
2024-04-30,962179.9674611668
2024-05-02,969761.8105905614
2024-05-03,932017.0253120579
2024-05-06,957610.6629801946
2024-05-07,939171.1201369023
2024-05-08,936015.1940844731
2024-05-09,933370.7700464405
2024-05-10,963345.2109767079
2024-05-13,948233.6886326832
2024-05-14,975332.913480782
2024-05-15,976838.1420571827
2024-05-16,1018225.2085525136
2024-05-17,1027992.5916877217
2024-05-20,1034187.9355902486
2024-05-21,1028535.86517207
2024-05-22,1042127.1937255635
2024-05-23,1053184.0575057606
2024-05-24,1054183.862636498
2024-05-27,1069819.59622992
2024-05-28,1051032.5643321231
2024-05-29,1086199.5137406774
2024-05-30,1076412.0615527502
2024-05-31,1039425.7034571309
2024-06-03,1080047.6604831587
2024-06-04,1091532.4856271672
2024-06-05,1082141.776514359
2024-06-06,1111190.015488419
2024-06-07,1092517.5766976322
2024-06-11,1085561.3543340764
2024-06-12,1102983.5033251652
2024-06-13,1122991.2036033063
2024-06-14,1144019.2976428724
2024-06-17,1124029.6599898916
2024-06-18,1132230.2531892553
2024-06-19,1157929.246946915
2024-06-20,1162795.952992661
2024-06-21,1164892.7424029126
2024-06-24,1131405.6869820752
2024-06-25,1124025.5227049147
2024-06-26,1132915.1897480665
2024-06-27,1132969.6208179516
2024-06-28,1156141.4955524793
2024-07-01,1150722.2337785154
2024-07-02,1148868.7415090718
2024-07-03,1140591.531213082
2024-07-04,1180545.5063757405
2024-07-05,1166289.6828317188
2024-07-08,1188563.2126170965
2024-07-09,1205782.6743586506
2024-07-10,1215319.6753987737
2024-07-11,1231319.7642209935
2024-07-12,1194425.385711861
2024-07-15,1161628.5996492773
2024-07-16,1163528.5363431822
2024-07-17,1140346.0296002468
2024-07-18,1098920.42373354
2024-07-19,1105045.5845550732
2024-07-22,1071831.4845034757
2024-07-23,1098075.982656178
2024-07-26,1071153.027932282
2024-07-29,1065784.0966581234
2024-07-30,1079087.9675279509
2024-07-31,1083474.246162274
2024-08-01,1096214.984668141
2024-08-02,1037366.3349559827
2024-08-05,940874.4545531316
2024-08-06,985662.2696008229
2024-08-07,1050508.2329675946
2024-08-08,1033307.6428439908
2024-08-09,1048375.8584748349
2024-08-12,1077624.8331836972
2024-08-13,1065121.961504109
2024-08-14,1078826.8267698332
2024-08-15,1069855.2429941334
2024-08-16,1097198.9426904684
2024-08-19,1107366.7816908613
2024-08-20,1112104.7025464405
2024-08-21,1101807.8723040929
2024-08-22,1093387.3700376286
2024-08-23,1092940.2027064024
2024-08-26,1088342.093951672
2024-08-27,1091671.5563232235
2024-08-28,1089682.7203243107
2024-08-29,1095126.6634620177
2024-08-30,1100757.561135903
2024-09-02,1117768.2749932637
2024-09-03,1122186.1740593992
2024-09-04,1061739.9549917416
2024-09-05,1077656.361464169
2024-09-06,1087734.178842404
2024-09-09,1069028.1983168607
2024-09-10,1051691.049927155
2024-09-11,1044626.3501547247
2024-09-12,1094972.5904399802
2024-09-13,1089244.7619269604
2024-09-16,1117737.8094156804
2024-09-18,1083591.381134217
2024-09-19,1116501.185070824
2024-09-20,1115266.5704928632
2024-09-23,1124941.737081471
2024-09-24,1139662.3689187397
2024-09-25,1140441.8955598532
2024-09-26,1133026.5773344503
2024-09-27,1137055.0741613393
2024-09-30,1092936.3253042838
2024-10-01,1091010.6580210424
2024-10-04,1048714.1260002332
2024-10-07,1076872.5624142957
2024-10-08,1085708.795357842
2024-10-09,1088585.4764228673
2024-10-11,1096061.7188704992
2024-10-14,1115202.7359961935
2024-10-15,1134320.4710358891
2024-10-16,1119319.8770612874
2024-10-17,1122917.8092687344
2024-10-18,1137000.8932191853
2024-10-21,1146888.8945878684
2024-10-22,1158158.2964601866
2024-10-23,1143405.0166373297
2024-10-24,1128777.5729545446
2024-10-25,1155373.985989182
2024-10-28,1144834.8354885983
2024-10-29,1121122.7354788443
2024-10-30,1114669.924493466
2024-11-01,1107809.2816228338
2024-11-04,1102536.3538820043
2024-11-05,1104590.4441308293
2024-11-06,1125052.5567610937
2024-11-07,1138868.9239208838
2024-11-08,1131787.6683444066
2024-11-11,1136349.4152148557
2024-11-12,1113581.3041853718
2024-11-13,1142779.2449395375
2024-11-14,1128987.167329209
2024-11-15,1137519.205572621
2024-11-18,1112456.710583821
2024-11-19,1133679.3032159964
2024-11-20,1148819.1374848944
2024-11-21,1162896.2296819922
2024-11-22,1187930.9609017682
2024-11-25,1182272.2363989798
2024-11-26,1167589.4560776907
2024-11-27,1166237.8581454703
2024-11-28,1152292.5060177122
2024-11-29,1164402.781486382
2024-12-02,1220888.3201087804
2024-12-03,1229701.3534425816
2024-12-04,1264547.8574738433
2024-12-05,1247597.6270164342
2024-12-06,1256019.230520226
2024-12-09,1279716.5709722752
2024-12-10,1276578.3643264319
2024-12-11,1300014.234318131
2024-12-12,1300271.574004601
2024-12-13,1336163.6774745414
2024-12-16,1345641.7637951055
2024-12-17,1334635.367660462
2024-12-18,1355631.636183289
2024-12-19,1352119.1422035985
2024-12-20,1327552.930465897
2024-12-23,1350758.3682352605
2024-12-24,1347801.1973521886
2024-12-25,1345844.812168862
2024-12-26,1360451.4005406348
2024-12-27,1388205.3792076726
2024-12-30,1374238.3281440206
2024-12-31,1370572.9398089682
2025-01-02,1335513.6528585362
2025-01-03,1344451.6144008795
2025-01-06,1376609.214289086
2025-01-07,1386250.1243357703
2025-01-08,1373830.6982060133
2025-01-09,1337593.403273915
2025-01-10,1346930.3018810316
