date,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2383.TW,2454.TW,3037.TW,3711.TW
2024-01-02,0,4,0,0,0,23,0,0,0,8
2024-01-03,0,4,0,0,0,23,0,0,0,8
2024-01-04,0,4,0,0,0,23,0,0,0,8
2024-01-05,0,4,0,0,0,23,0,0,0,8
2024-01-08,0,4,0,0,0,23,0,0,0,8
2024-01-09,0,4,0,0,0,23,0,0,0,8
2024-01-10,0,4,0,0,0,23,0,0,0,8
2024-01-11,0,4,0,0,0,23,0,0,0,8
2024-01-12,0,4,0,0,0,23,0,0,0,8
2024-01-15,0,4,0,0,0,23,0,0,0,8
2024-01-16,0,4,0,0,0,23,0,0,0,8
2024-01-17,0,4,0,0,0,23,0,0,0,8
2024-01-18,0,4,0,0,0,23,0,0,0,8
2024-01-19,0,4,0,0,0,23,0,0,0,8
2024-01-22,0,4,0,0,0,23,0,0,0,8
2024-01-23,0,4,0,0,0,23,0,0,0,8
2024-01-24,0,4,0,0,0,23,0,0,0,8
2024-01-25,0,4,0,0,0,23,0,0,0,8
2024-01-26,0,4,0,0,0,23,0,0,0,8
2024-01-29,0,4,0,0,0,23,0,0,0,8
2024-01-30,0,4,0,0,0,23,0,0,0,8
2024-01-31,0,4,0,0,0,23,0,0,0,8
2024-02-01,0,4,0,0,0,23,0,0,0,8
2024-02-02,0,4,0,0,0,23,0,0,0,8
2024-02-05,0,4,0,0,0,23,0,0,0,8
2024-02-15,0,4,0,0,0,23,0,0,0,8
2024-02-16,0,4,0,0,0,23,0,0,0,8
2024-02-19,0,4,0,0,0,23,0,0,0,8
2024-02-20,0,4,0,0,0,23,0,0,0,8
2024-02-21,0,4,0,0,0,23,0,0,0,8
2024-02-22,0,4,0,0,0,23,0,0,0,8
2024-02-23,0,4,0,0,0,23,0,0,0,8
2024-02-26,0,4,0,0,0,23,0,0,0,8
2024-02-27,0,4,0,0,0,23,0,0,0,8
2024-02-29,0,4,0,0,0,23,0,0,0,8
2024-03-01,0,4,0,0,0,23,0,0,0,8
2024-03-04,0,4,0,0,0,23,0,0,0,8
2024-03-05,0,4,0,0,0,23,0,0,0,8
2024-03-06,0,4,0,0,0,23,0,0,0,8
2024-03-07,0,4,0,0,0,23,0,0,0,8
2024-03-08,0,4,0,0,0,23,0,0,0,8
2024-03-11,0,4,0,0,0,23,0,0,0,8
2024-03-12,0,4,0,0,0,23,0,0,0,8
2024-03-13,0,4,0,0,0,23,0,0,0,8
2024-03-14,0,4,0,0,0,23,0,0,0,8
2024-03-15,0,4,0,0,0,23,0,0,0,8
2024-03-18,0,4,0,0,0,23,0,0,0,8
2024-03-19,0,4,0,0,0,23,0,0,0,8
2024-03-20,0,4,0,0,0,23,0,0,0,8
2024-03-21,0,4,0,0,0,23,0,0,0,8
2024-03-22,0,4,0,0,0,23,0,0,0,8
2024-03-25,0,4,0,0,0,23,0,0,0,8
2024-03-26,0,4,0,0,0,23,0,0,0,8
2024-03-27,0,4,0,0,0,23,0,0,0,8
2024-03-28,0,4,0,0,0,23,0,0,0,8
