time/time_elapsed,time/iterations,time/total_timesteps,train/reward,time/fps,train/std,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate
3,1,2048,2.5350559,560,,,,,,,,,,,
7,2,4096,-0.073726736,532,1.0017495155334473,41.424447047710416,-0.010912299156188965,-14.200218629837035,10,14.302988052368164,0.2,0.09462890625,-0.0100161402093363,0.0093898475,0.00025
11,3,6144,0.66723,523,1.0056508779525757,51.94755516052246,-0.003210306167602539,-14.22562717795372,20,26.891822814941406,0.2,0.077294921875,-0.008198448045004626,0.0076634903,0.00025
15,4,8192,1.9832956,518,1.0035698413848877,40.062890195846556,0.004005372524261475,-14.238658022880553,30,20.549772262573242,0.2,0.120751953125,-0.012261717426008545,0.010013948,0.00025
19,5,10240,0.0030926717,512,1.0047235488891602,52.22469756603241,0.0037578940391540527,-14.23098091483116,40,23.603971481323242,0.2,0.036962890625,-0.005937560342135839,0.007071157,0.00025
24,6,12288,1.8215628,508,1.004834532737732,50.182334172725675,-0.0011953115463256836,-14.237498015165329,50,27.063581466674805,0.2,0.05693359375,-0.008042669913265854,0.009374983,0.00025
28,7,14336,-1.7502892,500,1.0054361820220947,38.04101803302765,0.0069789886474609375,-14.236425226926803,60,14.342307090759277,0.2,0.069921875,-0.00973171744553838,0.009044639,0.00025
33,8,16384,0.17356235,494,1.0068724155426025,49.0659086227417,-0.020671725273132324,-14.249329805374146,70,27.399930953979492,0.2,0.05732421875,-0.007927083029062486,0.00818174,0.00025
37,9,18432,0.67789936,495,1.0080691576004028,48.216415309906004,0.02116978168487549,-14.261651903390884,80,22.420795440673828,0.2,0.106591796875,-0.009966226317919791,0.009650272,0.00025
41,10,20480,-1.1531807,495,1.010380744934082,56.26929724216461,-0.005517005920410156,-14.278357982635498,90,28.1397705078125,0.2,0.06171875,-0.0066431973173166625,0.006691348,0.00025
