date,account_value
2024-01-02,1000000.0
2024-01-03,999466.7928861999
2024-01-04,999219.996548813
2024-01-05,998433.9737088929
2024-01-08,1000068.1253555452
2024-01-09,1000693.3912037355
2024-01-10,997380.4314360811
2024-01-11,1000431.1638097992
2024-01-12,998069.5183822328
2024-01-15,1001798.6633152772
2024-01-16,997590.1126960603
2024-01-17,989855.685900345
2024-01-18,985927.79784964
2024-01-19,1000098.7299113618
2024-01-22,1016130.2644753266
2024-01-23,1008193.2424393236
2024-01-24,1002448.141839142
2024-01-25,995740.0173871997
2024-01-26,994866.3837794268
2024-01-29,1008629.953453728
2024-01-30,998272.3959643022
2024-01-31,1001888.9864093248
2024-02-01,1017235.1103579791
2024-02-02,1035498.6954557498
2024-02-05,1023150.2654152911
2024-02-15,1014179.4318028948
2024-02-16,1038576.6011511462
2024-02-19,1051333.8791926806
2024-02-20,1055873.0993493656
2024-02-21,1035040.5492495119
2024-02-22,1026651.6949563372
2024-02-23,1020357.9381072924
2024-02-26,1019098.0171462405
2024-02-27,985989.1584639285
2024-02-29,1010427.7472295534
2024-03-01,997544.8651809847
2024-03-04,1001655.3809922717
2024-03-05,999850.3562911456
2024-03-06,1005127.8904188311
2024-03-07,1001407.9684684298
2024-03-08,1010180.0606571429
2024-03-11,1007610.1465866625
2024-03-12,1008564.2527756197
2024-03-13,1002020.1863294299
2024-03-14,998127.8373275836
2024-03-15,977116.9461377185
2024-03-18,995352.5207366259
2024-03-19,1003425.9940454257
2024-03-20,997929.8340208514
2024-03-21,1042107.7965523074
2024-03-22,1078191.1954636234
2024-03-25,1065093.167680237
2024-03-26,1042524.6508872454
2024-03-27,1036720.1243835452
2024-03-28,1043574.7027348635
2024-03-29,1047759.8086407931
2024-04-01,1046624.1993908695
2024-04-02,1049873.8717848742
2024-04-03,1043161.7167510608
2024-04-08,1054255.6870836108
2024-04-09,1052717.4081750643
2024-04-10,1051581.5280497363
2024-04-11,1038687.7516599429
2024-04-12,1032872.9288383792
2024-04-15,993927.7564339297
2024-04-16,957940.3993644107
2024-04-17,969708.0816952517
2024-04-18,977892.3887212146
2024-04-19,945367.2377395175
2024-04-22,941274.0297518771
2024-04-23,952606.2601133578
2024-04-24,990990.9315370182
2024-04-25,979479.24564724
2024-04-26,997928.337375252
2024-04-29,1019396.7350870898
2024-04-30,1016687.8959823612
2024-05-02,1000611.6991718295
2024-05-03,1023533.2812392886
2024-05-06,1036325.2635564349
2024-05-07,1038498.0833456347
2024-05-08,1043284.1976433184
2024-05-09,1040126.3287434009
2024-05-10,1034096.9550538256
2024-05-13,1031488.9013419345
2024-05-14,1032128.9755216677
2024-05-15,1034048.4208600238
2024-05-16,1045387.0196022036
2024-05-17,1042999.5412336276
2024-05-20,1034074.8784326328
2024-05-21,1033938.6856903537
2024-05-22,1050857.3121549152
2024-05-23,1067813.3546666645
2024-05-24,1069298.5239695131
2024-05-27,1103806.8574551777
2024-05-28,1106128.519057854
2024-05-29,1095131.5402676775
2024-05-30,1072457.2062105944
2024-05-31,1055797.0157847675
2024-06-03,1086985.9228586506
2024-06-04,1075998.6992200396
2024-06-05,1085368.81368084
2024-06-06,1101789.3064476093
2024-06-07,1095659.4893007586
2024-06-11,1088669.3570444111
2024-06-12,1107308.08899955
2024-06-13,1127841.1909244158
2024-06-14,1139920.2592345965
2024-06-17,1144816.577981606
2024-06-18,1160849.589071587
2024-06-19,1189615.4682432024
2024-06-20,1204650.1842682422
2024-06-21,1219425.8688509143
2024-06-24,1197639.170971169
2024-06-25,1198319.0796789173
2024-06-26,1204251.8503098986
2024-06-27,1204288.9575522998
2024-06-28,1203820.4211868213
2024-07-01,1205284.6511543505
2024-07-02,1189939.256207268
2024-07-03,1201817.6224547352
2024-07-04,1228205.8308270343
2024-07-05,1225081.248756615
2024-07-08,1258246.5424850238
2024-07-09,1255502.3744103473
2024-07-10,1262745.6036004107
2024-07-11,1308790.4067329487
2024-07-12,1268903.6262761157
2024-07-15,1269064.958909325
2024-07-16,1289177.575150414
2024-07-17,1296815.794570641
2024-07-18,1262779.9240518727
2024-07-19,1225753.1905223774
2024-07-22,1183272.4996749195
2024-07-23,1221155.8330963824
2024-07-26,1177516.3871819843
2024-07-29,1169334.0817450336
2024-07-30,1182013.0669646075
2024-07-31,1206475.2935333485
2024-08-01,1215314.5376826709
2024-08-02,1129806.9841946643
2024-08-05,1018864.2632178119
2024-08-06,1036583.5712500537
2024-08-07,1078549.7850813526
2024-08-08,1054610.3311054308
2024-08-09,1088079.7139830403
2024-08-12,1119679.8180148394
2024-08-13,1127082.3672267993
2024-08-14,1143487.5196319355
2024-08-15,1129366.4557034075
2024-08-16,1155140.5104888997
2024-08-19,1162936.0119034655
2024-08-20,1168939.4392372363
2024-08-21,1146044.9478279345
2024-08-22,1153228.2302376025
2024-08-23,1158342.705747246
2024-08-26,1162272.4961677783
2024-08-27,1156181.5997596972
2024-08-28,1166206.380017876
2024-08-29,1173945.541684746
2024-08-30,1171933.0784126513
2024-09-02,1166642.9148689501
2024-09-03,1152694.950101494
2024-09-04,1089426.9003273242
2024-09-05,1080604.0860725634
2024-09-06,1090977.618650078
2024-09-09,1067330.2538429492
2024-09-10,1054301.4840980761
2024-09-11,1048126.5110298389
2024-09-12,1100396.0960975878
2024-09-13,1099944.5266700976
2024-09-16,1111920.8924690478
2024-09-18,1087384.2731605761
2024-09-19,1104025.2138954394
2024-09-20,1104936.4504524462
2024-09-23,1120466.5222755664
2024-09-24,1133149.5985084765
2024-09-25,1162907.2627388232
2024-09-26,1175481.7125984423
2024-09-27,1166055.1590400927
2024-09-30,1130125.2214332812
2024-10-01,1135040.1317268603
2024-10-04,1135872.8535591357
2024-10-07,1160161.4595009082
2024-10-08,1141750.4509254687
