date,account_value
2024-01-02,1000000.0
2024-01-03,999657.7588855361
2024-01-04,999662.5327721786
2024-01-05,999216.3244251251
2024-01-08,1000802.3022474519
2024-01-09,1006095.443298729
2024-01-10,1002402.6625841446
2024-01-11,1009659.8754424897
2024-01-12,1006598.9572919618
2024-01-15,1009989.5730114823
2024-01-16,1010101.8713849792
2024-01-17,1005647.9112006454
2024-01-18,1002054.954306488
2024-01-19,1015459.6579379349
2024-01-22,1046795.8262150115
2024-01-23,1032929.7654391096
2024-01-24,1027111.2403356016
2024-01-25,1015816.0923478163
2024-01-26,1013168.5162048033
2024-01-29,1029694.8421056594
2024-01-30,1044102.0344478607
2024-01-31,1054514.692245155
2024-02-01,1063191.9294344939
2024-02-02,1099832.5173621366
2024-02-05,1095428.4377552795
2024-02-15,1112919.5997321624
2024-02-16,1131903.078275009
2024-02-19,1128850.5500462493
2024-02-20,1132193.0461705169
2024-02-21,1092607.9923832854
2024-02-22,1075723.9862797698
2024-02-23,1083764.0319493255
2024-02-26,1076539.2391941985
2024-02-27,1039906.9781926116
2024-02-29,1056971.2006962737
2024-03-01,1035792.3483403167
2024-03-04,1039273.4033177337
2024-03-05,1054651.316479965
2024-03-06,1065980.5871556243
2024-03-07,1062340.5273716887
2024-03-08,1019865.4401982268
2024-03-11,1024904.6422093352
2024-03-12,980791.9617741546
2024-03-13,940083.4526036223
2024-03-14,933750.8535065306
2024-03-15,935489.2744590759
2024-03-18,941353.1104270935
2024-03-19,927232.2190238952
2024-03-20,911772.8741905212
2024-03-21,951727.791091156
2024-03-22,986577.5774223327
2024-03-25,974150.4965801085
2024-03-26,952837.919620056
2024-03-27,942403.51447937
2024-03-28,945865.1475512694
2024-03-29,952204.565840454
2024-04-01,942929.950606079
2024-04-02,942478.795334564
2024-04-03,955290.5143286132
2024-04-08,982077.2788397216
2024-04-09,974776.9477392577
2024-04-10,970697.5831457519
2024-04-11,961637.7702638854
2024-04-12,940153.5559739379
2024-04-15,893157.2851809082
2024-04-16,865484.1776674804
2024-04-17,855836.7270718383
2024-04-18,864702.0868537291
2024-04-19,845389.7280348815
2024-04-22,808329.7821821899
2024-04-23,851385.038183319
2024-04-24,875939.4468445738
2024-04-25,853338.3236817931
2024-04-26,899623.9875724487
2024-04-29,933705.4230570678
2024-04-30,954634.883455078
2024-05-02,968703.0476679382
2024-05-03,931471.8988908996
2024-05-06,964545.4381855468
2024-05-07,945697.2547597656
2024-05-08,947336.5964956054
2024-05-09,944559.3021383056
2024-05-10,964580.3708881225
2024-05-13,951779.4392563781
2024-05-14,973067.0596675414
2024-05-15,978369.2294670715
2024-05-16,1019939.6429225005
2024-05-17,1033971.6544541167
2024-05-20,1030227.4665186766
2024-05-21,1020163.3254512633
2024-05-22,1033658.9285113524
2024-05-23,1041774.2317017058
2024-05-24,1045910.6928449706
2024-05-27,1056388.0160871581
2024-05-28,1033688.9560621795
2024-05-29,1067471.2134037628
2024-05-30,1055952.479361435
2024-05-31,1020729.4321484679
2024-06-03,1066276.4093310088
2024-06-04,1074337.353292221
2024-06-05,1069084.8496509704
2024-06-06,1096423.4101367644
2024-06-07,1077849.0314525757
2024-06-11,1067736.3477906494
2024-06-12,1096938.9847565154
2024-06-13,1108939.5821228484
2024-06-14,1135936.9124756316
2024-06-17,1113328.8749390105
2024-06-18,1116173.4746857146
2024-06-19,1126197.2077484587
2024-06-20,1145175.7371327973
2024-06-21,1139438.6544301605
2024-06-24,1113071.7292774504
2024-06-25,1112042.141632904
2024-06-26,1120204.7612613218
2024-06-27,1125141.130035736
2024-06-28,1150940.1779788511
2024-07-01,1139582.3369449156
2024-07-02,1146981.2126098631
2024-07-03,1139156.3489039305
2024-07-04,1186385.5218775633
2024-07-05,1174324.549831665
2024-07-08,1187161.184017456
2024-07-09,1195456.7404749754
2024-07-10,1206646.8849451903
2024-07-11,1209353.1359206543
2024-07-12,1176999.7560900268
2024-07-15,1137548.9834464262
2024-07-16,1140219.7902701567
2024-07-17,1109138.2199118803
2024-07-18,1064408.083223648
2024-07-19,1081781.5624869536
2024-07-22,1051499.802263565
2024-07-23,1071118.654865036
2024-07-26,1050111.1799234771
2024-07-29,1039541.1487395476
2024-07-30,1058282.8112458647
2024-07-31,1072094.41888414
2024-08-01,1085351.1465974578
2024-08-02,1036515.3981427765
2024-08-05,940799.766998123
2024-08-06,969586.4414559631
2024-08-07,1040085.991785263
2024-08-08,1027187.6755891418
2024-08-09,1033133.0221647338
2024-08-12,1064420.7902617797
2024-08-13,1049364.272224823
2024-08-14,1055591.6170780486
2024-08-15,1050448.230878128
2024-08-16,1074786.6126312409
2024-08-19,1091104.3648102416
2024-08-20,1099365.7319840698
2024-08-21,1092269.565730423
2024-08-22,1076286.800350006
2024-08-23,1075261.5082275695
2024-08-26,1078973.5402195433
2024-08-27,1084072.5105275267
2024-08-28,1074356.214502716
2024-08-29,1078763.8217266235
2024-08-30,1081224.1912525634
2024-09-02,1115625.2091206054
2024-09-03,1123912.5870808105
2024-09-04,1069131.0065754394
2024-09-05,1093296.3790726317
2024-09-06,1102496.2294296874
2024-09-09,1087461.8757767333
2024-09-10,1047559.462171997
2024-09-11,1045996.8617046508
2024-09-12,1096290.908528656
2024-09-13,1099810.8876393738
2024-09-16,1142437.2205403748
2024-09-18,1089532.945210785
2024-09-19,1135965.2511647644
2024-09-20,1132473.3318837585
2024-09-23,1143494.9225362244
2024-09-24,1162765.6967342834
2024-09-25,1148766.5416134337
2024-09-26,1121085.5881527404
2024-09-27,1136955.838320587
