date,account_value
2024-01-02,1000000.0
2024-01-03,999032.6055118256
2024-01-04,998968.8480411988
2024-01-05,997768.655886139
2024-01-08,999382.7051045382
2024-01-09,1002874.4451951602
2024-01-10,1000404.7653652501
2024-01-11,1002776.7472471319
2024-01-12,1000595.1242792669
2024-01-15,1002413.3094309088
2024-01-16,996109.945531327
2024-01-17,991157.6337766121
2024-01-18,994163.2445240334
2024-01-19,1017488.8995917671
2024-01-22,1029236.6155993659
2024-01-23,1019151.2776625678
2024-01-24,1022561.7774970557
2024-01-25,1026767.3526642616
2024-01-26,1023666.9651606452
2024-01-29,1033241.4849855811
2024-01-30,1033577.0741314552
2024-01-31,1036041.8530048606
2024-02-01,1035470.8259127127
2024-02-02,1053502.0695206802
2024-02-05,1049223.7478251082
2024-02-15,1078656.3252743422
2024-02-16,1084011.048277951
2024-02-19,1086338.460979985
2024-02-20,1099223.7962197005
2024-02-21,1082056.38363757
2024-02-22,1090807.0671887938
2024-02-23,1116625.8639716841
2024-02-26,1116709.896112889
2024-02-27,1102718.1455683792
2024-02-29,1116774.6175788925
2024-03-01,1096070.0758459137
2024-03-04,1133272.4381862914
2024-03-05,1139949.6276011092
2024-03-06,1154022.3598119095
2024-03-07,1176049.495200444
2024-03-08,1181255.797589009
2024-03-11,1172112.3600707976
2024-03-12,1168506.7592938507
2024-03-13,1168430.3543756378
2024-03-14,1149614.5366168106
2024-03-15,1125665.748929364
2024-03-18,1150487.311755658
2024-03-19,1138928.5318998152
2024-03-20,1127590.5298091858
2024-03-21,1160225.6659555556
2024-03-22,1169277.9353677032
2024-03-25,1161119.9040636795
2024-03-26,1158398.6896942947
2024-03-27,1166437.3698384673
2024-03-28,1164965.4819172332
2024-03-29,1178124.4348366822
2024-04-01,1162430.4683495148
2024-04-02,1177862.443726918
2024-04-03,1171494.993701039
2024-04-08,1171142.3540103957
2024-04-09,1193950.5151702163
2024-04-10,1206964.8063330695
2024-04-11,1206857.8296456002
2024-04-12,1192463.9970614784
2024-04-15,1146930.051998944
2024-04-16,1105497.9131018494
2024-04-17,1113487.9218137558
2024-04-18,1115351.9193231398
2024-04-19,1056765.3619557007
2024-04-22,1037263.3735839088
2024-04-23,1051151.3548432472
2024-04-24,1091471.5339919785
2024-04-25,1065521.3955913666
2024-04-26,1092829.1006833846
2024-04-29,1111141.6806676986
2024-04-30,1100251.6870259368
2024-05-02,1092059.0598596542
2024-05-03,1114320.372994359
2024-05-06,1122361.735315663
2024-05-07,1134123.0456559646
2024-05-08,1155911.5311666839
2024-05-09,1153200.3693758666
2024-05-10,1157883.0814296005
2024-05-13,1174033.312665158
2024-05-14,1197429.7922625893
2024-05-15,1204770.495898652
2024-05-16,1224049.472428437
2024-05-17,1210347.8633352898
2024-05-20,1220024.1888145492
2024-05-21,1216351.5310528
2024-05-22,1237794.260369008
2024-05-23,1256970.401337182
2024-05-24,1247734.1881404808
2024-05-27,1302320.7609657675
2024-05-28,1312104.0252132195
2024-05-29,1294331.3820534293
2024-05-30,1279188.710886193
2024-05-31,1239954.9014197052
2024-06-03,1275078.6972978027
2024-06-04,1253591.8272066924
2024-06-05,1259896.9139184235
2024-06-06,1311434.371807347
2024-06-07,1297057.308242894
2024-06-11,1297395.4918943527
2024-06-12,1329660.4603565414
2024-06-13,1382931.9255311745
2024-06-14,1392332.9608736273
2024-06-17,1385826.5834869773
2024-06-18,1409802.763676629
2024-06-19,1474959.3203839958
2024-06-20,1490047.880017678
2024-06-21,1479023.1050405013
2024-06-24,1419604.0819569824
2024-06-25,1413529.851711087
2024-06-26,1430967.3764592407
2024-06-27,1427297.429960919
2024-06-28,1432564.9198218964
2024-07-01,1443704.758310334
2024-07-02,1430846.3487042396
2024-07-03,1437539.632235459
2024-07-04,1459655.46421016
2024-07-05,1447845.1449616821
2024-07-08,1508914.2884871794
2024-07-09,1533081.783356259
2024-07-10,1523259.0981293381
2024-07-11,1539427.0474676024
2024-07-12,1477950.1662811402
2024-07-15,1475500.3412760743
2024-07-16,1476029.874811078
2024-07-17,1452647.8521517762
2024-07-18,1410744.2642687806
2024-07-19,1380121.496484662
2024-07-22,1334203.9609164246
2024-07-23,1389254.5971303529
2024-07-26,1337314.7334494598
2024-07-29,1346210.9313967293
2024-07-30,1353434.386101632
2024-07-31,1335690.7650128715
2024-08-01,1338296.926234803
2024-08-02,1248683.4814945075
2024-08-05,1133216.1978153693
2024-08-06,1215628.142460679
2024-08-07,1279078.3638523796
2024-08-08,1244218.0744215935
2024-08-09,1275686.3544659049
2024-08-12,1309969.055776696
2024-08-13,1305568.6424954003
2024-08-14,1327165.162660401
2024-08-15,1305687.8312515456
2024-08-16,1359971.658188275
2024-08-19,1375131.9978718078
2024-08-20,1372309.2863086974
2024-08-21,1347505.8640522277
2024-08-22,1346766.3839802062
2024-08-23,1343111.741543225
2024-08-26,1337532.5315059936
2024-08-27,1329223.2662357604
2024-08-28,1340621.715851239
2024-08-29,1352370.4582371032
2024-08-30,1349706.7636799132
2024-09-02,1342879.0017017638
2024-09-03,1336091.961666516
2024-09-04,1258054.8003048217
2024-09-05,1251127.4918484008
2024-09-06,1279030.2016262328
2024-09-09,1244486.0048908507
2024-09-10,1258794.6075252807
2024-09-11,1247502.009750775
2024-09-12,1302128.2108310973
2024-09-13,1288987.556625775
2024-09-16,1294543.8119015014
2024-09-18,1274032.4447712218
2024-09-19,1294133.008202008
2024-09-20,1303635.0163196838
2024-09-23,1318057.0288266037
