date,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2383.TW,2454.TW,3037.TW,3711.TW
2024-01-02,0,5,22,10,24,31,0,15,12,0
2024-01-03,0,5,22,10,24,31,0,15,12,0
2024-01-04,0,5,22,10,24,31,0,15,12,0
2024-01-05,0,5,22,10,24,31,0,15,12,0
2024-01-08,0,5,22,10,24,31,0,15,12,0
2024-01-09,0,5,22,10,24,31,0,15,12,0
2024-01-10,0,5,22,10,24,31,0,15,12,0
2024-01-11,0,5,22,10,24,31,0,15,12,0
2024-01-12,0,5,22,10,24,31,0,15,12,0
2024-01-15,0,5,22,10,24,31,0,15,12,0
2024-01-16,0,5,22,10,24,31,0,15,12,0
2024-01-17,0,5,22,10,24,31,0,15,12,0
2024-01-18,0,5,22,10,24,31,0,15,12,0
2024-01-19,0,5,22,10,24,31,0,15,12,0
2024-01-22,0,5,22,10,24,31,0,15,12,0
2024-01-23,0,3,20,10,22,34,0,13,13,0
2024-01-24,0,3,20,10,22,34,0,13,13,0
2024-01-25,0,3,20,10,22,34,0,13,13,0
2024-01-26,0,3,20,10,22,34,0,13,13,0
2024-01-29,0,3,20,10,22,34,0,13,13,0
2024-01-30,0,0,20,3,22,34,0,4,13,0
2024-01-31,16,0,1,-11,0,-5,0,5,-9,0
2024-02-01,19,5,5,-10,-2,-6,0,3,-9,2
2024-02-02,2,2,0,-14,11,-8,0,1,-5,0
2024-02-05,19,2,0,-14,0,-6,0,5,-11,2
2024-02-15,3,0,0,-12,5,-3,0,0,0,0
2024-02-16,16,4,3,-11,-3,-7,0,4,-10,1
2024-02-19,0,-1,0,-14,8,0,0,0,0,-5
2024-02-20,14,3,1,-11,-1,-8,0,5,-12,2
2024-02-21,0,2,0,-14,0,-8,0,9,-3,-2
2024-02-22,16,3,1,-13,-3,-10,0,4,-13,4
2024-02-23,-3,0,0,-16,11,-5,0,2,3,-4
2024-02-26,16,4,0,-15,-7,-11,0,2,-12,6
2024-02-27,-6,0,8,-14,13,0,0,0,11,-2
2024-02-29,13,3,-1,-16,-2,-10,0,3,-10,4
2024-03-01,0,-1,0,-14,11,0,0,0,2,-8
2024-03-04,13,3,-1,-4,-2,-10,0,3,-10,4
2024-03-05,2,3,0,0,9,-8,0,1,-2,-4
2024-03-06,10,1,-2,0,-1,-9,0,4,-10,3
2024-03-07,10,2,0,0,0,-17,0,10,-15,0
2024-03-08,9,0,-3,0,-1,-9,0,2,-11,2
2024-03-11,0,1,2,0,9,-4,0,0,-2,-5
2024-03-12,15,0,0,0,-2,-8,0,0,-9,4
2024-03-13,-2,0,1,0,8,0,0,0,0,-4
2024-03-14,17,1,1,0,-1,-8,0,1,-9,4
2024-03-15,0,7,0,0,9,-11,0,0,-4,0
2024-03-18,18,2,1,0,-1,-9,0,4,-11,5
2024-03-19,18,3,0,0,-1,-9,0,4,-11,5
2024-03-20,18,2,1,0,-1,-9,0,4,-11,5
2024-03-21,18,3,1,0,-1,-9,0,4,-11,5
2024-03-22,18,3,1,0,-1,-9,0,4,-11,5
2024-03-25,18,3,1,0,-1,-9,0,4,-11,5
2024-03-26,18,3,1,0,-1,-9,0,4,-11,5
2024-03-27,18,3,1,0,-1,-9,0,4,-11,5
2024-03-28,18,3,0,0,-1,-9,0,4,-11,5
2024-03-29,18,1,1,0,-1,-9,0,4,-9,5
2024-04-01,18,0,1,0,-1,-9,0,3,0,5
2024-04-02,18,3,0,0,-1,-9,0,2,0,5
2024-04-03,18,0,0,0,-1,-9,0,3,0,5
