time/iterations,time/fps,time/total_timesteps,train/reward,time/time_elapsed,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/std,train/n_updates
1,496,512,-1.900799,1,,,,,,,,,,,
2,461,1024,-0.20716332,2,0.00025,4.803928375244141,-14.187033891677856,0.1173828125,-0.017155706556513904,9.311502599716187,0.2,0.011227813,-0.03422963619232178,0.9998003244400024,10
3,456,1536,0.43874058,3,0.00025,53.4224967956543,-14.187925124168396,0.0025390625,-0.0055278736515901985,109.9546287536621,0.2,0.0035469485,-0.006985068321228027,1.0000677108764648,20
4,457,2048,1.1346067,4,0.00025,38.422325134277344,-14.192780137062073,0.0193359375,-0.007874038198497146,77.5466555595398,0.2,0.006294669,0.018189966678619385,1.0006439685821533,30
5,453,2560,2.585107,5,0.00025,11.211417198181152,-14.19452395439148,0.1068359375,-0.017376607994083314,28.377858543395995,0.2,0.015644869,-0.11565291881561279,1.0001658201217651,40
6,452,3072,0.11421319,6,0.00025,35.91847610473633,-14.19088249206543,0.110546875,-0.015998196450527757,68.66589012145997,0.2,0.014070267,-0.07477355003356934,1.0004398822784424,50
7,450,3584,-0.06212015,7,0.00025,17.355180740356445,-14.197526144981385,0.0076171875,-0.007227897248230875,48.168876838684085,0.2,0.004514241,-0.001928567886352539,1.001391053199768,60
8,444,4096,-0.86894834,9,0.00025,19.158451080322266,-14.207117080688477,0.108984375,-0.017463214427698402,36.25014252662659,0.2,0.01543896,-0.04809904098510742,1.0021095275878906,70
9,442,4608,1.1291058,10,0.00025,65.4854965209961,-14.20960566997528,0.03515625,-0.010577486467082054,136.02332000732423,0.2,0.0081376415,-0.0010533332824707031,1.0019384622573853,80
10,441,5120,-1.2755575,11,0.00025,35.14227294921875,-14.208083963394165,0.01953125,-0.0100793287740089,66.00819826126099,0.2,0.006279351,0.015708327293395996,1.0019317865371704,90
11,443,5632,1.1992375,12,0.00025,22.794723510742188,-14.20810067653656,0.026171875,-0.010204114601947367,48.22096252441406,0.2,0.0077154622,0.002661466598510742,1.0020195245742798,100
12,442,6144,0.84072906,13,0.00025,78.18147277832031,-14.208986401557922,0.0431640625,-0.012765603855950759,128.93111934661866,0.2,0.010330891,-0.02292013168334961,1.0020415782928467,110
13,442,6656,2.8517318,15,0.00025,23.002857208251953,-14.20732204914093,0.0216796875,-0.010016952978912742,42.50118455886841,0.2,0.007409693,-0.031943321228027344,1.0013387203216553,120
14,443,7168,0.06323936,16,0.00025,38.90523147583008,-14.197633838653564,0.0287109375,-0.0107305524405092,88.09496784210205,0.2,0.007879727,-0.0032709836959838867,1.0004351139068604,130
15,445,7680,-0.5353711,17,0.00025,118.0975112915039,-14.196917915344239,0.1013671875,-0.017397508036810904,217.04391136169434,0.2,0.017851507,0.0010794401168823242,1.0014680624008179,140
16,449,8192,6.9395013,18,0.00025,13.196869850158691,-14.207752752304078,0.1279296875,-0.018867921223863958,30.289140748977662,0.2,0.013155164,-0.00618135929107666,1.001945972442627,150
17,450,8704,-4.340523,19,0.00025,98.87789154052734,-14.209815263748169,0.0154296875,-0.0019243170972913504,172.51629562377929,0.2,0.0036712103,-0.01568138599395752,1.0021922588348389,160
18,452,9216,2.24949,20,0.00025,155.7498016357422,-14.211321687698364,0.0005859375,-0.0040815956774167715,346.96219329833986,0.2,0.0018163704,-0.0015789270401000977,1.0023727416992188,170
19,454,9728,-9.402972,21,0.00025,16.113880157470703,-14.212616348266602,0.026171875,-0.013571501307887956,35.09116077423096,0.2,0.009629978,-0.13047564029693604,1.0022916793823242,180
20,457,10240,-0.3020957,22,0.00025,122.7888412475586,-14.210102653503418,0.0080078125,-0.003594713460188359,236.68416328430175,0.2,0.0013454141,0.003544628620147705,1.0019543170928955,190
21,459,10752,-0.81799215,23,0.00025,149.1088409423828,-14.205541896820069,0.0033203125,-0.005563610827084631,274.1427249908447,0.2,0.002508259,0.004638195037841797,1.0014756917953491,200
22,461,11264,3.6073902,24,0.00025,14.79074764251709,-14.203005528450012,0.026953125,-0.010391680931206793,31.692514610290527,0.2,0.0073137367,-0.05384421348571777,1.0015065670013428,210
23,462,11776,-2.74626,25,0.00025,133.53233337402344,-14.203750514984131,0.01484375,-0.008664815512020141,307.17294998168944,0.2,0.005008376,-0.003088235855102539,1.001416802406311,220
24,464,12288,7.520001,26,0.00025,104.24105834960938,-14.206914901733398,0.060546875,-0.01458178369794041,225.68897247314453,0.2,0.012697527,0.001318812370300293,1.0024607181549072,230
25,466,12800,-8.392217,27,0.00025,24.26412582397461,-14.21640944480896,0.0296875,-0.009186419332399965,54.08286685943604,0.2,0.0067976494,-0.03914451599121094,1.002903699874878,240
26,467,13312,1.1245832,28,0.00025,119.48757934570312,-14.21751298904419,0.0158203125,-0.012947150622494519,217.37872734069825,0.2,0.0054352153,-0.013080596923828125,1.0029197931289673,250
27,469,13824,0.37730813,29,0.00025,95.2072525024414,-14.221174812316894,0.0078125,-0.0056514589115977286,175.2946310043335,0.2,0.0031471392,-0.07561361789703369,1.0037736892700195,260
28,468,14336,-1.3429948,30,0.00025,27.38924789428711,-14.228292465209961,0.037890625,-0.016046583990100772,56.3794114112854,0.2,0.010061063,-0.13194715976715088,1.004199743270874,270
29,469,14848,0.41482878,31,0.00025,89.21570587158203,-14.232594060897828,0.0294921875,-0.00865935951587744,191.4090160369873,0.2,0.0053203255,-0.009112000465393066,1.004591703414917,280
30,470,15360,0.9035051,32,0.00025,83.22309112548828,-14.236357641220092,0.009765625,-0.010132935573346913,194.12213859558105,0.2,0.0033639828,-0.01958918571472168,1.0049922466278076,290
31,472,15872,-1.6889614,33,0.00025,68.90946197509766,-14.238816571235656,0.00234375,-0.005825819459278137,133.94270095825195,0.2,0.0025838627,0.0018625855445861816,1.0050714015960693,300
32,473,16384,-1.1245376,34,0.00025,149.62149047851562,-14.239645767211915,0.0072265625,-0.009337858227081598,346.5887321472168,0.2,0.0036207014,0.0016090869903564453,1.0050393342971802,310
33,473,16896,5.2718062,35,0.00025,135.04202270507812,-14.235693979263306,0.0421875,-0.011687187128700316,259.36718635559083,0.2,0.01065845,-0.004173874855041504,1.0042484998703003,320
34,475,17408,2.0809107,36,0.00025,50.07672119140625,-14.23146469593048,0.0103515625,-0.007640363706741482,108.3591459274292,0.2,0.0049938937,-0.005994200706481934,1.0046360492706299,330
35,475,17920,2.0788233,37,0.00025,144.24346923828125,-14.23660991191864,0.009375,-0.004829861072357744,304.6714641571045,0.2,0.0036877608,0.0006603598594665527,1.0048820972442627,340
36,476,18432,2.5149896,38,0.00025,24.558412551879883,-14.246289205551147,0.1400390625,-0.01909798204433173,50.36212468147278,0.2,0.0147155505,0.0031348466873168945,1.006746530532837,350
37,476,18944,4.1025157,39,0.00025,66.88822174072266,-14.257658529281617,0.09609375,-0.01101197093958035,158.1052396774292,0.2,0.013236412,0.0005856156349182129,1.0066972970962524,360
38,477,19456,-6.814472,40,0.00025,136.81051635742188,-14.25498673915863,0.07109375,-0.01674070197623223,296.90015640258787,0.2,0.013980064,-0.0025627613067626953,1.006778597831726,370
39,477,19968,2.895687,41,0.00025,14.499900817871094,-14.259873652458191,0.0951171875,-0.02036762605421245,30.726024627685547,0.2,0.016909763,0.0006346702575683594,1.0078294277191162,380
40,478,20480,-1.7871077,42,0.00025,63.24665069580078,-14.273009562492371,0.03515625,-0.013145727594383061,128.97993698120118,0.2,0.009080518,-0.001180410385131836,1.0090680122375488,390
41,478,20992,0.37544218,43,0.00025,56.58796691894531,-14.280681204795837,0.02578125,-0.009290651557967067,138.30258178710938,0.2,0.0068755345,0.002131819725036621,1.0092440843582153,400
42,479,21504,-1.1005875,44,0.00025,15.20353889465332,-14.28148112297058,0.0501953125,-0.015124043950345367,31.612002468109132,0.2,0.009830815,-0.011362433433532715,1.0096826553344727,410
43,479,22016,3.2940433,45,0.00025,93.5030517578125,-14.286007499694824,0.048828125,-0.012556550209410489,172.96270942687988,0.2,0.00956224,0.0013079047203063965,1.0096721649169922,420
44,480,22528,0.2873501,46,0.00025,50.481224060058594,-14.284249114990235,0.068359375,-0.011361119709908963,110.94785766601562,0.2,0.013357135,0.008961200714111328,1.0096042156219482,430
45,480,23040,-3.3074763,47,0.00025,20.126907348632812,-14.282507061958313,0.037109375,-0.010998160962481051,42.46027035713196,0.2,0.008596364,-0.020882487297058105,1.0091770887374878,440
