date,account_value
2024-01-02,1000000.0
2024-01-03,996580.5630844117
2024-01-04,996235.3926712036
2024-01-05,993973.3991882324
2024-01-08,995392.4623916626
2024-01-09,1009550.9077545167
2024-01-10,998813.3389447938
2024-01-11,1012152.3148969422
2024-01-12,1013621.4285749207
2024-01-15,1015978.8348249207
2024-01-16,1003395.8502973329
2024-01-17,988147.182755829
2024-01-18,994665.9699567567
2024-01-19,1021569.2567609559
2024-01-22,1055955.5385297546
2024-01-23,1042612.77006662
2024-01-24,1048326.9062970887
2024-01-25,1043115.5486005555
2024-01-26,1038026.9942182313
2024-01-29,1052726.4256757507
2024-01-30,1085578.3848737488
2024-01-31,1089084.7504743347
2024-02-01,1069718.815476776
2024-02-02,1095830.4273237
2024-02-05,1101601.2650922546
2024-02-15,1142184.6848005066
2024-02-16,1144529.359177948
2024-02-19,1133940.988725067
2024-02-20,1143845.1311506042
2024-02-21,1123444.9918988952
2024-02-22,1135594.3658002624
2024-02-23,1191523.163133026
2024-02-26,1201857.2604535827
2024-02-27,1182279.0522931824
2024-02-29,1199207.8214582214
2024-03-01,1171575.2858442077
2024-03-04,1196715.95277536
2024-03-05,1208634.4480451355
2024-03-06,1236901.9620221863
2024-03-07,1259975.2809613952
2024-03-08,1233667.644761444
2024-03-11,1236279.2360700378
2024-03-12,1202719.0001081238
2024-03-13,1173889.7681440124
2024-03-14,1132433.749436737
2024-03-15,1134614.9395612488
2024-03-18,1156463.9056562195
2024-03-19,1142128.9813092956
2024-03-20,1122340.2187055359
2024-03-21,1148271.6284345398
2024-03-22,1155834.6556562195
2024-03-25,1146361.6598676452
2024-03-26,1139400.5712140808
2024-03-27,1159031.1127790222
2024-03-28,1155698.4212812195
2024-03-29,1170850.5690168152
2024-04-01,1151868.6948102722
2024-04-02,1157542.4158490906
2024-04-03,1162630.2864545593
2024-04-08,1177795.8110212097
2024-04-09,1177137.5796369324
2024-04-10,1184414.946122528
2024-04-11,1180895.174638153
2024-04-12,1162656.4958051452
2024-04-15,1099396.4029096374
2024-04-16,1054985.151933075
2024-04-17,1049606.9119733581
2024-04-18,1057589.2573407898
2024-04-19,1014673.3557904969
2024-04-22,978168.4852765809
2024-04-23,1005734.5750287782
2024-04-24,1044209.92631662
2024-04-25,1015837.9470380555
2024-04-26,1051704.526353241
2024-04-29,1073480.6238263855
2024-04-30,1069344.9290632019
2024-05-02,1081620.9655011902
2024-05-03,1089148.5725568542
2024-05-06,1104696.9936383972
2024-05-07,1101860.4931195984
2024-05-08,1132023.5440839538
2024-05-09,1130379.8194745788
2024-05-10,1134844.8697980652
2024-05-13,1140105.3523420105
2024-05-14,1169247.8919233093
2024-05-15,1174821.4590619812
2024-05-16,1213813.7491620788
2024-05-17,1209578.1728070984
2024-05-20,1215713.7324994812
2024-05-21,1200699.6083234558
2024-05-22,1214077.9646772156
2024-05-23,1228686.6291669616
2024-05-24,1225533.9298871765
2024-05-27,1282693.753342987
2024-05-28,1284430.3779462585
2024-05-29,1285557.269334198
2024-05-30,1276458.4746869812
2024-05-31,1229952.3627485046
2024-06-03,1275992.0747236023
2024-06-04,1259203.1208661804
2024-06-05,1254574.9911359558
2024-06-06,1300523.2335675964
2024-06-07,1284245.537492157
2024-06-11,1273016.3688520202
2024-06-12,1312593.953141571
2024-06-13,1364573.256821991
2024-06-14,1384923.761155487
2024-06-17,1364755.6692670593
2024-06-18,1379390.2094892273
2024-06-19,1425614.8499616394
2024-06-20,1450998.7941755066
2024-06-21,1438685.1986249695
2024-06-24,1385345.3526471863
2024-06-25,1374981.4196637878
2024-06-26,1391644.9457257995
2024-06-27,1391093.4389508972
2024-06-28,1401796.8694318542
2024-07-01,1403240.9423993835
2024-07-02,1408553.1274274597
2024-07-03,1405540.1190046081
2024-07-04,1425681.3412946472
2024-07-05,1412380.191575409
2024-07-08,1456846.9758466491
2024-07-09,1483632.9903119812
2024-07-10,1474034.358445526
2024-07-11,1463079.1573346863
2024-07-12,1404881.8087323913
2024-07-15,1388263.894914032
2024-07-16,1384334.266221405
2024-07-17,1357041.406419159
2024-07-18,1308729.9765485534
2024-07-19,1298523.6811078796
2024-07-22,1259109.3589948425
2024-07-23,1304975.9331220398
2024-07-26,1270176.1253522644
2024-07-29,1261939.5514386902
2024-07-30,1285155.773820282
2024-07-31,1273588.4970868835
2024-08-01,1250049.8098920593
2024-08-02,1175795.3844465027
2024-08-05,1072607.377702118
2024-08-06,1144236.189469696
2024-08-07,1218327.3611921081
2024-08-08,1191853.270493866
2024-08-09,1199548.1821149597
2024-08-12,1243137.3476423034
2024-08-13,1223560.520280243
2024-08-14,1242583.741776825
2024-08-15,1224093.8360151062
2024-08-16,1276164.4009565124
2024-08-19,1296682.2262738952
2024-08-20,1294030.0276654968
2024-08-21,1273596.6772321472
2024-08-22,1274015.5349897156
2024-08-23,1276026.6056073913
2024-08-26,1269507.8292707214
2024-08-27,1269883.1677106628
2024-08-28,1265066.4254621277
2024-08-29,1293982.8868268738
2024-08-30,1299260.4227155456
2024-09-02,1304463.615464569
2024-09-03,1317020.9089826355
2024-09-04,1236187.153153778
2024-09-05,1238584.9147504577
2024-09-06,1261780.9646772156
2024-09-09,1228413.4433149109
2024-09-10,1219282.223618866
2024-09-11,1206857.352372528
2024-09-12,1260817.5052045593
2024-09-13,1238188.9167341003
2024-09-16,1259996.8184369812
2024-09-18,1220391.9129499206
2024-09-19,1252358.1710675964
2024-09-20,1252772.2685712585
2024-09-23,1267037.4544538269
2024-09-24,1299774.371110321
2024-09-25,1317883.861344696
2024-09-26,1331035.3741620788
2024-09-27,1332152.045731903
2024-09-30,1265799.359544159
2024-10-01,1278620.0627607116
2024-10-04,1262229.9027570495
2024-10-07,1291583.1974042663
2024-10-08,1283502.7712262878
2024-10-09,1295365.7841352234
2024-10-11,1327745.645493866
2024-10-14,1331820.1448529968
2024-10-15,1342598.8416303406
2024-10-16,1324413.3594220886
2024-10-17,1329286.539079071
2024-10-18,1352207.500810028
2024-10-21,1376714.081101776
2024-10-22,1376175.9173749695
2024-10-23,1364844.4003461609
2024-10-24,1339565.483384491
2024-10-25,1380011.7312482605
2024-10-28,1379763.5160993347
2024-10-29,1342448.7590497741
2024-10-30,1336988.3606122741
2024-11-01,1339961.0657209167
2024-11-04,1340253.868150116
2024-11-05,1341868.8339704284
2024-11-06,1363960.7654584656
2024-11-07,1374504.0253156433
2024-11-08,1356932.3963178406
2024-11-11,1365855.560349823
2024-11-12,1335261.4042829284
2024-11-13,1356843.8393415222
2024-11-14,1338845.9619306335
2024-11-15,1362203.4371198425
2024-11-18,1326896.5266278991
2024-11-19,1365010.7522443542
2024-11-20,1377442.3579877624
2024-11-21,1386738.0697187195
2024-11-22,1422359.0142072449
2024-11-25,1406792.8162397156
2024-11-26,1393427.5523237
2024-11-27,1386125.0426801452
2024-11-28,1380539.883042694
2024-11-29,1388531.7369855652
2024-12-02,1462794.1366742859
2024-12-03,1471170.7451337585
2024-12-04,1502831.5883649597
2024-12-05,1487971.5419172058
2024-12-06,1477541.206101776
2024-12-09,1504251.92833078
2024-12-10,1512252.6504377136
2024-12-11,1532653.0477155456
2024-12-12,1541045.647874237
2024-12-13,1588271.454087616
2024-12-16,1573142.8130353699
2024-12-17,1592102.623216034
2024-12-18,1596422.933396698
2024-12-19,1599300.5226300964
2024-12-20,1578071.838120819
