date,account_value
2024-01-02,1000000.0
2024-01-03,998458.1371800613
2024-01-04,997881.473400961
2024-01-05,995407.7507013915
2024-01-08,994995.9627355217
2024-01-09,994679.7478925479
2024-01-10,991938.0890503562
2024-01-11,993823.3293517726
2024-01-12,998567.4760354117
2024-01-15,998179.3368052596
2024-01-16,994990.3819216307
2024-01-17,979812.0499585017
2024-01-18,979271.5867261314
2024-01-19,995744.9495273704
2024-01-22,997807.207812292
2024-01-23,1003822.5573116874
2024-01-24,1004745.0993873728
2024-01-25,1013276.3211888483
2024-01-26,997723.7262515448
2024-01-29,1010733.2495067099
2024-01-30,1006606.8253239973
2024-01-31,1006100.9474479178
2024-02-01,997297.2957330091
2024-02-02,996784.6624592799
2024-02-05,990605.7689721277
2024-02-15,1006130.0171141756
2024-02-16,1001975.0025820673
2024-02-19,1002837.3836149042
2024-02-20,1020760.231336933
2024-02-21,1020651.0119126147
2024-02-22,1042792.8791424825
2024-02-23,1049786.5315671042
2024-02-26,1052023.3884191187
2024-02-27,1047220.2133382376
2024-02-29,1055183.6542213056
2024-03-01,1047998.7649423102
2024-03-04,1057954.1420826318
2024-03-05,1070645.278697403
2024-03-06,1084596.4187832908
2024-03-07,1080149.6398536565
2024-03-08,1063238.7688221396
2024-03-11,1083101.1763861044
2024-03-12,1078486.486562023
2024-03-13,1066001.5539900262
2024-03-14,1055035.280003208
2024-03-15,1065867.359813709
2024-03-18,1062969.6447131748
2024-03-19,1056819.5074137573
2024-03-20,1046744.1252582892
2024-03-21,1060435.2890745238
2024-03-22,1078326.887864023
2024-03-25,1068695.5830623892
2024-03-26,1049571.5706402187
2024-03-27,1050805.8649813402
2024-03-28,1049640.5777082308
2024-03-29,1058727.6414455469
2024-04-01,1056890.3906469878
2024-04-02,1066395.777063507
2024-04-03,1068195.3988410549
2024-04-08,1069187.7573339213
2024-04-09,1069863.4890629062
2024-04-10,1077401.7723210333
2024-04-11,1072702.7461870897
2024-04-12,1060618.2028155345
2024-04-15,1034337.4089594553
2024-04-16,1008166.1009194736
2024-04-17,1018805.890722412
2024-04-18,1023604.8627045267
2024-04-19,995257.9019644564
2024-04-22,948196.9039750384
2024-04-23,969590.3543856525
2024-04-24,1001850.8234165667
2024-04-25,978615.0305986422
2024-04-26,996543.8893880766
2024-04-29,1022045.1129041499
2024-04-30,1023491.6030505351
