date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-01-02,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-03,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-04,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-05,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-08,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-09,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-10,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-11,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-12,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-15,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-16,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-17,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-18,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-19,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-22,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-23,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-24,33,0,10,0,8,6,0,0,6,0,0,0,16,26,0,9,0,0,18,19,25,30,0,0,11,16,0,15,0,14
2024-01-25,22,5,9,0,12,-4,0,0,1,2,0,0,22,27,0,12,0,0,19,18,31,31,0,0,7,20,0,2,0,14
2024-01-26,-2,-1,3,0,-3,-17,0,7,-7,22,0,0,31,2,0,14,0,0,14,12,9,10,0,4,-11,-1,0,-7,15,3
2024-01-29,0,3,8,0,1,-14,0,9,-7,21,0,0,31,8,0,13,0,0,20,14,14,12,0,4,-7,6,0,-6,6,6
2024-01-30,-7,0,4,0,-6,-19,0,8,-8,24,0,0,31,2,0,14,0,0,14,12,11,10,0,4,-12,-2,0,-9,14,1
