,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2023-01-03,2330.TW,446.0,453.5,443.0,427.8570251464844,14885824.0,1,0.0,430.87905226590357,421.52939499972143,50.0,0.0,0.0,427.8570251464844,427.8570251464844,0.0,22.899999618530273
0,2023-01-03,2454.TW,623.0,645.0,621.0,522.3978271484375,4451795.0,1,0.0,430.87905226590357,421.52939499972143,50.0,0.0,0.0,522.3978271484375,522.3978271484375,0.0,22.899999618530273
1,2023-01-04,2330.TW,449.5,455.0,448.5,424.5514221191406,19188422.0,2,-0.07416417048523272,430.87905226590357,421.52939499972143,0.0,0.0,100.0,426.2042236328125,426.2042236328125,0.0,22.010000228881836
1,2023-01-04,2454.TW,639.0,644.0,635.0,515.9085083007812,2734185.0,2,-0.14559369209484885,528.3304504495281,509.97588499969055,0.0,0.0,0.0,519.1531677246094,519.1531677246094,0.0,22.010000228881836
2,2023-01-05,2330.TW,459.0,459.5,455.0,433.0518493652344,23549581.0,3,0.16909786645356917,437.0568870287264,419.9166440585132,72.67904398545699,0.0,100.0,428.4867655436198,428.4867655436198,0.0,22.459999084472656
2,2023-01-05,2454.TW,638.0,641.0,625.0,511.8525390625,5231120.0,3,-0.311290625543279,527.3580848255351,506.0811648489441,0.0,0.0,100.0,516.7196248372396,516.7196248372396,0.0,22.459999084472656
3,2023-01-06,2330.TW,455.0,459.5,455.0,433.0518493652344,20886011.0,4,0.2755940502867702,437.982953921996,421.2731190760509,72.67904398545699,0.0,100.0,429.62803649902344,429.62803649902344,0.0,21.1299991607666
3,2023-01-06,2454.TW,634.0,660.0,634.0,535.376708984375,6890898.0,4,0.4703072989075281,541.9639349772013,500.80385677084547,70.20286053979474,0.0,32.558139534883715,521.3838958740234,521.3838958740234,0.0,21.1299991607666
4,2023-01-09,2330.TW,468.0,481.0,467.5,454.3029479980469,46666263.0,0,1.1732906575732613,457.78874784758415,411.3372897500721,90.7211962167154,0.0,100.0,434.5630187988281,434.5630187988281,0.0,21.969999313354492
4,2023-01-09,2454.TW,671.0,675.0,665.0,547.5443725585938,6953372.0,0,1.3692941042630764,556.0294224865879,497.2025599352871,78.33942313087834,0.0,56.24349635796045,526.6159912109375,526.6159912109375,0.0,21.969999313354492
5,2023-01-10,2330.TW,486.0,487.0,483.0,459.02545166015625,32646014.0,1,1.892811118603845,467.45827975096296,409.82190213380267,91.94416943668347,0.0,100.0,438.6400909423828,438.6400909423828,0.0,20.579999923706055
5,2023-01-10,2454.TW,684.0,696.0,681.0,562.956787109375,8579851.0,1,2.5430127848605935,572.3282514696551,493.0173295850323,84.04742335230445,0.0,70.99586147845115,532.6727905273438,532.6727905273438,0.0,20.579999923706055
6,2023-01-11,2330.TW,487.0,488.0,482.0,457.6087646484375,21051115.0,2,2.25746527817563,471.3111995988739,411.3886033447645,88.33120267941624,0.0,100.0,441.3499014718192,441.3499014718192,0.0,21.09000015258789
6,2023-01-11,2454.TW,700.0,707.0,694.0,573.5020751953125,6807896.0,2,3.729646819419713,586.0770898618564,490.93400109796494,86.55515366326576,0.0,75.47613565913515,538.5055454799107,538.5055454799107,0.0,21.09000015258789
7,2023-01-12,2330.TW,487.5,488.0,484.0,459.4977111816406,20963689.0,3,2.555517980492482,474.18160676694265,413.0551486041511,88.93114759617559,0.0,100.0,443.6183776855469,443.6183776855469,0.0,18.829999923706055
7,2023-01-12,2454.TW,710.0,720.0,708.0,579.991455078125,6154916.0,3,4.773987268681822,596.6091362072403,490.77343215213466,87.7782262580207,0.0,79.37178754457244,543.6912841796875,543.6912841796875,0.0,18.829999923706055
8,2023-01-13,2330.TW,507.0,509.0,499.0,472.2484130859375,77606949.0,4,3.3556393105265556,481.1746123042595,412.42437315581,91.85529035841645,0.0,100.0,446.79949273003473,446.79949273003473,0.0,18.350000381469727
8,2023-01-13,2454.TW,722.0,726.0,691.0,562.956787109375,6607197.0,4,4.579383254561662,596.9711320588374,494.69265917380153,70.38981357848174,0.0,47.64423594950526,545.8318956163195,545.8318956163195,0.0,18.350000381469727
9,2023-01-16,2330.TW,506.0,508.0,503.0,476.97088623046875,34373918.0,0,4.117654665795499,487.42620165820387,412.2070625019524,92.60390312245555,0.0,100.0,449.81663208007814,449.81663208007814,0.0,18.350000381469727
9,2023-01-16,2454.TW,707.0,712.0,701.0,571.0684814453125,4831796.0,0,4.792539614017755,599.1433031406984,497.56780525773917,73.022372238241,0.0,47.64423594950526,548.3555541992188,548.3555541992188,0.0,18.350000381469727
10,2023-01-17,2330.TW,504.0,504.0,499.5,475.0819091796875,27770329.0,1,4.5099159973154315,490.90978054138014,413.3171703641596,89.21093217977227,0.0,86.07442364416991,452.1134754527699,452.1134754527699,0.0,19.360000610351562
10,2023-01-17,2454.TW,706.0,709.0,693.0,562.1455688476562,4423459.0,1,4.403985082126042,598.5030220473967,500.71536174166573,66.31339249875606,0.0,35.56811230633262,549.6091918945312,549.6091918945312,0.0,19.360000610351562
11,2023-01-30,2330.TW,542.0,543.0,534.0,512.86181640625,124428936.0,0,6.811432435101665,508.150747507034,406.2009268907525,93.86311209071067,0.0,92.27475788966227,457.17583719889325,457.17583719889325,0.0,19.940000534057617
11,2023-01-30,2454.TW,734.0,739.0,709.0,599.4597778320312,14092868.0,0,6.108906369220108,608.5506235801269,498.97619119851885,75.89437104380694,0.0,51.0877945307741,553.7634073893229,553.7634073893229,0.0,19.940000534057617
12,2023-01-31,2330.TW,537.0,538.0,521.0,493.0273132324219,72530854.0,1,7.307528131977392,512.6345949556323,407.23269113962004,76.05280156510878,0.0,66.6832495425982,459.9336430476262,459.9336430476262,0.0,19.399999618530273
12,2023-01-31,2454.TW,734.0,752.0,716.0,582.4249877929688,10849696.0,1,6.33002091109131,610.7793425760622,501.1569461108368,66.90741450566532,0.0,55.85445488481705,555.9681443434495,555.9681443434495,0.0,19.399999618530273
